#           k/h    P           
    0.71429E-04    0.21364E+03
    0.79823E-04    0.23794E+03
    0.89203E-04    0.26501E+03
    0.99687E-04    0.29515E+03
    0.11140E-03    0.32872E+03
    0.12449E-03    0.36610E+03
    0.13912E-03    0.40772E+03
    0.15547E-03    0.45406E+03
    0.17374E-03    0.50566E+03
    0.19416E-03    0.56310E+03
    0.21698E-03    0.62703E+03
    0.24248E-03    0.69818E+03
    0.27098E-03    0.77736E+03
    0.30282E-03    0.86544E+03
    0.33841E-03    0.96339E+03
    0.37818E-03    0.10723E+04
    0.42262E-03    0.11933E+04
    0.47229E-03    0.13278E+04
    0.52779E-03    0.14770E+04
    0.58982E-03    0.16426E+04
    0.65913E-03    0.18261E+04
    0.73659E-03    0.20293E+04
    0.82315E-03    0.22542E+04
    0.91989E-03    0.25026E+04
    0.10280E-02    0.27767E+04
    0.11488E-02    0.30787E+04
    0.12838E-02    0.34107E+04
    0.14347E-02    0.37749E+04
    0.16033E-02    0.41734E+04
    0.17917E-02    0.46083E+04
    0.20023E-02    0.50814E+04
    0.22376E-02    0.55940E+04
    0.25005E-02    0.61472E+04
    0.27944E-02    0.67415E+04
    0.31228E-02    0.73766E+04
    0.34898E-02    0.80512E+04
    0.38999E-02    0.87629E+04
    0.43582E-02    0.95080E+04
    0.44069E-02    0.95842E+04
    0.44561E-02    0.96606E+04
    0.45059E-02    0.97373E+04
    0.45562E-02    0.98143E+04
    0.46071E-02    0.98915E+04
    0.46586E-02    0.99689E+04
    0.47107E-02    0.10047E+05
    0.47633E-02    0.10125E+05
    0.48165E-02    0.10203E+05
    0.48703E-02    0.10281E+05
    0.49248E-02    0.10360E+05
    0.49798E-02    0.10438E+05
    0.50354E-02    0.10517E+05
    0.50917E-02    0.10597E+05
    0.51486E-02    0.10676E+05
    0.52061E-02    0.10755E+05
    0.52643E-02    0.10835E+05
    0.53231E-02    0.10915E+05
    0.53826E-02    0.10995E+05
    0.54427E-02    0.11075E+05
    0.55035E-02    0.11155E+05
    0.55650E-02    0.11235E+05
    0.56272E-02    0.11316E+05
    0.56901E-02    0.11396E+05
    0.57536E-02    0.11477E+05
    0.58179E-02    0.11557E+05
    0.58829E-02    0.11638E+05
    0.59487E-02    0.11718E+05
    0.60151E-02    0.11799E+05
    0.60823E-02    0.11880E+05
    0.61503E-02    0.11960E+05
    0.62190E-02    0.12041E+05
    0.62885E-02    0.12122E+05
    0.63587E-02    0.12202E+05
    0.64298E-02    0.12283E+05
    0.65016E-02    0.12363E+05
    0.65743E-02    0.12443E+05
    0.66477E-02    0.12524E+05
    0.67220E-02    0.12604E+05
    0.67971E-02    0.12684E+05
    0.68731E-02    0.12764E+05
    0.69499E-02    0.12843E+05
    0.70275E-02    0.12923E+05
    0.71060E-02    0.13002E+05
    0.71854E-02    0.13081E+05
    0.72657E-02    0.13160E+05
    0.73469E-02    0.13238E+05
