#           k/h    P           
    0.71429E-04    0.63911E+02
    0.79823E-04    0.71182E+02
    0.89203E-04    0.79279E+02
    0.99687E-04    0.88297E+02
    0.11140E-03    0.98340E+02
    0.12449E-03    0.10952E+03
    0.13912E-03    0.12198E+03
    0.15547E-03    0.13584E+03
    0.17374E-03    0.15128E+03
    0.19416E-03    0.16847E+03
    0.21698E-03    0.18760E+03
    0.24248E-03    0.20890E+03
    0.27098E-03    0.23259E+03
    0.30282E-03    0.25896E+03
    0.33841E-03    0.28828E+03
    0.37818E-03    0.32089E+03
    0.42262E-03    0.35713E+03
    0.47229E-03    0.39739E+03
    0.52779E-03    0.44210E+03
    0.58982E-03    0.49170E+03
    0.65913E-03    0.54670E+03
    0.73659E-03    0.60761E+03
    0.82315E-03    0.67501E+03
    0.91989E-03    0.74948E+03
    0.10280E-02    0.83166E+03
    0.11488E-02    0.92217E+03
    0.12838E-02    0.10217E+04
    0.14347E-02    0.11309E+04
    0.16033E-02    0.12504E+04
    0.17917E-02    0.13807E+04
    0.20023E-02    0.15226E+04
    0.22376E-02    0.16763E+04
    0.25005E-02    0.18421E+04
    0.27944E-02    0.20204E+04
    0.31228E-02    0.22108E+04
    0.34898E-02    0.24131E+04
    0.38999E-02    0.26266E+04
    0.43582E-02    0.28502E+04
    0.44069E-02    0.28730E+04
    0.44561E-02    0.28960E+04
    0.45059E-02    0.29190E+04
    0.45562E-02    0.29421E+04
    0.46071E-02    0.29652E+04
    0.46586E-02    0.29885E+04
    0.47107E-02    0.30118E+04
    0.47633E-02    0.30352E+04
    0.48165E-02    0.30586E+04
    0.48703E-02    0.30822E+04
    0.49248E-02    0.31057E+04
    0.49798E-02    0.31294E+04
    0.50354E-02    0.31531E+04
    0.50917E-02    0.31768E+04
    0.51486E-02    0.32006E+04
    0.52061E-02    0.32245E+04
    0.52643E-02    0.32484E+04
    0.53231E-02    0.32723E+04
    0.53826E-02    0.32963E+04
    0.54427E-02    0.33204E+04
    0.55035E-02    0.33444E+04
    0.55650E-02    0.33685E+04
    0.56272E-02    0.33926E+04
    0.56901E-02    0.34168E+04
    0.57536E-02    0.34409E+04
    0.58179E-02    0.34651E+04
    0.58829E-02    0.34893E+04
    0.59487E-02    0.35135E+04
    0.60151E-02    0.35378E+04
    0.60823E-02    0.35620E+04
    0.61503E-02    0.35862E+04
    0.62190E-02    0.36104E+04
    0.62885E-02    0.36346E+04
    0.63587E-02    0.36588E+04
    0.64298E-02    0.36829E+04
    0.65016E-02    0.37071E+04
    0.65743E-02    0.37312E+04
    0.66477E-02    0.37553E+04
    0.67220E-02    0.37794E+04
    0.67971E-02    0.38034E+04
    0.68731E-02    0.38273E+04
    0.69499E-02    0.38512E+04
    0.70275E-02    0.38751E+04
    0.71060E-02    0.38989E+04
    0.71854E-02    0.39226E+04
    0.72657E-02    0.39463E+04
    0.73469E-02    0.39699E+04
    0.74290E-02    0.39934E+04
    0.75120E-02    0.40168E+04
    0.75959E-02    0.40401E+04
    0.76808E-02    0.40634E+04
    0.77666E-02    0.40865E+04
    0.78534E-02    0.41095E+04
    0.79411E-02    0.41324E+04
    0.80298E-02    0.41552E+04
    0.81196E-02    0.41778E+04
    0.82103E-02    0.42003E+04
    0.83020E-02    0.42227E+04
    0.83948E-02    0.42449E+04
    0.84886E-02    0.42670E+04
    0.85834E-02    0.42889E+04
    0.86793E-02    0.43106E+04
    0.87763E-02    0.43321E+04
    0.88743E-02    0.43535E+04
    0.89735E-02    0.43747E+04
    0.90738E-02    0.43957E+04
    0.91751E-02    0.44165E+04
    0.92777E-02    0.44370E+04
    0.93813E-02    0.44574E+04
    0.94861E-02    0.44775E+04
    0.95921E-02    0.44974E+04
    0.96993E-02    0.45170E+04
    0.98077E-02    0.45364E+04
    0.99173E-02    0.45556E+04
    0.10028E-01    0.45744E+04
    0.10140E-01    0.45930E+04
    0.10253E-01    0.46114E+04
    0.10368E-01    0.46294E+04
    0.10484E-01    0.46471E+04
    0.10601E-01    0.46645E+04
    0.10719E-01    0.46816E+04
    0.10839E-01    0.46984E+04
    0.10960E-01    0.47148E+04
    0.11083E-01    0.47309E+04
    0.11207E-01    0.47467E+04
    0.11332E-01    0.47621E+04
    0.11458E-01    0.47771E+04
    0.11586E-01    0.47917E+04
    0.11716E-01    0.48059E+04
    0.11847E-01    0.48198E+04
    0.11979E-01    0.48332E+04
    0.12113E-01    0.48462E+04
    0.12248E-01    0.48588E+04
    0.12385E-01    0.48710E+04
    0.12524E-01    0.48827E+04
    0.12663E-01    0.48940E+04
    0.12805E-01    0.49048E+04
    0.12948E-01    0.49151E+04
    0.13093E-01    0.49249E+04
    0.13239E-01    0.49343E+04
    0.13387E-01    0.49431E+04
    0.13536E-01    0.49515E+04
    0.13688E-01    0.49593E+04
    0.13841E-01    0.49666E+04
    0.13995E-01    0.49733E+04
    0.14152E-01    0.49795E+04
    0.14310E-01    0.49851E+04
    0.14470E-01    0.49902E+04
    0.14631E-01    0.49947E+04
    0.14795E-01    0.49986E+04
    0.14960E-01    0.50019E+04
    0.15127E-01    0.50046E+04
    0.15296E-01    0.50067E+04
    0.15467E-01    0.50082E+04
    0.15640E-01    0.50090E+04
    0.15815E-01    0.50092E+04
    0.15991E-01    0.50088E+04
    0.16170E-01    0.50077E+04
    0.16351E-01    0.50059E+04
    0.16533E-01    0.50035E+04
    0.16718E-01    0.50004E+04
    0.16905E-01    0.49966E+04
    0.17094E-01    0.49921E+04
    0.17285E-01    0.49869E+04
    0.17478E-01    0.49811E+04
    0.17673E-01    0.49745E+04
    0.17871E-01    0.49672E+04
    0.18070E-01    0.49591E+04
    0.18272E-01    0.49504E+04
    0.18476E-01    0.49409E+04
    0.18683E-01    0.49307E+04
    0.18892E-01    0.49197E+04
    0.19103E-01    0.49080E+04
    0.19316E-01    0.48956E+04
    0.19532E-01    0.48824E+04
    0.19750E-01    0.48685E+04
    0.19971E-01    0.48538E+04
    0.20194E-01    0.48384E+04
    0.20420E-01    0.48222E+04
    0.20648E-01    0.48053E+04
    0.20879E-01    0.47876E+04
    0.21112E-01    0.47692E+04
    0.21348E-01    0.47501E+04
    0.21586E-01    0.47302E+04
    0.21827E-01    0.47096E+04
    0.22071E-01    0.46882E+04
    0.22318E-01    0.46662E+04
    0.22567E-01    0.46434E+04
    0.22819E-01    0.46199E+04
    0.23074E-01    0.45957E+04
    0.23332E-01    0.45708E+04
    0.23593E-01    0.45452E+04
    0.23856E-01    0.45189E+04
    0.24123E-01    0.44920E+04
    0.24393E-01    0.44644E+04
    0.24665E-01    0.44362E+04
    0.24941E-01    0.44074E+04
    0.25219E-01    0.43779E+04
    0.25501E-01    0.43479E+04
    0.25786E-01    0.43173E+04
    0.26074E-01    0.42861E+04
    0.26365E-01    0.42543E+04
    0.26660E-01    0.42221E+04
    0.26958E-01    0.41893E+04
    0.27259E-01    0.41561E+04
    0.27564E-01    0.41224E+04
    0.27872E-01    0.40883E+04
    0.28183E-01    0.40537E+04
    0.28498E-01    0.40187E+04
    0.28816E-01    0.39834E+04
    0.29138E-01    0.39478E+04
    0.29464E-01    0.39118E+04
    0.29793E-01    0.38755E+04
    0.30126E-01    0.38390E+04
    0.30463E-01    0.38023E+04
    0.30803E-01    0.37653E+04
    0.31147E-01    0.37282E+04
    0.31495E-01    0.36909E+04
    0.31847E-01    0.36535E+04
