# in Mpc/h Units 
# (k P_nu(k))
# a= 0.408228
# nk = 757
0.020944 2072.08
0.0296192 1083.89
0.036276 661.859
0.0418879 444.036
0.0468321 328.617
0.051302 260.926
0.0592384 182.123
0.0628319 156.178
0.0662306 130.137
0.0694632 114.864
0.072552 103.196
0.0755145 81.1269
0.0783651 71.724
0.0837758 64.2045
0.0863541 49.0415
0.0888577 42.3499
0.0912926 40.2328
0.0936642 39.7259
0.0959772 31.7493
0.0982358 28.8073
0.102604 26.5357
0.10472 22.4605
0.106794 20.4967
0.108828 18.3261
0.112787 17.9197
0.114715 16.5274
0.118477 15.5286
0.120314 15.0091
0.122123 13.6724
0.123906 12.4455
0.125664 10.9771
0.127397 11.0583
0.129107 9.93102
0.132461 7.63621
0.134107 9.16854
0.135732 8.62131
0.137339 8.10361
0.138926 8.39497
0.140496 6.87002
0.142049 6.49559
0.145104 3.51041
0.146608 5.76677
0.148096 5.62013
0.14957 5.40905
0.151029 5.36552
0.152474 5.2472
0.153906 4.79725
0.15673 4.25833
0.158123 4.15168
0.159504 3.99488
0.160874 3.66871
0.163577 4.0094
0.164913 3.29888
0.167552 3.10402
0.168856 2.91054
0.170149 3.15967
0.171434 2.96267
0.172708 2.81447
0.173974 2.49835
0.17523 2.65776
0.177715 3.01699
0.178945 2.06406
0.180167 2.40231
0.18138 2.51427
0.182585 1.98394
0.183782 2.10714
0.184972 2.17438
0.187328 1.84196
0.188496 2.18263
0.190347 1.74503
0.191954 1.9751
0.193094 1.60267
0.194226 1.69798
0.196472 1.6491
0.197585 1.68601
0.199006 1.72084
0.201976 1.60141
0.203059 1.27832
0.205208 1.26025
0.206274 1.37762
0.207335 1.20263
0.20839 1.33449
0.210326 1.22853
0.211524 1.34552
0.213587 0.954947
0.214612 0.987545
0.215631 1.04246
0.216957 0.994325
0.218661 0.89716
0.219662 1.05325
0.223129 0.818162
0.224599 0.774856
0.22618 0.877056
0.22751 0.938964
0.229429 0.714428
0.230383 0.803922
0.231604 0.773052
0.23416 0.672498
0.235095 0.644198
0.236954 0.747434
0.238108 0.691173
0.239975 0.661242
0.241537 0.574792
0.242444 0.576933
0.244844 0.538651
0.246417 0.511415
0.248401 0.547962
0.249576 0.465851
0.251327 0.429556
0.252777 0.498773
0.254191 0.506512
0.25601 0.493155
0.258214 0.413118
0.2594 0.412027
0.26075 0.316075
0.262904 0.389545
0.265657 0.390458
0.266722 0.32415
0.268622 0.334512
0.269844 0.392876
0.271964 0.347812
0.273543 0.33749
0.275842 0.295336
0.277853 0.390669
0.279641 0.311197
0.28148 0.332566
0.282936 0.272031
0.285198 0.303119
0.286404 0.260529
0.288084 0.264331
0.291553 0.238253
0.292736 0.265897
0.294335 0.241716
0.296659 0.21508
0.298323 0.199206
0.300394 0.21653
0.302928 0.195673
0.304588 0.198525
0.305974 0.213861
0.308578 0.187619
0.310884 0.171838
0.312408 0.15917
0.314799 0.163971
0.317265 0.177004
0.319597 0.148446
0.320771 0.142637
0.3227 0.149265
0.32574 0.146818
