# in Mpc/h Units 
# (k P_nu(k))
# a= 0.732156
# nk = 757
0.020944 5021.5
0.0296192 2503.9
0.036276 1466.86
0.0418879 936.843
0.0468321 669.073
0.051302 519.113
0.0592384 347.153
0.0628319 294.552
0.0662306 234.404
0.0694632 207.404
0.072552 186.335
0.0755145 135.374
0.0783651 119.597
0.0837758 115.293
0.0863541 79.0531
0.0888577 65.6254
0.0912926 65.5495
0.0936642 69.2608
0.0959772 49.3559
0.0982358 44.9726
0.102604 42.4688
0.10472 33.9994
0.106794 30.1698
0.108828 26.1395
0.112787 26.2238
0.114715 24.4394
0.118477 23.0023
0.120314 21.9792
0.122123 19.2061
0.123906 17.2287
0.125664 14.2216
0.127397 14.9547
0.129107 12.9761
0.132461 8.82616
0.134107 12.6136
0.135732 11.5768
0.137339 10.5397
0.138926 11.4496
0.140496 8.7265
0.142049 8.33967
0.145104 2.35398
0.146608 7.38579
0.148096 7.14842
0.14957 7.23488
0.151029 7.58212
0.152474 6.99448
0.153906 6.25897
0.15673 5.0726
0.158123 5.41485
0.159504 5.4844
0.160874 4.38107
0.163577 5.50692
0.164913 3.90371
0.167552 3.82537
0.168856 3.34121
0.170149 4.1356
0.171434 3.66553
0.172708 3.45069
0.173974 3.16477
0.17523 3.5365
0.177715 4.08511
0.178945 2.25171
0.180167 2.79416
0.18138 3.11291
0.182585 1.93756
0.183782 2.29941
0.184972 2.72895
0.187328 2.08207
0.188496 2.55949
0.190347 1.87187
0.191954 2.31589
0.193094 1.79992
0.194226 2.04705
0.196472 1.81042
0.197585 1.93925
0.199006 2.0582
0.201976 1.87594
0.203059 1.32744
0.205208 1.36607
0.206274 1.70266
0.207335 1.35672
0.20839 1.52953
0.210326 1.43751
0.211524 1.76465
0.213587 1.02778
0.214612 1.1029
0.215631 1.22549
0.216957 1.1783
0.218661 0.882767
0.219662 1.31609
0.223129 0.875052
0.224599 0.859626
0.22618 1.00575
0.22751 1.16342
0.229429 0.896456
0.230383 0.925138
0.231604 0.868178
0.23416 0.690823
0.235095 0.749641
0.236954 0.919701
0.238108 0.808512
0.239975 0.727921
0.241537 0.596647
0.242444 0.705303
0.244844 0.566091
0.246417 0.56723
0.248401 0.589054
0.249576 0.531905
0.251327 0.464657
0.252777 0.603501
0.254191 0.549406
0.25601 0.525577
0.258214 0.518975
0.2594 0.446885
0.26075 0.302381
0.262904 0.420928
0.265657 0.454014
0.266722 0.314901
0.268622 0.337189
0.269844 0.466299
0.271964 0.397289
0.273543 0.370551
0.275842 0.329139
0.277853 0.385542
0.279641 0.346176
0.28148 0.353409
0.282936 0.314073
0.285198 0.322413
0.286404 0.260611
0.288084 0.284184
0.291553 0.260908
0.292736 0.272202
0.294335 0.257025
0.296659 0.240535
0.298323 0.214102
0.300394 0.247495
0.302928 0.202817
0.304588 0.18902
0.305974 0.203661
0.308578 0.197376
0.310884 0.182207
0.312408 0.174445
0.314799 0.181406
0.317265 0.186295
0.319597 0.156291
0.320771 0.143393
0.3227 0.148908
0.32574 0.150408
0.32795 0.152434
0.330224 0.150649
0.331726 0.123283
0.333831 0.137078
0.336246 0.131617
0.338319 0.136959
0.341157 0.128353
0.343593 0.108248
0.346262 0.108245
0.347842 0.0963102
0.350326 0.108593
0.352828 0.0938204
0.354442 0.101058
0.356776 0.0937549
0.359142 0.094856
0.361681 0.0827402
0.363857 0.0810414
0.366441 0.0764789
0.368657 0.0782434
0.371486 0.0770259
0.374587 0.0688846
0.376839 0.0709157
0.379079 0.0673219
0.38178 0.0537891
0.384712 0.0668398
0.386663 0.0573089
0.389313 0.0609499
0.39167 0.0597325
0.394428 0.0607815
0.397811 0.0546391
0.400019 0.0602282
0.402781 0.0528643
0.405015 0.0501078
0.40766 0.05137
0.410865 0.043762
0.413244 0.04569
0.416084 0.041615
0.418986 0.0444509
0.421544 0.041925
0.424534 0.0397477
0.42751 0.0380434
0.430034 0.03695
0.432751 0.0373781
0.436344 0.0302319
0.438896 0.0355555
0.44171 0.0300365
0.444585 0.0317318
0.447784 0.0310843
0.45034 0.0277002
0.453413 0.02693
0.456575 0.0251285
0.459787 0.02667
0.462622 0.0251678
0.465862 0.0250519
