# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.312978
# nk = 757
0.020944 193.826 6
0.0296192 75.0836 12
0.036276 37.6161 8
0.0418879 22.5594 6
0.0468321 14.836 24
0.051302 10.9983 24
0.0592384 6.80316 12
0.0628319 5.77828 30
0.0662306 4.69395 24
0.0694632 3.75867 24
0.072552 3.09869 8
0.0755145 2.72328 24
0.0783651 2.10103 48
0.0837758 1.51414 6
0.0863541 1.38214 48
0.0888577 1.11366 36
0.0912926 1.1093 24
0.0936642 0.920185 24
0.0959772 0.839548 48
0.0982358 0.66674 24
0.102604 0.491318 24
0.10472 0.514136 30
0.106794 0.468881 72
0.108828 0.457897 32
0.112787 0.371522 72
0.114715 0.356354 48
0.118477 0.210932 12
0.120314 0.298236 48
0.122123 0.27175 48
0.123906 0.295714 48
0.125664 0.26112 30
0.127397 0.233818 24
0.129107 0.203064 72
0.132461 0.204667 24
0.134107 0.173458 96
0.135732 0.172057 48
0.137339 0.156638 24
0.138926 0.162348 24
0.140496 0.128003 72
0.142049 0.1286 48
0.145104 0.133603 8
0.146608 0.118297 54
0.148096 0.103882 84
0.14957 0.105754 48
0.151029 0.0899496 24
0.152474 0.0759522 72
0.153906 0.0907684 96
0.15673 0.0777899 48
0.158123 0.0652481 48
0.159504 0.0685586 24
0.160874 0.0632717 72
0.163577 0.0589453 72
0.164913 0.0628779 96
0.167552 0.0392483 6
0.168856 0.0559171 96
0.170149 0.0539286 96
0.171434 0.044099 24
0.172708 0.0494711 48
0.173974 0.041731 96
0.17523 0.0455132 48
0.177715 0.0486614 36
0.178945 0.0430789 48
0.180167 0.0407881 120
0.18138 0.0389133 56
0.182585 0.0353257 24
0.183782 0.0371588 96
0.184972 0.0290272 48
0.187328 0.0307046 24
0.188496 0.0284351 102
0.190347 0.0319683 120
0.191954 0.0315073 48
0.193094 0.0273159 48
0.194226 0.028289 120
0.196472 0.0252596 24
0.197585 0.0263546 144
0.199006 0.023778 168
0.201976 0.0256984 48
0.203059 0.023834 96
0.205208 0.0155754 24
0.206274 0.017166 48
0.207335 0.0171301 108
0.20839 0.0225247 72
0.210326 0.0172202 198
0.211524 0.0148472 48
0.213587 0.0157301 72
0.214612 0.012187 96
0.215631 0.0123819 72
0.216957 0.0154791 104
0.218661 0.0121115 72
0.219662 0.0123 144
0.223129 0.0118897 192
0.224599 0.0124589 48
0.22618 0.0119241 192
0.22751 0.0106319 72
0.229429 0.00947528 48
0.230383 0.0118691 78
0.231604 0.010797 168
0.23416 0.009477 144
0.235095 0.00917784 144
0.236954 0.00948546 12
0.238108 0.00870916 192
0.239975 0.00901078 168
0.241537 0.00904044 48
0.242444 0.0079784 168
0.244844 0.00772585 144
0.246417 0.00637752 168
0.248401 0.00708657 144
0.249576 0.00585573 48
0.251327 0.00972786 30
0.252777 0.00682509 288
0.254191 0.00576272 80
0.25601 0.00644504 288
0.258214 0.00579788 72
0.2594 0.00585409 240
0.26075 0.00533533 96
0.262904 0.00494892 168
0.265657 0.00519614 216
0.266722 0.00541123 132
0.268622 0.00529852 192
0.269844 0.00444253 120
0.271964 0.004373 126
0.273543 0.00427753 288
