# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.0168179
# nk = 757
0.020944 0.00451735 6
0.0296192 0.00125396 12
0.036276 0.000527992 8
0.0418879 0.000279107 6
0.0468321 0.000170414 24
0.051302 0.00011501 24
0.0592384 6.2388e-05 12
0.0628319 4.85665e-05 30
0.0662306 3.8386e-05 24
0.0694632 3.07464e-05 24
0.072552 2.4948e-05 8
0.0755145 2.04403e-05 24
0.0783651 1.67467e-05 48
0.0837758 1.16238e-05 6
0.0863541 9.84534e-06 48
0.0888577 8.32294e-06 36
0.0912926 7.20502e-06 24
0.0936642 6.21024e-06 24
0.0959772 5.4261e-06 48
0.0982358 4.73902e-06 24
0.102604 3.7438e-06 24
0.10472 3.40174e-06 30
0.106794 3.08785e-06 72
0.108828 2.83022e-06 32
0.112787 2.38338e-06 72
0.114715 2.20311e-06 48
0.118477 1.85559e-06 12
0.120314 1.76806e-06 48
0.122123 1.64911e-06 48
0.123906 1.54986e-06 48
0.125664 1.44172e-06 30
0.127397 1.3417e-06 24
0.129107 1.24548e-06 72
0.132461 1.09241e-06 24
0.134107 1.01617e-06 96
0.135732 9.53217e-07 48
0.137339 8.88487e-07 24
0.138926 8.32939e-07 24
0.140496 7.72291e-07 72
0.142049 7.25527e-07 48
0.145104 6.39777e-07 8
0.146608 6.00065e-07 54
0.148096 5.60934e-07 84
0.14957 5.29495e-07 48
0.151029 4.96231e-07 24
0.152474 4.64834e-07 72
0.153906 4.44115e-07 96
0.15673 3.96968e-07 48
0.158123 3.74221e-07 48
0.159504 3.58502e-07 24
0.160874 3.4079e-07 72
0.163577 3.10206e-07 72
0.164913 3.00716e-07 96
0.167552 2.71763e-07 6
0.168856 2.65038e-07 96
0.170149 2.55609e-07 96
0.171434 2.43087e-07 24
0.172708 2.36173e-07 48
0.173974 2.25262e-07 96
0.17523 2.19723e-07 48
0.177715 2.06824e-07 36
0.178945 1.98427e-07 48
0.180167 1.92483e-07 120
0.18138 1.85046e-07 56
0.182585 1.79523e-07 24
0.183782 1.73547e-07 96
0.184972 1.65817e-07 48
0.187328 1.56013e-07 24
0.188496 1.51554e-07 102
0.190347 1.44717e-07 120
0.191954 1.38446e-07 48
0.193094 1.32943e-07 48
0.194226 1.28945e-07 120
0.196472 1.19998e-07 24
0.197585 1.16855e-07 144
0.199006 1.11034e-07 168
0.201976 1.02858e-07 48
0.203059 9.86131e-08 96
0.205208 9.1383e-08 24
0.206274 8.87383e-08 48
0.207335 8.59419e-08 108
0.20839 8.45163e-08 72
0.210326 7.88296e-08 198
0.211524 7.51468e-08 48
0.213587 7.17272e-08 72
0.214612 6.86706e-08 96
0.215631 6.67775e-08 72
0.216957 6.5389e-08 104
0.218661 6.13e-08 72
0.219662 5.98408e-08 144
0.223129 5.4675e-08 192
0.224599 5.31522e-08 48
0.22618 5.10207e-08 192
0.22751 4.91701e-08 72
0.229429 4.6945e-08 48
0.230383 4.62306e-08 78
0.231604 4.49077e-08 168
0.23416 4.18939e-08 144
0.235095 4.12367e-08 144
0.236954 4.03344e-08 12
0.238108 3.86083e-08 192
0.239975 3.70706e-08 168
0.241537 3.6231e-08 48
0.242444 3.51531e-08 168
0.244844 3.33208e-08 144
0.246417 3.19523e-08 168
0.248401 3.07929e-08 144
0.249576 2.98203e-08 48
0.251327 2.99033e-08 30
0.252777 2.81279e-08 288
0.254191 2.70875e-08 80
0.25601 2.61502e-08 288
0.258214 2.48493e-08 72
0.2594 2.41551e-08 240
0.26075 2.32674e-08 96
0.262904 2.21668e-08 168
0.265657 2.08653e-08 216
0.266722 2.0478e-08 132
0.268622 1.95446e-08 192
0.269844 1.88495e-08 120
0.271964 1.79576e-08 126
0.273543 1.72801e-08 288
0.275842 1.65246e-08 312
0.277853 1.58652e-08 24
0.279641 1.5142e-08 264
0.28148 1.46133e-08 192
0.282936 1.40746e-08 192
0.285198 1.33778e-08 336
0.286404 1.3035e-08 48
0.288084 1.28514e-08 240
0.291553 1.19068e-08 296
0.292736 1.1493e-08 150
0.294335 1.12865e-08 240
0.296659 1.07693e-08 228
0.298323 1.03861e-08 216
0.300394 1.00828e-08 336
0.302928 9.57732e-09 360
0.304588 9.16058e-09 144
0.305974 8.84119e-09 168
0.308578 8.60411e-09 312
0.310884 8.19822e-09 288
0.312408 7.96556e-09 192
0.314799 7.66537e-09 366
0.317265 7.39614e-09 408
0.319597 7.02457e-09 168
0.320771 6.90086e-09 336
0.3227 6.57826e-09 240
0.32574 6.18008e-09 380
0.32795 6.04997e-09 384
0.330224 5.72994e-09 240
0.331726 5.66408e-09 360
0.333831 5.38103e-09 198
0.336246 5.16607e-09 384
0.338319 4.91697e-09 384
0.341157 4.69696e-09 432
0.343593 4.51939e-09 528
0.346262 4.34144e-09 288
0.347842 4.18572e-09 288
0.350326 4.01548e-09 456
0.352828 3.8365e-09 360
0.354442 3.73663e-09 180
0.356776 3.61077e-09 486
0.359142 3.4519e-09 504
0.361681 3.34655e-09 512
0.363857 3.2269e-09 264
0.366441 3.11874e-09 600
0.368657 3.01336e-09 288
0.371486 2.8624e-09 672
0.374587 2.73291e-09 408
0.376839 2.59887e-09 462
0.379079 2.53283e-09 600
0.38178 2.42491e-09 504
0.384712 2.31868e-09 324
0.386663 2.24827e-09 744
0.389313 2.16965e-09 456
0.39167 2.08746e-09 432
0.394428 1.99325e-09 720
0.397811 1.89711e-09 534
0.400019 1.8356e-09 536
0.402781 1.73724e-09 624
0.405015 1.70426e-09 600
0.40766 1.62054e-09 696
0.410865 1.5564e-09 456
0.413244 1.50246e-09 732
0.416084 1.44458e-09 600
0.418986 1.39087e-09 702
0.421544 1.33393e-09 672
0.424534 1.28005e-09 768
0.42751 1.22155e-09 768
0.430034 1.1965e-09 408
0.432751 1.13643e-09 1080
0.436344 1.09659e-09 632
0.438896 1.04486e-09 750
0.44171 1.01346e-09 696
0.444585 9.79867e-10 876
0.447784 9.25898e-10 864
0.45034 8.96358e-10 768
0.453413 8.67558e-10 888
0.456575 8.23293e-10 816
0.459787 7.89717e-10 654
0.462622 7.64913e-10 1296
0.465862 7.2822e-10 816
0.468802 7.00979e-10 816
0.471915 6.71416e-10 1088
0.475472 6.46766e-10 1020
0.478779 6.1916e-10 1032
0.481919 5.93362e-10 942
0.484939 5.72054e-10 1032
0.488502 5.50753e-10 1128
0.491034 5.31706e-10 888
0.494348 5.11871e-10 1176
0.497688 4.94509e-10 960
0.500527 4.70905e-10 1110
0.504331 4.52717e-10 1116
0.507364 4.35482e-10 1352
0.510774 4.18958e-10 1200
0.514275 4.04669e-10 1224
0.517978 3.83718e-10 1320
0.521294 3.6589e-10 1128
0.524822 3.5679e-10 1518
0.527973 3.44246e-10 1080
0.531698 3.26094e-10 1524
0.535226 3.13992e-10 1416
0.539103 2.98772e-10 1704
0.543 2.87822e-10 1088
0.546011 2.77343e-10 1446
0.549827 2.67412e-10 1800
0.55369 2.5656e-10 1512
0.557166 2.46086e-10 1392
0.560475 2.38639e-10 1392
0.564609 2.27063e-10 1962
0.56859 2.17221e-10 1776
0.572441 2.08273e-10 1680
0.5763 2.00591e-10 1776
0.580121 1.91507e-10 1544
0.583625 1.85131e-10 1896
0.587525 1.77463e-10 1662
0.591428 1.71687e-10 1908
0.595301 1.64101e-10 2184
0.599624 1.5563e-10 1848
0.603294 1.51181e-10 1848
0.60771 1.43148e-10 2238
0.611568 1.38672e-10 2088
0.615779 1.32876e-10 2192
0.619303 1.28782e-10 1536
0.623194 1.22702e-10 2412
0.627636 1.18758e-10 2262
0.631826 1.14077e-10 2448
0.635971 1.0921e-10 2040
0.64039 1.04563e-10 2976
0.644956 9.98939e-11 2184
0.649302 9.54937e-11 2550
0.653461 9.19483e-11 2396
0.657644 8.87412e-11 2760
0.662026 8.47869e-11 2424
0.666685 8.20252e-11 2832
0.670916 7.79168e-11 2574
0.675462 7.51292e-11 3024
0.679703 7.23969e-11 2484
0.684292 6.92984e-11 3168
0.688927 6.68168e-11 2894
0.693468 6.38635e-11 2856
0.698026 6.16665e-11 3384
0.702952 5.88388e-11 3240
0.707372 5.66487e-11 2856
0.712317 5.45025e-11 3474
0.716936 5.22074e-11 3432
0.721869 4.98523e-11 3552
0.726964 4.80317e-11 3560
0.73163 4.56625e-11 3270
0.736224 4.40743e-11 3552
0.74119 4.21167e-11 3780
0.746118 4.07901e-11 3960
0.751313 3.89768e-11 3696
0.756133 3.73263e-11 3726
0.761156 3.59774e-11 4376
0.766095 3.43351e-11 3648
0.771205 3.2978e-11 4332
0.776456 3.17067e-11 4254
0.781432 3.05386e-11 4296
0.786733 2.91548e-11 4320
0.791574 2.81473e-11 4368
0.797255 2.69635e-11 4826
0.802676 2.58408e-11 5016
0.808005 2.48152e-11 4608
0.813482 2.37807e-11 4824
0.818759 2.28895e-11 4950
0.824173 2.17981e-11 5232
0.829708 2.10627e-11 4980
0.834919 2.01925e-11 4838
0.840568 1.94043e-11 6024
0.846479 1.84945e-11 5520
0.851948 1.77589e-11 5400
0.857592 1.70734e-11 5538
0.863369 1.63108e-11 6456
0.869182 1.57622e-11 5504
0.874831 1.51138e-11 6168
0.880682 1.45199e-11 5910
0.886294 1.39716e-11 6372
0.892352 1.32778e-11 6768
0.898399 1.27746e-11 6294
0.904229 1.22634e-11 6656
0.910231 1.17461e-11 7224
0.916513 1.13236e-11 6708
0.922651 1.08486e-11 7566
0.92895 1.03263e-11 7416
0.935092 9.90573e-12 6984
0.940995 9.56356e-12 7310
0.947406 9.15489e-12 8148
0.953652 8.78814e-12 7632
0.960017 8.40534e-12 8088
0.966595 8.07938e-12 8478
0.972908 7.75652e-12 8112
0.979222 7.42618e-12 8108
0.985855 7.14543e-12 9510
0.992666 6.83809e-12 8472
0.998881 6.60602e-12 8832
1.00551 6.32884e-12 8898
1.01216 6.07335e-12 10008
1.01908 5.8156e-12 9392
1.02599 5.54598e-12 10206
1.03271 5.32186e-12 9528
1.03948 5.1461e-12 10236
1.04641 4.9236e-12 10398
1.05346 4.73047e-12 10784
1.06036 4.51022e-12 10584
1.0676 4.34029e-12 11346
1.07471 4.145e-12 11400
1.08175 3.96753e-12 11016
1.08895 3.81143e-12 11870
1.09637 3.65971e-12 12516
1.10369 3.52123e-12 11880
1.11092 3.37793e-12 11886
1.1181 3.23912e-12 13104
1.12573 3.10069e-12 12764
1.1332 2.98041e-12 13446
1.14081 2.83232e-12 13464
1.14829 2.73657e-12 13398
1.15605 2.62959e-12 14628
1.16374 2.52207e-12 14024
1.1717 2.41414e-12 15054
1.17935 2.30374e-12 14496
1.18713 2.21746e-12 15012
1.195 2.13415e-12 15422
1.20281 2.03365e-12 15624
1.21088 1.95281e-12 16146
1.21904 1.87666e-12 17064
1.22715 1.79928e-12 16152
1.23533 1.7291e-12 17510
1.24354 1.64813e-12 17172
1.25174 1.58363e-12 17880
1.26013 1.52025e-12 18030
1.26845 1.44759e-12 18680
1.27706 1.39769e-12 19170
1.28545 1.34101e-12 18720
1.29387 1.28605e-12 19536
1.3027 1.23289e-12 20954
1.31143 1.1827e-12 20328
1.3202 1.13442e-12 20718
1.32891 1.08277e-12 21348
1.33775 1.04206e-12 21534
1.34663 1.00192e-12 22256
1.35548 9.5846e-13 22104
1.3645 9.20727e-13 23178
1.37362 8.79856e-13 23880
1.38289 8.44905e-13 24230
1.39214 8.09151e-13 24468
1.40146 7.73217e-13 25230
1.41076 7.44763e-13 25328
1.42016 7.11157e-13 25818
1.42955 6.83703e-13 26616
1.43897 6.52555e-13 26376
1.44856 6.27245e-13 28034
1.45815 6.00127e-13 27816
1.46783 5.7691e-13 28398
1.47755 5.51008e-13 29652
1.48753 5.3204e-13 30134
1.4975 5.07702e-13 30792
1.50759 4.87238e-13 31218
1.51744 4.6895e-13 30912
1.52762 4.47966e-13 33158
1.53782 4.29564e-13 32772
1.54798 4.12221e-13 33150
1.55817 3.96282e-13 34256
1.56867 3.77368e-13 35562
1.579 3.61696e-13 34992
1.58955 3.47699e-13 37158
1.60018 3.33479e-13 36956
1.61084 3.19782e-13 37950
1.62148 3.06384e-13 38496
1.63242 2.9475e-13 40274
1.64322 2.81713e-13 39264
1.65411 2.69939e-13 41466
1.66512 2.58389e-13 41960
1.67627 2.4758e-13 42702
1.68736 2.37197e-13 43356
1.69863 2.2821e-13 44886
1.70994 2.18208e-13 45248
1.72135 2.09726e-13 46362
1.73279 2.00855e-13 46974
1.74428 1.92172e-13 48236
1.75588 1.84219e-13 48774
1.76756 1.76999e-13 50616
1.77941 1.70007e-13 51050
1.79124 1.62231e-13 52272
1.80325 1.55119e-13 53658
1.81507 1.48907e-13 52640
1.82722 1.43197e-13 57366
1.83948 1.36622e-13 55170
1.85166 1.31494e-13 58544
1.86408 1.25826e-13 58506
1.87633 1.20785e-13 58968
1.88886 1.15773e-13 62366
1.90144 1.10548e-13 61266
1.914 1.06082e-13 63960
1.92679 1.01958e-13 64730
1.93957 9.76182e-14 66360
1.95256 9.35258e-14 67778
1.96563 8.96159e-14 69558
1.97869 8.60737e-14 69660
1.99179 8.20944e-14 71390
2.00509 7.88376e-14 73974
2.01846 7.57974e-14 74196
2.03193 7.24779e-14 76622
2.04528 6.94133e-14 75516
2.05892 6.65456e-14 81510
2.07279 6.36927e-14 80138
2.0865 6.09018e-14 82368
2.10039 5.85454e-14 84098
2.11443 5.61281e-14 86286
2.12845 5.36939e-14 86700
2.14263 5.14334e-14 90014
2.15695 4.94771e-14 90930
2.17119 4.75766e-14 91694
2.18567 4.53921e-14 96228
2.20036 4.35041e-14 97014
2.21494 4.1801e-14 97370
2.22958 4.00605e-14 100656
2.24445 3.82236e-14 102530
2.25936 3.66412e-14 104454
2.27439 3.51047e-14 107196
2.28969 3.35938e-14 110414
2.30493 3.22805e-14 109578
2.32027 3.09095e-14 114974
2.33573 2.9621e-14 114396
2.35122 2.84704e-14 118190
2.3669 2.72356e-14 120498
2.38266 2.60363e-14 122718
2.39847 2.5025e-14 124604
2.41442 2.39035e-14 127950
2.43055 2.29339e-14 130826
2.44673 2.20028e-14 132510
2.4629 2.11123e-14 134180
2.47932 2.0202e-14 140214
2.4959 1.93218e-14 140018
2.51254 1.85585e-14 145650
2.52927 1.77747e-14 145350
2.54604 1.69637e-14 150188
