# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.315804
# nk = 757
0.020944 199.045 6
0.0296192 77.2116 12
0.036276 38.7069 8
0.0418879 23.2255 6
0.0468321 15.2775 24
0.051302 11.3311 24
0.0592384 7.0133 12
0.0628319 5.95997 30
0.0662306 4.84207 24
0.0694632 3.87675 24
0.072552 3.19584 8
0.0755145 2.81017 24
0.0783651 2.16664 48
0.0837758 1.56168 6
0.0863541 1.4264 48
0.0888577 1.14875 36
0.0912926 1.14544 24
0.0936642 0.949841 24
0.0959772 0.866969 48
0.0982358 0.687971 24
0.102604 0.506575 24
0.10472 0.530738 30
0.106794 0.484055 72
0.108828 0.472876 32
0.112787 0.38355 72
0.114715 0.368055 48
0.118477 0.217171 12
0.120314 0.308093 48
0.122123 0.280615 48
0.123906 0.305731 48
0.125664 0.269833 30
0.127397 0.2415 24
0.129107 0.209657 72
0.132461 0.211575 24
0.134107 0.179135 96
0.135732 0.177745 48
0.137339 0.16175 24
0.138926 0.167836 24
0.140496 0.132129 72
0.142049 0.132809 48
0.145104 0.138304 8
0.146608 0.122313 54
0.148096 0.107356 84
0.14957 0.109362 48
0.151029 0.0929096 24
0.152474 0.07839 72
0.153906 0.093893 96
0.15673 0.0804277 48
0.158123 0.0674045 48
0.159504 0.0708855 24
0.160874 0.0653797 72
0.163577 0.0609444 72
0.164913 0.0650241 96
0.167552 0.0404337 6
0.168856 0.0578417 96
0.170149 0.05577 96
0.171434 0.0455652 24
0.172708 0.0511571 48
0.173974 0.0431502 96
0.17523 0.0470734 48
0.177715 0.0503661 36
0.178945 0.0445753 48
0.180167 0.042183 120
0.18138 0.0402572 56
0.182585 0.0365092 24
0.183782 0.0384497 96
0.184972 0.0299795 48
0.187328 0.0317503 24
0.188496 0.0293741 102
0.190347 0.033074 120
0.191954 0.0325969 48
0.193094 0.0282551 48
0.194226 0.0292682 120
0.196472 0.0261218 24
0.197585 0.0272674 144
0.199006 0.0246058 168
0.201976 0.0265936 48
0.203059 0.0246792 96
0.205208 0.0160755 24
0.206274 0.0177363 48
0.207335 0.0177054 108
0.20839 0.0233439 72
0.210326 0.0178155 198
0.211524 0.0153626 48
0.213587 0.0162712 72
0.214612 0.0125862 96
0.215631 0.012801 72
0.216957 0.0160231 104
0.218661 0.0125276 72
0.219662 0.0127243 144
0.223129 0.012305 192
0.224599 0.0128958 48
0.22618 0.0123414 192
0.22751 0.0110003 72
0.229429 0.00979441 48
0.230383 0.0122993 78
0.231604 0.0111792 168
0.23416 0.0098161 144
0.235095 0.00949734 144
0.236954 0.00979734 12
0.238108 0.00901512 192
0.239975 0.00933258 168
0.241537 0.00935322 48
0.242444 0.0082541 168
0.244844 0.00799608 144
0.246417 0.00659279 168
0.248401 0.00733492 144
0.249576 0.00605649 48
0.251327 0.0100811 30
0.252777 0.00706328 288
0.254191 0.00595507 80
0.25601 0.00667066 288
0.258214 0.00599635 72
0.2594 0.00605899 240
0.26075 0.00552123 96
0.262904 0.00511901 168
0.265657 0.00537942 216
0.266722 0.00560319 132
0.268622 0.00548921 192
0.269844 0.004598 120
0.271964 0.00452803 126
0.273543 0.00443005 288
0.275842 0.0045499 312
0.277853 0.00396533 24
0.279641 0.00411523 264
0.28148 0.00426504 192
0.282936 0.00353046 192
0.285198 0.00341215 336
0.286404 0.00392853 48
0.288084 0.003977 240
0.291553 0.00321659 296
0.292736 0.0027182 150
0.294335 0.00315688 240
0.296659 0.00284253 228
0.298323 0.00272425 216
0.300394 0.00282353 336
0.302928 0.0027951 360
0.304588 0.00209906 144
0.305974 0.00211616 168
0.308578 0.00247733 312
0.310884 0.0019661 288
0.312408 0.00194696 192
0.314799 0.00200822 366
0.317265 0.00219579 408
0.319597 0.00202488 168
0.320771 0.00193609 336
0.3227 0.00181548 240
0.32574 0.00152015 380
0.32795 0.00184799 384
0.330224 0.00156729 240
0.331726 0.00176733 360
0.333831 0.00136074 198
0.336246 0.0015048 384
0.338319 0.0013993 384
0.341157 0.00137235 432
0.343593 0.00123997 528
0.346262 0.00131298 288
0.347842 0.00117062 288
0.350326 0.00109471 456
0.352828 0.00104439 360
0.354442 0.00108937 180
0.356776 0.00107333 486
0.359142 0.00102422 504
0.361681 0.000995997 512
0.363857 0.000969966 264
0.366441 0.000971441 600
0.368657 0.00100092 288
0.371486 0.000859449 672
0.374587 0.000927432 408
0.376839 0.000736665 462
0.379079 0.000763779 600
0.38178 0.000750842 504
0.384712 0.000689599 324
0.386663 0.00066701 744
0.389313 0.000708437 456
0.39167 0.000638663 432
0.394428 0.000604753 720
0.397811 0.000625315 534
0.400019 0.00055393 536
0.402781 0.000511672 624
0.405015 0.000540636 600
0.40766 0.000467536 696
0.410865 0.00047405 456
0.413244 0.000487754 732
0.416084 0.000447933 600
0.418986 0.000455231 702
0.421544 0.000407615 672
0.424534 0.000440926 768
0.42751 0.000394144 768
0.430034 0.000378492 408
0.432751 0.00036471 1080
0.436344 0.000354188 632
0.438896 0.000336614 750
0.44171 0.000339992 696
0.444585 0.000364769 876
0.447784 0.00030497 864
0.45034 0.000306485 768
0.453413 0.000294812 888
0.456575 0.000277275 816
0.459787 0.00026155 654
0.462622 0.000245026 1296
0.465862 0.000259181 816
0.468802 0.000241554 816
0.471915 0.00021922 1088
0.475472 0.00022506 1020
0.478779 0.000206116 1032
0.481919 0.000208185 942
0.484939 0.000197555 1032
0.488502 0.000199812 1128
0.491034 0.000180638 888
0.494348 0.000187024 1176
0.497688 0.000175605 960
0.500527 0.000165731 1110
0.504331 0.000164909 1116
0.507364 0.00016286 1352
0.510774 0.000153852 1200
0.514275 0.000149887 1224
0.517978 0.000139549 1320
0.521294 0.000129402 1128
0.524822 0.000131443 1518
0.527973 0.000128128 1080
0.531698 0.000117513 1524
0.535226 0.000119916 1416
0.539103 0.000109303 1704
0.543 9.93414e-05 1088
0.546011 0.00010206 1446
0.549827 0.000104112 1800
0.55369 9.54067e-05 1512
0.557166 9.12267e-05 1392
0.560475 9.28986e-05 1392
0.564609 8.5856e-05 1962
0.56859 8.55162e-05 1776
0.572441 8.25406e-05 1680
0.5763 7.6838e-05 1776
0.580121 7.49039e-05 1544
0.583625 7.12315e-05 1896
0.587525 6.64509e-05 1662
0.591428 6.67798e-05 1908
0.595301 6.6071e-05 2184
0.599624 6.1971e-05 1848
0.603294 6.18371e-05 1848
0.60771 5.80667e-05 2238
0.611568 5.78476e-05 2088
0.615779 5.53219e-05 2192
0.619303 5.24641e-05 1536
0.623194 5.11782e-05 2412
0.627636 4.90239e-05 2262
0.631826 4.61413e-05 2448
0.635971 4.67364e-05 2040
0.64039 4.52509e-05 2976
0.644956 4.28144e-05 2184
0.649302 3.8769e-05 2550
0.653461 3.81708e-05 2396
0.657644 3.59053e-05 2760
0.662026 3.62756e-05 2424
0.666685 3.45036e-05 2832
0.670916 3.39059e-05 2574
0.675462 3.29786e-05 3024
0.679703 3.11615e-05 2484
0.684292 2.94606e-05 3168
