# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.0950949
# nk = 757
0.020944 4.09575 6
0.0296192 1.33305 12
0.036276 0.613816 8
0.0418879 0.345797 6
0.0468321 0.220084 24
0.051302 0.15503 24
0.0592384 0.0895083 12
0.0628319 0.0721534 30
0.0662306 0.0578856 24
0.0694632 0.0466829 24
0.072552 0.0383674 8
0.0755145 0.0322088 24
0.0783651 0.0261034 48
0.0837758 0.0184753 6
0.0863541 0.0160263 48
0.0888577 0.013422 36
0.0912926 0.0121626 24
0.0936642 0.0103889 24
0.0959772 0.00919081 48
0.0982358 0.00782415 24
0.102604 0.0061031 24
0.10472 0.00577744 30
0.106794 0.00525596 72
0.108828 0.00493246 32
0.112787 0.00411918 72
0.114715 0.0038399 48
0.118477 0.00294734 12
0.120314 0.00313785 48
0.122123 0.00292612 48
0.123906 0.00286975 48
0.125664 0.0026342 30
0.127397 0.00243648 24
0.129107 0.00221279 72
0.132461 0.00201691 24
0.134107 0.00183765 96
0.135732 0.00175711 48
0.137339 0.00163586 24
0.138926 0.00156791 24
0.140496 0.0013956 72
0.142049 0.00134061 48
0.145104 0.00120773 8
0.146608 0.00113654 54
0.148096 0.0010431 84
0.14957 0.00100615 48
0.151029 0.000924352 24
0.152474 0.000841149 72
0.153906 0.000848425 96
0.15673 0.000752758 48
0.158123 0.000684828 48
0.159504 0.000672895 24
0.160874 0.000638029 72
0.163577 0.000580232 72
0.164913 0.00058664 96
0.167552 0.00048602 6
0.168856 0.000516159 96
0.170149 0.000500911 96
0.171434 0.00045371 24
0.172708 0.000462301 48
0.173974 0.000417812 96
0.17523 0.000426365 48
0.177715 0.000419549 36
0.178945 0.000390312 48
0.180167 0.000378478 120
0.18138 0.000359571 56
0.182585 0.000346688 24
0.183782 0.000339097 96
0.184972 0.000307181 48
0.187328 0.000297329 24
0.188496 0.000289651 102
0.190347 0.000288123 120
0.191954 0.000279729 48
0.193094 0.000257389 48
0.194226 0.000256042 120
0.196472 0.000235418 24
0.197585 0.000234786 144
0.199006 0.00021707 168
0.201976 0.00021598 48
0.203059 0.000200361 96
0.205208 0.00017235 24
0.206274 0.00017256 48
0.207335 0.000167354 108
0.20839 0.000177144 72
0.210326 0.000157123 198
0.211524 0.000143022 48
0.213587 0.000144052 72
0.214612 0.000130242 96
0.215631 0.000125898 72
0.216957 0.00013401 104
0.218661 0.000117572 72
0.219662 0.000116389 144
0.223129 0.00010784 192
0.224599 0.000108615 48
0.22618 0.000103876 192
0.22751 9.8012e-05 72
0.229429 9.21857e-05 48
0.230383 9.60965e-05 78
0.231604 9.23506e-05 168
0.23416 8.29339e-05 144
0.235095 8.28226e-05 144
0.236954 8.70004e-05 12
0.238108 7.77292e-05 192
0.239975 7.5813e-05 168
0.241537 7.69987e-05 48
0.242444 7.16667e-05 168
0.244844 6.79249e-05 144
0.246417 6.2673e-05 168
0.248401 6.27229e-05 144
0.249576 5.80685e-05 48
0.251327 6.94562e-05 30
0.252777 5.86278e-05 288
0.254191 5.5049e-05 80
0.25601 5.48074e-05 288
0.258214 5.17009e-05 72
0.2594 5.04208e-05 240
0.26075 4.73253e-05 96
0.262904 4.53907e-05 168
0.265657 4.37841e-05 216
0.266722 4.40172e-05 132
0.268622 4.18078e-05 192
0.269844 3.88317e-05 120
0.271964 3.70782e-05 126
0.273543 3.58105e-05 288
0.275842 3.52309e-05 312
0.277853 3.39901e-05 24
0.279641 3.17693e-05 264
0.28148 3.14963e-05 192
0.282936 2.91325e-05 192
0.285198 2.74023e-05 336
0.286404 2.70743e-05 48
0.288084 2.89065e-05 240
0.291553 2.54187e-05 296
0.292736 2.35898e-05 150
0.294335 2.41751e-05 240
0.296659 2.30222e-05 228
0.298323 2.19201e-05 216
0.300394 2.18603e-05 336
0.302928 2.04893e-05 360
0.304588 1.81789e-05 144
0.305974 1.70196e-05 168
0.308578 1.83414e-05 312
0.310884 1.66452e-05 288
0.312408 1.6256e-05 192
0.314799 1.61606e-05 366
0.317265 1.61249e-05 408
0.319597 1.50914e-05 168
0.320771 1.47604e-05 336
0.3227 1.36329e-05 240
0.32574 1.24192e-05 380
0.32795 1.32932e-05 384
0.330224 1.19577e-05 240
0.331726 1.26915e-05 360
0.333831 1.11968e-05 198
0.336246 1.12093e-05 384
0.338319 1.02397e-05 384
0.341157 9.96952e-06 432
0.343593 9.58406e-06 528
0.346262 9.48404e-06 288
0.347842 8.93426e-06 288
0.350326 8.57985e-06 456
0.352828 8.05239e-06 360
0.354442 7.9617e-06 180
0.356776 7.84057e-06 486
0.359142 7.33374e-06 504
0.361681 7.30205e-06 512
0.363857 7.08428e-06 264
0.366441 6.96055e-06 600
0.368657 6.79881e-06 288
0.371486 6.24908e-06 672
0.374587 6.06388e-06 408
0.376839 5.38281e-06 462
0.379079 5.48942e-06 600
0.38178 5.25998e-06 504
0.384712 5.05228e-06 324
0.386663 4.86772e-06 744
0.389313 4.81413e-06 456
0.39167 4.60338e-06 432
0.394428 4.31926e-06 720
0.397811 4.19818e-06 534
0.400019 4.03527e-06 536
0.402781 3.67318e-06 624
0.405015 3.77308e-06 600
0.40766 3.40454e-06 696
0.410865 3.43111e-06 456
0.413244 3.32538e-06 732
0.416084 3.19441e-06 600
0.418986 3.13459e-06 702
0.421544 2.91481e-06 672
0.424534 2.87245e-06 768
0.42751 2.68271e-06 768
0.430034 2.70069e-06 408
0.432751 2.52404e-06 1080
0.436344 2.48284e-06 632
0.438896 2.27117e-06 750
0.44171 2.28004e-06 696
0.444585 2.26427e-06 876
0.447784 2.04055e-06 864
0.45034 1.97467e-06 768
0.453413 1.96747e-06 888
0.456575 1.81877e-06 816
0.459787 1.73589e-06 654
0.462622 1.70448e-06 1296
0.465862 1.6322e-06 816
0.468802 1.56364e-06 816
0.471915 1.46134e-06 1088
0.475472 1.48721e-06 1020
0.478779 1.38214e-06 1032
0.481919 1.31391e-06 942
0.484939 1.28739e-06 1032
0.488502 1.25043e-06 1128
0.491034 1.20475e-06 888
0.494348 1.16648e-06 1176
0.497688 1.15421e-06 960
0.500527 1.04776e-06 1110
0.504331 1.02916e-06 1116
0.507364 9.91154e-07 1352
0.510774 9.43952e-07 1200
0.514275 9.44958e-07 1224
0.517978 8.62607e-07 1320
0.521294 8.03039e-07 1128
0.524822 8.27203e-07 1518
0.527973 8.02253e-07 1080
0.531698 7.32887e-07 1524
0.535226 7.17946e-07 1416
0.539103 6.71352e-07 1704
0.543 6.51068e-07 1088
0.546011 6.19893e-07 1446
0.549827 6.13809e-07 1800
0.55369 5.90735e-07 1512
0.557166 5.59557e-07 1392
0.560475 5.63179e-07 1392
0.564609 5.18759e-07 1962
0.56859 5.00677e-07 1776
0.572441 4.79862e-07 1680
0.5763 4.61322e-07 1776
0.580121 4.40402e-07 1544
0.583625 4.24421e-07 1896
0.587525 3.96288e-07 1662
0.591428 4.01036e-07 1908
0.595301 3.80473e-07 2184
0.599624 3.51687e-07 1848
0.603294 3.5132e-07 1848
0.60771 3.28173e-07 2238
0.611568 3.19643e-07 2088
0.615779 3.06809e-07 2192
0.619303 3.00488e-07 1536
0.623194 2.8072e-07 2412
0.627636 2.79544e-07 2262
0.631826 2.63418e-07 2448
0.635971 2.54785e-07 2040
0.64039 2.40068e-07 2976
0.644956 2.31293e-07 2184
0.649302 2.17608e-07 2550
0.653461 2.10139e-07 2396
0.657644 2.03944e-07 2760
0.662026 1.93071e-07 2424
0.666685 1.93041e-07 2832
0.670916 1.80556e-07 2574
0.675462 1.76316e-07 3024
0.679703 1.7051e-07 2484
0.684292 1.60485e-07 3168
0.688927 1.57227e-07 2894
0.693468 1.4611e-07 2856
0.698026 1.4785e-07 3384
0.702952 1.39387e-07 3240
0.707372 1.3402e-07 2856
0.712317 1.28631e-07 3474
0.716936 1.245e-07 3432
0.721869 1.17376e-07 3552
0.726964 1.16092e-07 3560
0.73163 1.07765e-07 3270
0.736224 1.03602e-07 3552
0.74119 9.79717e-08 3780
0.746118 9.5217e-08 3960
0.751313 9.23384e-08 3696
0.756133 8.8474e-08 3726
0.761156 8.55305e-08 4376
0.766095 8.0765e-08 3648
0.771205 7.69432e-08 4332
0.776456 7.45937e-08 4254
0.781432 7.29686e-08 4296
0.786733 6.92537e-08 4320
0.791574 6.72952e-08 4368
0.797255 6.44432e-08 4826
0.802676 6.05762e-08 5016
0.808005 6.00585e-08 4608
0.813482 5.70204e-08 4824
0.818759 5.55538e-08 4950
0.824173 5.1338e-08 5232
0.829708 5.08793e-08 4980
0.834919 4.88398e-08 4838
0.840568 4.62838e-08 6024
0.846479 4.39869e-08 5520
0.851948 4.18711e-08 5400
0.857592 4.0977e-08 5538
0.863369 3.83139e-08 6456
0.869182 3.80707e-08 5504
0.874831 3.6378e-08 6168
0.880682 3.50921e-08 5910
0.886294 3.37364e-08 6372
0.892352 3.19111e-08 6768
0.898399 3.11042e-08 6294
0.904229 2.93188e-08 6656
0.910231 2.85342e-08 7224
0.916513 2.76085e-08 6708
0.922651 2.63015e-08 7566
0.92895 2.48222e-08 7416
0.935092 2.38265e-08 6984
0.940995 2.35604e-08 7310
0.947406 2.2142e-08 8148
0.953652 2.12888e-08 7632
0.960017 2.00993e-08 8088
0.966595 1.92648e-08 8478
0.972908 1.88166e-08 8112
0.979222 1.77909e-08 8108
0.985855 1.75244e-08 9510
0.992666 1.67932e-08 8472
0.998881 1.6262e-08 8832
1.00551 1.5501e-08 8898
1.01216 1.49745e-08 10008
1.01908 1.43285e-08 9392
1.02599 1.34335e-08 10206
1.03271 1.29422e-08 9528
1.03948 1.26699e-08 10236
1.04641 1.2016e-08 10398
1.05346 1.17184e-08 10784
1.06036 1.1095e-08 10584
1.0676 1.0691e-08 11346
1.07471 1.02461e-08 11400
1.08175 9.698e-09 11016
1.08895 9.26526e-09 11870
1.09637 9.05517e-09 12516
1.10369 8.67943e-09 11880
1.11092 8.47968e-09 11886
1.1181 8.03512e-09 13104
1.12573 7.62273e-09 12764
1.1332 7.43222e-09 13446
1.14081 7.06725e-09 13464
1.14829 6.73347e-09 13398
1.15605 6.46339e-09 14628
1.16374 6.28518e-09 14024
1.1717 6.0877e-09 15054
1.17935 5.65216e-09 14496
1.18713 5.55458e-09 15012
1.195 5.30649e-09 15422
1.20281 5.021e-09 15624
1.21088 4.87838e-09 16146
1.21904 4.66077e-09 17064
1.22715 4.49416e-09 16152
1.23533 4.36836e-09 17510
1.24354 4.11139e-09 17172
1.25174 3.90878e-09 17880
1.26013 3.82747e-09 18030
1.26845 3.57957e-09 18680
1.27706 3.50147e-09 19170
1.28545 3.39644e-09 18720
1.29387 3.2226e-09 19536
1.3027 3.12123e-09 20954
1.31143 2.98079e-09 20328
1.3202 2.87622e-09 20718
1.32891 2.74659e-09 21348
1.33775 2.67615e-09 21534
1.34663 2.52492e-09 22256
1.35548 2.40581e-09 22104
1.3645 2.35332e-09 23178
1.37362 2.21035e-09 23880
1.38289 2.12678e-09 24230
1.39214 2.03213e-09 24468
1.40146 1.97521e-09 25230
1.41076 1.91108e-09 25328
1.42016 1.79791e-09 25818
1.42955 1.73669e-09 26616
1.43897 1.63958e-09 26376
1.44856 1.59949e-09 28034
1.45815 1.48832e-09 27816
1.46783 1.46782e-09 28398
1.47755 1.39707e-09 29652
1.48753 1.3675e-09 30134
1.4975 1.29828e-09 30792
1.50759 1.23521e-09 31218
1.51744 1.2042e-09 30912
1.52762 1.14724e-09 33158
1.53782 1.11986e-09 32772
1.54798 1.05871e-09 33150
1.55817 1.0204e-09 34256
1.56867 9.71233e-10 35562
1.579 9.19902e-10 34992
1.58955 8.89524e-10 37158
1.60018 8.55074e-10 36956
1.61084 8.17051e-10 37950
1.62148 7.93548e-10 38496
1.63242 7.60893e-10 40274
1.64322 7.19818e-10 39264
1.65411 6.9891e-10 41466
1.66512 6.69158e-10 41960
1.67627 6.35909e-10 42702
1.68736 6.09669e-10 43356
1.69863 5.88702e-10 44886
1.70994 5.66244e-10 45248
1.72135 5.39869e-10 46362
1.73279 5.21743e-10 46974
1.74428 4.94033e-10 48236
1.75588 4.72019e-10 48774
1.76756 4.63075e-10 50616
1.77941 4.4218e-10 51050
1.79124 4.19929e-10 52272
1.80325 4.04592e-10 53658
1.81507 3.84733e-10 52640
1.82722 3.72314e-10 57366
1.83948 3.56864e-10 55170
1.85166 3.41683e-10 58544
1.86408 3.26433e-10 58506
1.87633 3.15626e-10 58968
1.88886 3.02728e-10 62366
1.90144 2.88742e-10 61266
1.914 2.76204e-10 63960
1.92679 2.65579e-10 64730
1.93957 2.54811e-10 66360
1.95256 2.44476e-10 67778
1.96563 2.3346e-10 69558
1.97869 2.24886e-10 69660
1.99179 2.14525e-10 71390
2.00509 2.07091e-10 73974
2.01846 1.991e-10 74196
2.03193 1.90494e-10 76622
2.04528 1.81473e-10 75516
2.05892 1.75285e-10 81510
2.07279 1.66439e-10 80138
2.0865 1.62142e-10 82368
2.10039 1.53031e-10 84098
2.11443 1.48581e-10 86286
2.12845 1.40536e-10 86700
2.14263 1.37175e-10 90014
2.15695 1.29436e-10 90930
2.17119 1.25491e-10 91694
2.18567 1.2023e-10 96228
2.20036 1.15466e-10 97014
2.21494 1.11677e-10 97370
2.22958 1.05478e-10 100656
2.24445 1.0157e-10 102530
2.25936 9.68999e-11 104454
2.27439 9.35361e-11 107196
2.28969 8.95104e-11 110414
2.30493 8.49896e-11 109578
2.32027 8.21616e-11 114974
2.33573 7.85329e-11 114396
2.35122 7.51837e-11 118190
2.3669 7.18256e-11 120498
2.38266 6.9247e-11 122718
2.39847 6.64918e-11 124604
2.41442 6.37152e-11 127950
2.43055 6.06974e-11 130826
2.44673 5.86528e-11 132510
2.4629 5.66191e-11 134180
2.47932 5.38163e-11 140214
2.4959 5.16124e-11 140018
2.51254 4.96245e-11 145650
2.52927 4.74053e-11 145350
2.54604 4.54784e-11 150188
2.56299 4.38008e-11 152214
2.58009 4.16303e-11 157226
2.5973 3.98109e-11 158118
2.61455 3.81545e-11 162338
2.63195 3.66845e-11 165378
2.64948 3.52978e-11 169256
2.66707 3.38325e-11 170682
2.68485 3.23597e-11 177566
2.70286 3.10464e-11 179610
2.72085 2.97064e-11 182690
2.73892 2.84274e-11 185694
2.75712 2.74742e-11 190346
2.77543 2.61863e-11 192852
2.79389 2.51784e-11 198806
2.81251 2.40529e-11 201378
2.83127 2.29513e-11 207446
2.85007 2.2078e-11 207258
