# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.631662
# nk = 757
0.020944 1260.91 6
0.0296192 542.514 12
0.036276 285.014 8
0.0418879 177.849 6
0.0468321 118.922 24
0.051302 91.9984 24
0.0592384 59.7852 12
0.0628319 53.2823 30
0.0662306 43.7343 24
0.0694632 34.5468 24
0.072552 28.1069 8
0.0755145 26.0766 24
0.0783651 18.7981 48
0.0837758 13.7812 6
0.0863541 13.3322 48
0.0888577 10.227 36
0.0912926 11.1362 24
0.0936642 8.98769 24
0.0959772 8.58075 48
0.0982358 6.38181 24
0.102604 4.36088 24
0.10472 5.08715 30
0.106794 4.70697 72
0.108828 4.67788 32
0.112787 3.69633 72
0.114715 3.73903 48
0.118477 1.65859 12
0.120314 3.16995 48
0.122123 2.75368 48
0.123906 3.33737 48
0.125664 2.8029 30
0.127397 2.36705 24
0.129107 2.03591 72
0.132461 2.30099 24
0.134107 1.76428 96
0.135732 1.77144 48
0.137339 1.52964 24
0.138926 1.79656 24
0.140496 1.23089 72
0.142049 1.28664 48
0.145104 1.75068 8
0.146608 1.34858 54
0.148096 1.13426 84
0.14957 1.23326 48
0.151029 0.911162 24
0.152474 0.73886 72
0.153906 1.09232 96
0.15673 0.888637 48
0.158123 0.706061 48
0.159504 0.811048 24
0.160874 0.678338 72
0.163577 0.685376 72
0.164913 0.722215 96
0.167552 0.309195 6
0.168856 0.66576 96
0.170149 0.616426 96
0.171434 0.49329 24
0.172708 0.56447 48
0.173974 0.512394 96
0.17523 0.539041 48
0.177715 0.600805 36
0.178945 0.535237 48
0.180167 0.471658 120
0.18138 0.470541 56
0.182585 0.387758 24
0.183782 0.462987 96
0.184972 0.302612 48
0.187328 0.355476 24
0.188496 0.298976 102
0.190347 0.381505 120
0.191954 0.372374 48
0.193094 0.33436 48
0.194226 0.341485 120
0.196472 0.286967 24
0.197585 0.314645 144
0.199006 0.296969 168
0.201976 0.291989 48
0.203059 0.300437 96
0.205208 0.165521 24
0.206274 0.190166 48
0.207335 0.191637 108
0.20839 0.312565 72
0.210326 0.211921 198
0.211524 0.197732 48
0.213587 0.19029 72
0.214612 0.136388 96
0.215631 0.153549 72
0.216957 0.199996 104
0.218661 0.153441 72
0.219662 0.154331 144
0.223129 0.152469 192
0.224599 0.159454 48
0.22618 0.148475 192
0.22751 0.138338 72
0.229429 0.109704 48
0.230383 0.171619 78
0.231604 0.143614 168
0.23416 0.135196 144
0.235095 0.117652 144
0.236954 0.0966398 12
0.238108 0.117507 192
0.239975 0.122552 168
0.241537 0.103387 48
0.242444 0.0985221 168
0.244844 0.0979457 144
0.246417 0.0771011 168
0.248401 0.0935713 144
0.249576 0.0794983 48
0.251327 0.126058 30
