# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.183401
# nk = 757
0.020944 37.0843 6
0.0296192 13.2523 12
0.036276 6.38882 8
0.0418879 3.7204 6
0.0468321 2.41192 24
0.051302 1.74227 24
0.0592384 1.04168 12
0.0628319 0.860502 30
0.0662306 0.694888 24
0.0694632 0.559507 24
0.072552 0.461566 8
0.0755145 0.395236 24
0.0783651 0.314262 48
0.0837758 0.22448 6
0.0863541 0.199017 48
0.0888577 0.164142 36
0.0912926 0.155145 24
0.0936642 0.130872 24
0.0959772 0.117189 48
0.0982358 0.0968383 24
0.102604 0.0738987 24
0.10472 0.0729647 30
0.106794 0.0664169 72
0.108828 0.063561 32
0.112787 0.0524298 72
0.114715 0.0493663 48
0.118477 0.0340217 12
0.120314 0.0408218 48
0.122123 0.0378143 48
0.123906 0.0387677 48
0.125664 0.0350275 30
0.127397 0.0320289 24
0.129107 0.0284634 72
0.132461 0.027039 24
0.134107 0.0239636 96
0.135732 0.0233206 48
0.137339 0.0215687 24
0.138926 0.0212791 24
0.140496 0.0180318 72
0.142049 0.0176786 48
0.145104 0.0166644 8
0.146608 0.0154471 54
0.148096 0.0139065 84
0.14957 0.0137179 48
0.151029 0.0122593 24
0.152474 0.010796 72
0.153906 0.0116351 96
0.15673 0.0101927 48
0.158123 0.00893974 48
0.159504 0.00902817 24
0.160874 0.00850259 72
0.163577 0.00776723 72
0.164913 0.00810545 96
0.167552 0.00601499 6
0.168856 0.00714054 96
0.170149 0.00693894 96
0.171434 0.00598412 24
0.172708 0.00638629 48
0.173974 0.00552798 96
0.17523 0.00585895 48
0.177715 0.00600171 36
0.178945 0.00543555 48
0.180167 0.00524196 120
0.18138 0.00495852 56
0.182585 0.00469347 24
0.183782 0.00469877 96
0.184972 0.00400679 48
0.187328 0.00401197 24
0.188496 0.00386231 102
0.190347 0.00403684 120
0.191954 0.00395932 48
0.193094 0.00351838 48
0.194226 0.00357602 120
0.196472 0.00325202 24
0.197585 0.00331157 144
0.199006 0.00300224 168
0.201976 0.00315168 48
0.203059 0.00288481 96
0.205208 0.00222397 24
0.206274 0.00231619 48
0.207335 0.0022695 108
0.20839 0.00262226 72
0.210326 0.00218706 198
0.211524 0.00191742 48
0.213587 0.00200866 72
0.214612 0.00169747 96
0.215631 0.00165796 72
0.216957 0.00191099 104
0.218661 0.00157908 72
0.219662 0.00158442 144
0.223129 0.00149509 192
0.224599 0.00154342 48
0.22618 0.00147715 192
0.22751 0.00135576 72
0.229429 0.00125268 48
0.230383 0.00140111 78
0.231604 0.00132094 168
0.23416 0.00115879 144
0.235095 0.0011564 144
0.236954 0.0012504 12
0.238108 0.00108783 192
0.239975 0.00108772 168
0.241537 0.00112065 48
0.242444 0.00100885 168
0.244844 0.000961224 144
0.246417 0.000845807 168
0.248401 0.000883878 144
0.249576 0.000774316 48
0.251327 0.00109889 30
0.252777 0.000843341 288
0.254191 0.000761393 80
0.25601 0.000792436 288
0.258214 0.000735454 72
0.2594 0.000723866 240
0.26075 0.000667465 96
0.262904 0.000634181 168
0.265657 0.000633499 216
0.266722 0.000649802 132
0.268622 0.000621828 192
0.269844 0.000552073 120
0.271964 0.000532086 126
0.273543 0.000515899 288
0.275842 0.000520172 312
0.277853 0.000490769 24
0.279641 0.000465902 264
0.28148 0.000472427 192
0.282936 0.000417194 192
0.285198 0.000392123 336
0.286404 0.000410363 48
0.288084 0.000445881 240
0.291553 0.00037262 296
0.292736 0.000331306 150
0.294335 0.000357396 240
0.296659 0.000336568 228
0.298323 0.000318002 216
0.300394 0.000325073 336
0.302928 0.000305933 360
0.304588 0.000250135 144
0.305974 0.000234902 168
0.308578 0.000273853 312
0.310884 0.000231988 288
0.312408 0.000228018 192
