# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.324434
# nk = 757
0.020944 215.499 6
0.0296192 83.9399 12
0.036276 42.1608 8
0.0418879 25.3366 6
0.0468321 16.6776 24
0.051302 12.3877 24
0.0592384 7.68135 12
0.0628319 6.53832 30
0.0662306 5.31369 24
0.0694632 4.25261 24
0.072552 3.50494 8
0.0755145 3.08707 24
0.0783651 2.37532 48
0.0837758 1.71296 6
0.0863541 1.56747 48
0.0888577 1.26043 36
0.0912926 1.26073 24
0.0936642 1.04439 24
0.0959772 0.954493 48
0.0982358 0.755607 24
0.102604 0.555082 24
0.10472 0.583682 30
0.106794 0.532456 72
0.108828 0.520685 32
0.112787 0.421913 72
0.114715 0.405426 48
0.118477 0.236933 12
0.120314 0.339586 48
0.122123 0.308903 48
0.123906 0.337791 48
0.125664 0.297682 30
0.127397 0.26602 24
0.129107 0.230689 72
0.132461 0.233682 24
0.134107 0.197253 96
0.135732 0.195909 48
0.137339 0.178055 24
0.138926 0.185395 24
0.140496 0.14528 72
0.142049 0.146235 48
0.145104 0.153407 8
0.146608 0.135168 54
0.148096 0.118461 84
0.14957 0.12092 48
0.151029 0.102358 24
0.152474 0.0861586 72
0.153906 0.103908 96
0.15673 0.0888716 48
0.158123 0.0742954 48
0.159504 0.0783374 24
0.160874 0.0721168 72
0.163577 0.0673454 72
0.164913 0.0718958 96
0.167552 0.0441905 6
0.168856 0.0640095 96
0.170149 0.0616657 96
0.171434 0.0502528 24
0.172708 0.0565547 48
0.173974 0.0476983 96
0.17523 0.0520719 48
0.177715 0.0558353 36
0.178945 0.0493753 48
0.180167 0.0466501 120
0.18138 0.0445656 56
0.182585 0.0402931 24
0.183782 0.0425908 96
0.184972 0.0330203 48
0.187328 0.0350995 24
0.188496 0.0323731 102
0.190347 0.0366182 120
0.191954 0.0360884 48
0.193094 0.0312661 48
0.194226 0.0324077 120
0.196472 0.028882 24
0.197585 0.0301934 144
0.199006 0.0272618 168
0.201976 0.029462 48
0.203059 0.0273937 96
0.205208 0.0176704 24
0.206274 0.0195591 48
0.207335 0.0195451 108
0.20839 0.0259809 72
0.210326 0.0197243 198
0.211524 0.0170176 48
0.213587 0.0180054 72
0.214612 0.0138615 96
0.215631 0.014144 72
0.216957 0.0177695 104
0.218661 0.0138623 72
0.219662 0.0140855 144
0.223129 0.0136384 192
0.224599 0.0142981 48
0.22618 0.0136804 192
0.22751 0.0121821 72
0.229429 0.0108156 48
0.230383 0.0136843 78
0.231604 0.012407 168
0.23416 0.0109075 144
0.235095 0.0105226 144
0.236954 0.0107913 12
0.238108 0.00999808 192
0.239975 0.0103673 168
0.241537 0.010355 48
0.242444 0.00913797 168
0.244844 0.00886329 144
0.246417 0.00728204 168
0.248401 0.00813241 144
0.249576 0.00670097 48
0.251327 0.0112164 30
0.252777 0.00782713 288
0.254191 0.00656961 80
0.25601 0.00739447 288
0.258214 0.00663166 72
0.2594 0.00671657 240
0.26075 0.00611762 96
0.262904 0.00566432 168
0.265657 0.00596784 216
0.266722 0.00621962 132
0.268622 0.00610225 192
0.269844 0.00509703 120
0.271964 0.00502609 126
0.273543 0.00492025 288
0.275842 0.00505568 312
0.277853 0.00437774 24
0.279641 0.00457859 264
0.28148 0.00475051 192
0.282936 0.00391678 192
0.285198 0.00379698 336
0.286404 0.00439195 48
0.288084 0.00441649 240
0.291553 0.00357192 296
0.292736 0.0030115 150
0.294335 0.00351255 240
0.296659 0.00314925 228
0.298323 0.00302501 216
0.300394 0.00313463 336
0.302928 0.00311749 360
0.304588 0.00233377 144
0.305974 0.00236596 168
0.308578 0.00275947 312
0.310884 0.00218684 288
0.312408 0.00216606 192
0.314799 0.00223029 366
0.317265 0.00244591 408
0.319597 0.00225223 168
0.320771 0.00215607 336
0.3227 0.00202271 240
0.32574 0.00169361 380
0.32795 0.00205797 384
0.330224 0.00174671 240
0.331726 0.00196704 360
0.333831 0.00151288 198
0.336246 0.00167551 384
0.338319 0.00156315 384
0.341157 0.00153379 432
0.343593 0.00138271 528
0.346262 0.00146561 288
0.347842 0.00130439 288
0.350326 0.00121825 456
