# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.460461
# nk = 757
0.020944 576.586 6
0.0296192 236.89 12
0.036276 121.923 8
0.0418879 74.7455 6
0.0468321 49.6217 24
0.051302 37.6185 24
0.0592384 23.9062 12
0.0628319 20.8228 30
0.0662306 17.0024 24
0.0694632 13.5213 24
0.072552 11.09 8
0.0755145 10.0126 24
0.0783651 7.46968 48
0.0837758 5.42713 6
0.0863541 5.1033 48
0.0888577 4.01069 36
0.0912926 4.19092 24
0.0936642 3.42387 24
0.0959772 3.19302 48
0.0982358 2.44511 24
0.102604 1.73402 24
0.10472 1.92178 30
0.106794 1.76175 72
0.108828 1.74247 32
0.112787 1.39303 72
0.114715 1.36963 48
0.118477 0.696387 12
0.120314 1.15576 48
0.122123 1.02927 48
0.123906 1.18617 48
0.125664 1.02182 30
0.127397 0.890541 24
0.129107 0.764166 72
0.132461 0.817863 24
0.134107 0.659185 96
0.135732 0.661234 48
0.137339 0.587956 24
0.138926 0.646872 24
0.140496 0.473826 72
0.142049 0.486418 48
0.145104 0.575192 8
0.146608 0.476371 54
0.148096 0.408769 84
0.14957 0.430151 48
0.151029 0.342924 24
0.152474 0.280717 72
0.153906 0.374988 96
0.15673 0.313217 48
0.158123 0.253766 48
0.159504 0.278626 24
0.160874 0.247131 72
0.163577 0.238559 72
0.164913 0.254675 96
0.167552 0.13119 6
0.168856 0.230219 96
0.170149 0.21824 96
0.171434 0.173558 24
0.172708 0.199752 48
0.173974 0.17165 96
0.17523 0.186514 48
0.177715 0.205104 36
0.178945 0.180658 48
0.180167 0.165736 120
0.18138 0.161381 56
0.182585 0.139219 24
0.183782 0.156048 96
0.184972 0.111187 48
0.187328 0.124638 24
0.188496 0.109606 102
0.190347 0.132199 120
0.191954 0.129798 48
0.193094 0.113191 48
0.194226 0.117451 120
0.196472 0.102029 24
0.197585 0.109049 144
0.199006 0.100185 168
0.201976 0.105538 48
0.203059 0.10214 96
0.205208 0.0586441 24
0.206274 0.0672997 48
0.207335 0.0679098 108
0.20839 0.10112 72
0.210326 0.0717111 198
0.211524 0.0635038 48
