# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.928607
# nk = 757
0.020944 2667.55 6
0.0296192 1205.8 12
0.036276 647.394 8
0.0418879 412.067 6
0.0468321 277.838 24
0.051302 220.284 24
0.0592384 146.794 12
0.0628319 134.449 30
0.0662306 111.212 24
0.0694632 87.2104 24
0.072552 70.04 8
0.0755145 67.312 24
0.0783651 46.4869 48
0.0837758 34.5839 6
0.0863541 34.5834 48
0.0888577 25.7925 36
0.0912926 29.3296 24
0.0936642 23.4273 24
0.0959772 23.0676 48
0.0982358 16.7293 24
0.102604 10.9632 24
0.10472 13.4907 30
0.106794 12.6993 72
0.108828 12.5765 32
0.112787 9.84473 72
0.114715 10.3416 48
0.118477 3.97775 12
0.120314 8.79378 48
0.122123 7.41255 48
0.123906 9.46424 48
0.125664 7.69706 30
0.127397 6.21178 24
0.129107 5.4801 72
0.132461 6.56032 24
0.134107 4.74086 96
0.135732 4.69578 48
0.137339 3.88062 24
0.138926 4.97859 24
0.140496 3.1846 72
0.142049 3.38688 48
0.145104 5.47393 8
0.146608 3.88253 54
0.148096 3.19389 84
0.14957 3.61551 48
0.151029 2.4028 24
0.152474 1.99525 72
0.153906 3.25188 96
0.15673 2.56932 48
0.158123 2.03353 48
0.159504 2.47154 24
0.160874 1.87811 72
0.163577 2.02135 72
0.164913 2.08082 96
0.167552 0.739335 6
0.168856 1.97108 96
0.170149 1.75896 96
0.171434 1.4862 24
0.172708 1.62188 48
0.173974 1.62028 96
0.17523 1.59698 48
0.177715 1.78518 36
0.178945 1.64063 48
0.180167 1.36967 120
0.18138 1.40041 56
0.182585 1.11085 24
0.183782 1.41285 96
0.184972 0.843926 48
0.187328 1.02359 24
0.188496 0.836762 102
0.190347 1.11727 120
0.191954 1.08788 48
0.193094 1.03089 48
0.194226 1.01183 120
0.196472 0.821705 24
0.197585 0.927774 144
0.199006 0.898132 168
0.201976 0.784085 48
0.203059 0.882609 96
0.205208 0.522399 24
0.206274 0.57005 48
0.207335 0.569238 108
0.20839 0.974182 72
0.210326 0.652892 198
0.211524 0.654977 48
0.213587 0.58382 72
0.214612 0.428645 96
0.215631 0.495587 72
0.216957 0.627723 104
0.218661 0.489197 72
0.219662 0.48217 144
0.223129 0.479609 192
0.224599 0.500463 48
0.22618 0.44918 192
0.22751 0.459881 72
0.229429 0.336846 48
0.230383 0.58147 78
0.231604 0.461375 168
0.23416 0.453898 144
0.235095 0.377739 144
0.236954 0.311239 12
0.238108 0.388671 192
0.239975 0.394534 168
0.241537 0.294534 48
0.242444 0.312828 168
0.244844 0.305202 144
0.246417 0.253566 168
0.248401 0.305331 144
0.249576 0.269916 48
0.251327 0.382985 30
0.252777 0.259503 288
0.254191 0.187754 80
0.25601 0.254965 288
0.258214 0.194975 72
0.2594 0.251305 240
0.26075 0.212211 96
0.262904 0.219724 168
0.265657 0.212338 216
0.266722 0.228988 132
0.268622 0.221487 192
0.269844 0.201193 120
0.271964 0.193148 126
0.273543 0.182019 288
0.275842 0.176263 312
0.277853 0.124146 24
0.279641 0.177135 264
0.28148 0.196472 192
0.282936 0.137506 192
0.285198 0.165857 336
0.286404 0.185399 48
0.288084 0.130381 240
