# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.291267
# nk = 757
0.020944 253.963 6
0.0296192 54.4515 12
0.036276 43.8432 8
0.0418879 23.33 6
0.0468321 21.3447 24
0.051302 7.00125 24
0.0592384 3.99718 12
0.0628319 4.53255 30
0.0662306 2.95202 24
0.0694632 3.4395 24
0.072552 2.93645 8
0.0755145 2.32341 24
0.0783651 1.71165 48
0.0837758 2.63582 6
0.0863541 0.807655 48
0.0888577 0.623597 36
0.0912926 0.766977 24
0.0936642 0.291045 24
0.0959772 0.474158 48
0.0982358 0.328261 24
0.102604 0.389075 24
0.10472 0.436918 30
0.106794 0.480086 72
0.108828 0.351416 32
0.112787 0.220811 72
0.114715 0.161146 48
0.118477 0.0653429 12
0.120314 0.186908 48
0.122123 0.213407 48
0.123906 0.107252 48
0.125664 0.230655 30
0.127397 0.139326 24
0.129107 0.160855 72
0.132461 0.181246 24
0.134107 0.0982442 96
0.135732 0.166522 48
0.137339 0.165313 24
0.138926 0.0696568 24
0.140496 0.0588458 72
0.142049 0.0629809 48
0.145104 0.161476 8
0.146608 0.0142129 54
0.148096 0.0534629 84
0.14957 0.0653064 48
0.151029 0.0309683 24
0.152474 0.0593618 72
0.153906 0.0625377 96
0.15673 0.0449757 48
0.158123 0.041132 48
0.159504 0.0172097 24
0.160874 0.0338511 72
0.163577 0.0223581 72
0.164913 0.0526573 96
0.167552 0 6
0.168856 0.0310941 96
0.170149 0.0174867 96
0.171434 0.0109893 24
0.172708 0.0395895 48
0.173974 0.0321467 96
0.17523 0.0264255 48
0.177715 0.0286616 36
0.178945 0.00279648 48
0.180167 0.0141044 120
0.18138 0.017327 56
0.182585 0.0286043 24
0.183782 0.000833463 96
0.184972 0.0149844 48
0.187328 0.0117436 24
0.188496 0.00138116 102
0.190347 0.0270331 120
0.191954 0.0274039 48
0.193094 0.0203676 48
0.194226 0.0210736 120
0.196472 0.000110929 24
0.197585 0.00780263 144
0.199006 0.00847652 168
0.201976 0.0165238 48
0.203059 0.000211234 96
0.205208 0.00553787 24
0.206274 0.00465929 48
0.207335 0.0108813 108
0.20839 0.0133852 72
0.210326 0.0125249 198
0.211524 0.0132969 48
0.213587 0.0114286 72
0.214612 0 96
0.215631 0.00270379 72
0.216957 0.00421332 104
0.218661 0.0112471 72
0.219662 0 144
0.223129 0.00193211 192
0.224599 0.00268351 48
0.22618 0.00533002 192
0.22751 0.00797286 72
0.229429 0.00689991 48
0.230383 0.0101546 78
0.231604 0.00692626 168
0.23416 0 144
0.235095 0.000727653 144
0.236954 0.00239674 12
0.238108 0.00712997 192
0.239975 0 168
0.241537 0.000399356 48
0.242444 0.0017349 168
0.244844 0.00479158 144
0.246417 0.00509168 168
0.248401 0.00583708 144
0.249576 0.00518422 48
0.251327 0.00562673 30
0.252777 0 288
0.254191 1.62113e-06 80
0.25601 0.000582344 288
0.258214 0.00436338 72
0.2594 0 240
0.26075 4.7008e-06 96
0.262904 0.000261634 168
0.265657 0.00352578 216
0.266722 0.00463393 132
0.268622 0.00351233 192
0.269844 0.00318045 120
0.271964 0.00240642 126
0.273543 0 288
0.275842 7.92124e-06 312
0.277853 0.000216416 24
0.279641 0.00272498 264
0.28148 0 192
0.282936 0 192
0.285198 0.000137333 336
0.286404 0.00109421 48
0.288084 0.0030839 240
0.291553 0.00251635 296
0.292736 0.00191864 150
0.294335 0.00154184 240
0.296659 0 228
0.298323 0 216
0.300394 0 336
0.302928 0.00200889 360
0.304588 0 144
0.305974 0 168
0.308578 0 312
0.310884 0.000582238 288
0.312408 0.00150337 192
0.314799 0.00141654 366
0.317265 0.00158379 408
0.319597 0.00079094 168
0.320771 0 336
0.3227 0 240
0.32574 0 380
0.32795 0.00134408 384
0.330224 0 240
0.331726 0 360
0.333831 0 198
0.336246 0.000848735 384
0.338319 0.00105132 384
0.341157 0.00100666 432
0.343593 0.000901135 528
0.346262 0.00047871 288
0.347842 0 288
0.350326 0 456
0.352828 0 360
0.354442 0.000752374 180
0.356776 0 486
0.359142 0 504
0.361681 0 512
0.363857 0.000468646 264
0.366441 0.000702601 600
0.368657 0.000652612 288
0.371486 0.000619318 672
0.374587 7.01479e-05 408
0.376839 0 462
0.379079 0 600
0.38178 0 504
0.384712 0.000483368 324
0.386663 0 744
0.389313 0 456
0.39167 0 432
0.394428 0 720
0.397811 0.000418657 534
0.400019 0.000392388 536
0.402781 0.00034346 624
0.405015 0 600
0.40766 0 696
0.410865 0 456
0.413244 0 732
0.416084 0.000299253 600
0.418986 0 702
0.421544 0 672
0.424534 0 768
0.42751 0 768
0.430034 0.000265678 408
0.432751 0.000266529 1080
0.436344 0.000255356 632
0.438896 0 750
0.44171 0 696
0.444585 3.47887e-07 876
0.447784 0 864
0.45034 0.000227887 768
0.453413 0 888
0.456575 0 816
0.459787 0 654
0.462622 0 1296
0.465862 0.000194121 816
0.468802 0.000159285 816
0.471915 0.000153583 1088
0.475472 0 1020
0.478779 0 1032
0.481919 2.226e-05 942
0.484939 0 1032
0.488502 0.000141636 1128
0.491034 0 888
0.494348 9.62772e-06 1176
0.497688 0 960
0.500527 0 1110
0.504331 0.000110894 1116
0.507364 0.00011274 1352
0.510774 0.000106136 1200
0.514275 0 1224
0.517978 0 1320
0.521294 6.93765e-06 1128
0.524822 0 1518
0.527973 8.57826e-05 1080
0.531698 0 1524
0.535226 2.48198e-06 1416
0.539103 0 1704
0.543 0 1088
0.546011 7.12333e-05 1446
0.549827 6.74923e-05 1800
0.55369 6.5909e-05 1512
0.557166 0 1392
0.560475 0 1392
0.564609 0 1962
0.56859 0 1776
0.572441 5.79641e-05 1680
0.5763 0 1776
0.580121 0 1544
0.583625 0 1896
0.587525 0 1662
0.591428 4.80119e-05 1908
0.595301 4.51205e-05 2184
0.599624 4.36051e-05 1848
0.603294 0 1848
0.60771 0 2238
0.611568 0 2088
0.615779 0 2192
0.619303 3.80771e-05 1536
0.623194 0 2412
0.627636 0 2262
0.631826 0 2448
0.635971 0 2040
