# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.877177
# nk = 757
0.020944 2426.95 6
0.0296192 1089.8 12
0.036276 583.398 8
0.0418879 370.315 6
0.0468321 249.388 24
0.051302 197.041 24
0.0592384 130.851 12
0.0628319 119.391 30
0.0662306 98.6375 24
0.0694632 77.4202 24
0.072552 62.2994 8
0.0755145 59.5708 24
0.0783651 41.388 48
0.0837758 30.7174 6
0.0863541 30.58 48
0.0888577 22.8925 36
0.0912926 25.8872 24
0.0936642 20.7007 24
0.0959772 20.2924 48
0.0982358 14.7569 24
0.102604 9.72368 24
0.10472 11.8857 30
0.106794 11.157 72
0.108828 11.0606 32
0.112787 8.6662 72
0.114715 9.05546 48
0.118477 3.54611 12
0.120314 7.69707 48
0.122123 6.51459 48
0.123906 8.26328 48
0.125664 6.75102 30
0.127397 5.48499 24
0.129107 4.81409 72
0.132461 5.72177 24
0.134107 4.16758 96
0.135732 4.14005 48
0.137339 3.44416 24
0.138926 4.36261 24
0.140496 2.81404 72
0.142049 2.98671 48
0.145104 4.71557 8
0.146608 3.38029 54
0.148096 2.78912 84
0.14957 3.13937 48
0.151029 2.11857 24
0.152474 1.74924 72
0.153906 2.81902 96
0.15673 2.23543 48
0.158123 1.76811 48
0.159504 2.13197 24
0.160874 1.64399 72
0.163577 1.75377 72
0.164913 1.81119 96
0.167552 0.657346 6
0.168856 1.70894 96
0.170149 1.53367 96
0.171434 1.28225 24
0.172708 1.41186 48
0.173974 1.39055 96
0.17523 1.38453 48
0.177715 1.54804 36
0.178945 1.41546 48
0.180167 1.19038 120
0.18138 1.21396 56
0.182585 0.966668 24
0.183782 1.22022 96
0.184972 0.736969 48
0.187328 0.891829 24
0.188496 0.730251 102
0.190347 0.970517 120
0.191954 0.944867 48
0.193094 0.888088 48
0.194226 0.877414 120
0.196472 0.715164 24
0.197585 0.804486 144
0.199006 0.777022 168
0.201976 0.690482 48
0.203059 0.767182 96
0.205208 0.44649 24
0.206274 0.492024 48
0.207335 0.491909 108
0.20839 0.840099 72
0.210326 0.56246 198
0.211524 0.55872 48
0.213587 0.502987 72
0.214612 0.367248 96
0.215631 0.424075 72
0.216957 0.539823 104
0.218661 0.419614 72
0.219662 0.414879 144
0.223129 0.412075 192
0.224599 0.43019 48
0.22618 0.388226 192
0.22751 0.391701 72
0.229429 0.289884 48
0.230383 0.49442 78
0.231604 0.395314 168
0.23416 0.386787 144
0.235095 0.323473 144
0.236954 0.263453 12
0.238108 0.331683 192
0.239975 0.338094 168
0.241537 0.256401 48
0.242444 0.267906 168
0.244844 0.262616 144
0.246417 0.215819 168
0.248401 0.260999 144
0.249576 0.229915 48
0.251327 0.330457 30
0.252777 0.222779 288
0.254191 0.161507 80
0.25601 0.218513 288
0.258214 0.168327 72
0.2594 0.213938 240
0.26075 0.182006 96
0.262904 0.185695 168
0.265657 0.181669 216
0.266722 0.195437 132
0.268622 0.189945 192
0.269844 0.170371 120
0.271964 0.164459 126
0.273543 0.155811 288
0.275842 0.151792 312
0.277853 0.106121 24
0.279641 0.151709 264
0.28148 0.16769 192
0.282936 0.117796 192
0.285198 0.140939 336
0.286404 0.158739 48
0.288084 0.113161 240
0.291553 0.110062 296
0.292736 0.108888 150
0.294335 0.129599 240
0.296659 0.0843517 228
0.298323 0.10393 216
0.300394 0.0947336 336
0.302928 0.110281 360
0.304588 0.0940477 144
0.305974 0.102809 168
0.308578 0.0928015 312
0.310884 0.0867522 288
0.312408 0.0803468 192
0.314799 0.0759442 366
0.317265 0.0842938 408
0.319597 0.0713991 168
0.320771 0.0836275 336
0.3227 0.0602705 240
0.32574 0.0687926 380
0.32795 0.0672315 384
0.330224 0.0646757 240
0.331726 0.068511 360
0.333831 0.0567513 198
0.336246 0.0635346 384
0.338319 0.0633014 384
0.341157 0.0645767 432
0.343593 0.0588971 528
0.346262 0.059005 288
0.347842 0.0569332 288
0.350326 0.0465572 456
0.352828 0.0455623 360
0.354442 0.0475359 180
0.356776 0.0491345 486
0.359142 0.0491754 504
0.361681 0.0436559 512
0.363857 0.0394084 264
0.366441 0.0386458 600
0.368657 0.0409273 288
0.371486 0.0367025 672
0.374587 0.0443598 408
0.376839 0.0362895 462
0.379079 0.0356422 600
0.38178 0.0362819 504
0.384712 0.0325408 324
0.386663 0.0334291 744
0.389313 0.034844 456
0.39167 0.030425 432
0.394428 0.027779 720
0.397811 0.0285552 534
0.400019 0.0248035 536
0.402781 0.0279107 624
0.405015 0.0276435 600
0.40766 0.0265377 696
0.410865 0.0242415 456
0.413244 0.0239904 732
0.416084 0.0229109 600
0.418986 0.0209442 702
0.421544 0.02067 672
0.424534 0.021979 768
0.42751 0.0207391 768
0.430034 0.0177589 408
0.432751 0.0184835 1080
0.436344 0.0203049 632
0.438896 0.018402 750
0.44171 0.017075 696
0.444585 0.0164838 876
0.447784 0.0166641 864
0.45034 0.0146644 768
0.453413 0.0155021 888
0.456575 0.0142504 816
0.459787 0.0140309 654
0.462622 0.0132023 1296
0.465862 0.0143646 816
0.468802 0.0129406 816
0.471915 0.0133932 1088
0.475472 0.0123233 1020
0.478779 0.0120119 1032
0.481919 0.0111955 942
0.484939 0.0117136 1032
0.488502 0.0110492 1128
0.491034 0.0106408 888
0.494348 0.0105502 1176
0.497688 0.00993735 960
0.500527 0.0099078 1110
0.504331 0.00887531 1116
0.507364 0.00916563 1352
0.510774 0.00885325 1200
0.514275 0.00835412 1224
0.517978 0.00818573 1320
