# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.862311
# nk = 757
0.020944 2356.43 6
0.0296192 1055.98 12
0.036276 564.785 8
0.0418879 358.199 6
0.0468321 241.141 24
0.051302 190.323 24
0.0592384 126.256 12
0.0628319 115.064 30
0.0662306 95.0291 24
0.0694632 74.6094 24
0.072552 60.0732 8
0.0755145 57.3538 24
0.0783651 39.9209 48
0.0837758 29.6077 6
0.0863541 29.4346 48
0.0888577 22.0607 36
0.0912926 24.9033 24
0.0936642 19.9211 24
0.0959772 19.5019 48
0.0982358 14.1946 24
0.102604 9.36911 24
0.10472 11.4282 30
0.106794 10.7187 72
0.108828 10.6291 32
0.112787 8.3307 72
0.114715 8.69076 48
0.118477 3.4225 12
0.120314 7.38621 48
0.122123 6.25937 48
0.123906 7.92323 48
0.125664 6.48219 30
0.127397 5.27729 24
0.129107 4.625 72
0.132461 5.48463 24
0.134107 4.00463 96
0.135732 3.98147 48
0.137339 3.31887 24
0.138926 4.18763 24
0.140496 2.70834 72
0.142049 2.87267 48
0.145104 4.5029 8
0.146608 3.23856 54
0.148096 2.67464 84
0.14957 3.0053 48
0.151029 2.03757 24
0.152474 1.67969 72
0.153906 2.69719 96
0.15673 2.14127 48
0.158123 1.69342 48
0.159504 2.03695 24
0.160874 1.57768 72
0.163577 1.67845 72
0.164913 1.73514 96
0.167552 0.63409 6
0.168856 1.63523 96
0.170149 1.47001 96
0.171434 1.22528 24
0.172708 1.35266 48
0.173974 1.32649 96
0.17523 1.32479 48
0.177715 1.4813 36
0.178945 1.35237 48
0.180167 1.1399 120
0.18138 1.1615 56
0.182585 0.926067 24
0.183782 1.16618 96
0.184972 0.706794 48
0.187328 0.854577 24
0.188496 0.700222 102
0.190347 0.929187 120
0.191954 0.904617 48
0.193094 0.848157 48
0.194226 0.839606 120
0.196472 0.685178 24
0.197585 0.769856 144
0.199006 0.742984 168
0.201976 0.663799 48
0.203059 0.734615 96
0.205208 0.425497 24
0.206274 0.470243 48
0.207335 0.470314 108
0.20839 0.802461 72
0.210326 0.537183 198
0.211524 0.531979 48
0.213587 0.480407 72
0.214612 0.350208 96
0.215631 0.404175 72
0.216957 0.515256 104
0.218661 0.400206 72
0.219662 0.396062 144
0.223129 0.393232 192
0.224599 0.410564 48
0.22618 0.371136 192
0.22751 0.3728 72
0.229429 0.276796 48
0.230383 0.470306 78
0.231604 0.376908 168
0.23416 0.368146 144
0.235095 0.308367 144
0.236954 0.250435 12
0.238108 0.315846 192
0.239975 0.322363 168
0.241537 0.245676 48
0.242444 0.255431 168
0.244844 0.250714 144
0.246417 0.205391 168
0.248401 0.24867 144
0.249576 0.218783 48
