# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.867238
# nk = 757
0.644956 0.00294283 2184
0.649302 0.00289261 2550
0.653461 0.00269027 2396
0.657644 0.00261728 2760
0.662026 0.00248505 2424
0.666685 0.00233927 2832
0.670916 0.00237523 2574
0.675462 0.00228414 3024
0.679703 0.00221352 2484
0.684292 0.00213628 3168
0.688927 0.00209775 2894
0.693468 0.00199839 2856
0.698026 0.00199772 3384
0.702952 0.00190848 3240
0.707372 0.0018017 2856
0.712317 0.00183276 3474
0.716936 0.00173977 3432
0.721869 0.00178697 3552
0.726964 0.00169557 3560
0.73163 0.00154201 3270
0.736224 0.00154355 3552
0.74119 0.00147497 3780
0.746118 0.00149735 3960
0.751313 0.00143202 3696
0.756133 0.0013774 3726
0.761156 0.00136062 4376
0.766095 0.00129155 3648
0.771205 0.00123633 4332
0.776456 0.00121808 4254
0.781432 0.00115615 4296
0.786733 0.00113396 4320
0.791574 0.00110054 4368
0.797255 0.00108621 4826
0.802676 0.00103974 5016
0.808005 0.000996416 4608
0.813482 0.000988864 4824
0.818759 0.000931313 4950
0.824173 0.000902067 5232
0.829708 0.000852752 4980
0.834919 0.000881757 4838
0.840568 0.000823705 6024
0.846479 0.000821649 5520
0.851948 0.000786824 5400
0.857592 0.000775234 5538
0.863369 0.000753767 6456
0.869182 0.000709436 5504
0.874831 0.000704995 6168
0.880682 0.000679721 5910
0.886294 0.00065311 6372
0.892352 0.000645767 6768
0.898399 0.000621105 6294
0.904229 0.000593724 6656
0.910231 0.000564216 7224
0.916513 0.000562218 6708
0.922651 0.000545399 7566
0.92895 0.000531085 7416
0.935092 0.000508471 6984
0.940995 0.000483515 7310
0.947406 0.000479079 8148
0.953652 0.000466289 7632
0.960017 0.000445738 8088
0.966595 0.000429136 8478
0.972908 0.000425164 8112
0.979222 0.000414646 8108
0.985855 0.000393833 9510
0.992666 0.000381163 8472
0.998881 0.000367605 8832
1.00551 0.000364851 8898
1.01216 0.000344797 10008
1.01908 0.000337876 9392
1.02599 0.000325675 10206
1.03271 0.000311843 9528
1.03948 0.000312362 10236
1.04641 0.000295925 10398
