# in Mpc/h Units 
# k P_nu(k) Nmodes
# a= 0.150916
# nk = 757
0.020944 19.6594 6
0.0296192 6.82772 12
0.036276 3.2461 8
0.0418879 1.87104 6
0.0468321 1.20639 24
0.051302 0.864362 24
0.0592384 0.511049 12
0.0628319 0.418693 30
0.0662306 0.337431 24
0.0694632 0.27195 24
0.072552 0.224161 8
0.0755145 0.190611 24
0.0783651 0.152667 48
0.0837758 0.108736 6
0.0863541 0.0956547 48
0.0888577 0.0793496 36
0.0912926 0.0738962 24
0.0936642 0.06262 24
0.0959772 0.0558212 48
0.0982358 0.0466278 24
0.102604 0.0358827 24
0.10472 0.0348908 30
0.106794 0.0317531 72
0.108828 0.0301873 32
0.112787 0.0250133 72
0.114715 0.0234594 48
0.118477 0.0168198 12
0.120314 0.0193228 48
0.122123 0.0179531 48
0.123906 0.0181131 48
0.125664 0.0164614 30
0.127397 0.0151209 24
0.129107 0.0135384 72
0.132461 0.0126668 24
0.134107 0.0113455 96
0.135732 0.0109742 48
0.137339 0.0101791 24
0.138926 0.0099304 24
0.140496 0.00857046 72
0.142049 0.00834299 48
0.145104 0.00771538 8
0.146608 0.00720548 54
0.148096 0.0065317 84
0.14957 0.00639065 48
0.151029 0.00577316 24
0.152474 0.00514486 72
0.153906 0.00540746 96
0.15673 0.00476081 48
0.158123 0.00423015 48
0.159504 0.00422938 24
0.160874 0.00399523 72
0.163577 0.00364049 72
0.164913 0.00376159 96
0.167552 0.00291019 6
0.168856 0.00331038 96
0.170149 0.00321751 96
0.171434 0.00282254 24
0.172708 0.00296414 48
0.173974 0.00260085 96
0.17523 0.00272284 48
0.177715 0.00275111 36
0.178945 0.00251365 48
0.180167 0.00243076 120
0.18138 0.00230037 56
0.182585 0.00219515 24
0.183782 0.00217614 96
0.184972 0.0018975 48
0.187328 0.00187551 24
0.188496 0.00181667 102
0.190347 0.00186384 120
0.191954 0.00182242 48
0.193094 0.0016378 48
0.194226 0.00165268 120
0.196472 0.00150888 24
0.197585 0.00152568 144
0.199006 0.00139098 168
0.201976 0.00143627 48
0.203059 0.00131784 96
0.205208 0.0010598 24
0.206274 0.00108741 48
0.207335 0.00106081 108
0.20839 0.00118618 72
0.210326 0.00101226 198
0.211524 0.000897765 48
0.213587 0.000929758 72
0.214612 0.000805324 96
0.215631 0.000782131 72
0.216957 0.000877155 104
0.218661 0.000739449 72
0.219662 0.000738565 144
0.223129 0.000692154 192
0.224599 0.00070922 48
0.22618 0.000678456 192
0.22751 0.000628971 72
0.229429 0.000585262 48
0.230383 0.000637209 78
0.231604 0.000605455 168
0.23416 0.000534408 144
0.235095 0.00053457 144
0.236954 0.000575492 12
0.238108 0.000502381 192
0.239975 0.000497497 168
0.241537 0.000511622 48
0.242444 0.000465435 168
0.244844 0.000442298 144
0.246417 0.000396103 168
0.248401 0.000407366 144
0.249576 0.000364093 48
0.251327 0.000487435 30
0.252777 0.000386126 288
0.254191 0.00035403 80
0.25601 0.000362213 288
0.258214 0.000338404 72
0.2594 0.000331709 240
0.26075 0.000307505 96
0.262904 0.000293592 168
0.265657 0.00028936 216
0.266722 0.00029492 132
0.268622 0.00028107 192
0.269844 0.000253723 120
0.271964 0.000243501 126
0.273543 0.000235698 288
0.275842 0.000235767 312
0.277853 0.000225013 24
0.279641 0.000211403 264
0.28148 0.000212775 192
0.282936 0.000191111 192
0.285198 0.000179379 336
0.286404 0.000183192 48
0.288084 0.000199379 240
0.291553 0.000169437 296
0.292736 0.00015298 150
0.294335 0.00016191 240
0.296659 0.000153315 228
0.298323 0.000145088 216
0.300394 0.000147145 336
0.302928 0.000137872 360
0.304588 0.000116036 144
0.305974 0.00010827 168
0.308578 0.000123423 312
0.310884 0.000107214 288
0.312408 0.000105121 192
0.314799 0.000106839 366
0.317265 0.000109209 408
0.319597 0.00010191 168
0.320771 9.8702e-05 336
0.3227 9.06605e-05 240
0.32574 8.02142e-05 380
0.32795 9.07992e-05 384
0.330224 7.93081e-05 240
0.331726 8.72556e-05 360
0.333831 7.32314e-05 198
0.336246 7.57053e-05 384
0.338319 6.82129e-05 384
0.341157 6.6741e-05 432
0.343593 6.34562e-05 528
0.346262 6.42086e-05 288
0.347842 5.96093e-05 288
0.350326 5.69996e-05 456
0.352828 5.33126e-05 360
0.354442 5.3538e-05 180
0.356776 5.30884e-05 486
0.359142 4.93261e-05 504
0.361681 4.94773e-05 512
0.363857 4.81042e-05 264
0.366441 4.77028e-05 600
0.368657 4.71754e-05 288
0.371486 4.24001e-05 672
0.374587 4.1831e-05 408
0.376839 3.55738e-05 462
0.379079 3.72071e-05 600
0.38178 3.56959e-05 504
0.384712 3.42825e-05 324
0.386663 3.26976e-05 744
0.389313 3.31567e-05 456
0.39167 3.14206e-05 432
0.394428 2.92613e-05 720
0.397811 2.89522e-05 534
0.400019 2.73082e-05 536
0.402781 2.46484e-05 624
0.405015 2.58788e-05 600
0.40766 2.25553e-05 696
0.410865 2.32932e-05 456
0.413244 2.28508e-05 732
0.416084 2.17615e-05 600
0.418986 2.16225e-05 702
0.421544 1.97715e-05 672
0.424534 1.99315e-05 768
0.42751 1.84058e-05 768
0.430034 1.85896e-05 408
0.432751 1.74013e-05 1080
0.436344 1.70286e-05 632
0.438896 1.54482e-05 750
0.44171 1.57638e-05 696
0.444585 1.60319e-05 876
0.447784 1.39972e-05 864
0.45034 1.36432e-05 768
0.453413 1.36594e-05 888
0.456575 1.24738e-05 816
0.459787 1.18757e-05 654
0.462622 1.16431e-05 1296
0.465862 1.14077e-05 816
0.468802 1.0835e-05 816
0.471915 9.94992e-06 1088
0.475472 1.04395e-05 1020
0.478779 9.48397e-06 1032
0.481919 9.10487e-06 942
0.484939 8.92498e-06 1032
0.488502 8.7661e-06 1128
0.491034 8.33045e-06 888
0.494348 8.18293e-06 1176
0.497688 8.09889e-06 960
0.500527 7.287e-06 1110
0.504331 7.20181e-06 1116
0.507364 7.00096e-06 1352
0.510774 6.58584e-06 1200
0.514275 6.68723e-06 1224
0.517978 6.04447e-06 1320
0.521294 5.55742e-06 1128
0.524822 5.84574e-06 1518
0.527973 5.70223e-06 1080
0.531698 5.1072e-06 1524
0.535226 5.08334e-06 1416
0.539103 4.70198e-06 1704
0.543 4.51944e-06 1088
0.546011 4.31667e-06 1446
0.549827 4.3283e-06 1800
0.55369 4.16789e-06 1512
0.557166 3.91594e-06 1392
0.560475 4.01492e-06 1392
0.564609 3.65151e-06 1962
0.56859 3.57661e-06 1776
0.572441 3.40814e-06 1680
0.5763 3.24586e-06 1776
0.580121 3.14356e-06 1544
0.583625 3.0115e-06 1896
0.587525 2.75681e-06 1662
0.591428 2.86651e-06 1908
0.595301 2.70526e-06 2184
0.599624 2.51088e-06 1848
0.603294 2.52869e-06 1848
0.60771 2.35604e-06 2238
0.611568 2.28628e-06 2088
0.615779 2.20226e-06 2192
0.619303 2.14172e-06 1536
0.623194 2.02592e-06 2412
0.627636 2.00089e-06 2262
0.631826 1.85763e-06 2448
0.635971 1.84413e-06 2040
0.64039 1.7291e-06 2976
0.644956 1.66384e-06 2184
0.649302 1.54933e-06 2550
0.653461 1.49476e-06 2396
0.657644 1.44063e-06 2760
0.662026 1.37772e-06 2424
0.666685 1.38815e-06 2832
0.670916 1.30414e-06 2574
0.675462 1.27369e-06 3024
0.679703 1.23733e-06 2484
0.684292 1.14944e-06 3168
0.688927 1.14372e-06 2894
0.693468 1.04839e-06 2856
0.698026 1.08415e-06 3384
0.702952 1.01686e-06 3240
0.707372 9.84843e-07 2856
0.712317 9.2142e-07 3474
0.716936 9.06174e-07 3432
0.721869 8.61887e-07 3552
0.726964 8.56603e-07 3560
0.73163 7.9972e-07 3270
0.736224 7.56208e-07 3552
0.74119 7.18874e-07 3780
0.746118 6.8669e-07 3960
0.751313 6.80758e-07 3696
0.756133 6.48748e-07 3726
0.761156 6.19011e-07 4376
0.766095 5.95924e-07 3648
0.771205 5.5806e-07 4332
0.776456 5.4474e-07 4254
0.781432 5.36899e-07 4296
0.786733 5.12479e-07 4320
0.791574 5.00087e-07 4368
0.797255 4.77894e-07 4826
0.802676 4.44772e-07 5016
0.808005 4.47636e-07 4608
0.813482 4.24174e-07 4824
0.818759 4.14887e-07 4950
0.824173 3.82979e-07 5232
0.829708 3.76886e-07 4980
0.834919 3.63909e-07 4838
0.840568 3.42499e-07 6024
0.846479 3.31063e-07 5520
0.851948 3.14019e-07 5400
0.857592 3.0732e-07 5538
0.863369 2.83774e-07 6456
0.869182 2.8265e-07 5504
0.874831 2.71184e-07 6168
0.880682 2.62831e-07 5910
0.886294 2.54407e-07 6372
0.892352 2.42022e-07 6768
0.898399 2.36153e-07 6294
0.904229 2.20005e-07 6656
0.910231 2.19401e-07 7224
0.916513 2.06097e-07 6708
0.922651 1.97263e-07 7566
0.92895 1.89178e-07 7416
0.935092 1.81961e-07 6984
0.940995 1.8016e-07 7310
0.947406 1.69811e-07 8148
0.953652 1.61024e-07 7632
0.960017 1.52231e-07 8088
0.966595 1.43841e-07 8478
0.972908 1.43207e-07 8112
0.979222 1.37096e-07 8108
0.985855 1.34766e-07 9510
0.992666 1.28653e-07 8472
0.998881 1.24226e-07 8832
1.00551 1.17556e-07 8898
1.01216 1.13216e-07 10008
1.01908 1.09307e-07 9392
1.02599 1.03502e-07 10206
1.03271 1.00434e-07 9528
1.03948 9.7533e-08 10236
1.04641 9.17643e-08 10398
1.05346 9.11737e-08 10784
1.06036 8.6468e-08 10584
1.0676 8.28043e-08 11346
1.07471 7.91138e-08 11400
1.08175 7.57439e-08 11016
1.08895 7.2109e-08 11870
1.09637 7.08155e-08 12516
1.10369 6.73123e-08 11880
1.11092 6.62042e-08 11886
1.1181 6.28861e-08 13104
1.12573 5.93429e-08 12764
1.1332 5.83549e-08 13446
1.14081 5.63403e-08 13464
1.14829 5.28628e-08 13398
1.15605 5.06781e-08 14628
1.16374 4.88075e-08 14024
1.1717 4.84719e-08 15054
1.17935 4.52012e-08 14496
1.18713 4.40759e-08 15012
1.195 4.19782e-08 15422
1.20281 4.01621e-08 15624
1.21088 3.91948e-08 16146
1.21904 3.7017e-08 17064
1.22715 3.57317e-08 16152
1.23533 3.4764e-08 17510
1.24354 3.32354e-08 17172
1.25174 3.1526e-08 17880
1.26013 3.08204e-08 18030
1.26845 2.88545e-08 18680
1.27706 2.82585e-08 19170
1.28545 2.74758e-08 18720
1.29387 2.58935e-08 19536
1.3027 2.54675e-08 20954
1.31143 2.40345e-08 20328
1.3202 2.3403e-08 20718
1.32891 2.24111e-08 21348
1.33775 2.18977e-08 21534
1.34663 2.05115e-08 22256
1.35548 1.96445e-08 22104
1.3645 1.90644e-08 23178
1.37362 1.80707e-08 23880
1.38289 1.76338e-08 24230
1.39214 1.67256e-08 24468
1.40146 1.63639e-08 25230
1.41076 1.56133e-08 25328
1.42016 1.47984e-08 25818
1.42955 1.43059e-08 26616
1.43897 1.36599e-08 26376
1.44856 1.32192e-08 28034
1.45815 1.2504e-08 27816
