# in Mpc/h Units 
# (k P_nu(k))
# a= 0.418708
# nk = 757
0.020944 407.662
0.0296192 165.242
0.036276 86.1685
0.0418879 51.2508
0.0468321 34.6521
0.051302 25.6208
0.0592384 16.0062
0.0628319 13.1693
0.0662306 10.431
0.0694632 8.96875
0.072552 7.87826
0.0755145 5.85517
0.0783651 5.06744
0.0837758 4.55313
0.0863541 3.26393
0.0888577 2.73792
0.0912926 2.61548
0.0936642 2.61666
0.0959772 1.97529
0.0982358 1.77344
0.102604 1.61393
0.10472 1.31974
0.106794 1.17908
0.108828 1.02838
0.112787 1.00336
0.114715 0.91444
0.118477 0.849052
0.120314 0.812875
0.122123 0.726138
0.123906 0.650753
0.125664 0.557428
0.127397 0.568052
0.129107 0.499113
0.132461 0.362339
0.134107 0.461959
0.135732 0.429741
0.137339 0.398914
0.138926 0.419384
0.140496 0.330629
0.142049 0.312085
0.145104 0.1372
0.146608 0.275165
0.148096 0.267006
0.14957 0.259373
0.151029 0.26024
0.152474 0.250211
0.153906 0.225489
0.15673 0.193593
0.158123 0.193042
0.159504 0.18639
0.160874 0.164753
0.163577 0.187175
0.164913 0.145617
0.167552 0.138102
0.168856 0.125871
0.170149 0.141967
0.171434 0.130391
0.172708 0.122993
0.173974 0.108819
0.17523 0.117905
0.177715 0.135102
0.178945 0.0849067
0.180167 0.101641
0.18138 0.108767
0.182585 0.0793491
0.183782 0.0870765
0.184972 0.0926908
0.187328 0.0754816
0.188496 0.0916793
0.190347 0.0703163
0.191954 0.0825495
0.193094 0.0652461
0.194226 0.0704502
0.196472 0.0667738
0.197585 0.0692449
0.199006 0.0714958
0.201976 0.0661295
0.203059 0.0501044
0.205208 0.0503852
0.206274 0.0568322
0.207335 0.0479366
0.20839 0.0542679
0.210326 0.0495107
0.211524 0.0559325
0.213587 0.0368789
0.214612 0.0390144
0.215631 0.0417011
0.216957 0.0397743
0.218661 0.0339983
0.219662 0.0425609
0.223129 0.0313779
0.224599 0.0297881
