# in Mpc/h Units 
# D1 = 0.160756 
# k P N P(z=0)
0.020944 686.284 6 26556.6
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0296192 563.202 12 21793.8
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.036276 465.938 8 18030
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0418879 398.301 6 15412.7
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0468321 358.565 24 13875.1
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.051302 334.864 24 12957.9
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0592384 306.375 12 11855.5
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0628319 294.625 30 11400.9
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0662306 277.724 24 10746.9
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0694632 268.25 24 10380.3
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.072552 261.081 8 10102.8
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0755145 234.001 24 9054.95
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0783651 223.072 48 8632.02
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0837758 217.219 6 8405.53
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.0863541 189.738 48 7342.14
0 0 0 0
0 0 0 0
0 0 0 0
0.0888577 177.57 36 6871.29
0 0 0 0
0 0 0 0
0 0 0 0
0.0912926 173.732 24 6722.75
0 0 0 0
0 0 0 0
0 0 0 0
0.0936642 173.74 24 6723.08
0 0 0 0
0 0 0 0
0 0 0 0
0.0959772 156.49 48 6055.56
0 0 0 0
0 0 0 0
0.0982358 149.871 24 5799.44
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.102604 147.215 24 5696.65
0 0 0 0
0 0 0 0
0.10472 136.424 30 5279.07
0 0 0 0
0 0 0 0
0.106794 131.983 72 5107.26
0 0 0 0
0 0 0 0
0.108828 126.048 32 4877.59
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.112787 128.945 72 4989.67
0 0 0 0
0 0 0 0
0.114715 124.876 48 4832.22
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0.118477 124.644 12 4823.24
0 0 0 0
0.120314 124.517 48 4818.34
0 0 0 0
0.122123 120.542 48 4664.5
0 0 0 0
0.123906 115.878 48 4484.03
0 0 0 0
0 0 0 0
0.125664 110.208 30 4264.64
0 0 0 0
0.127397 111.29 24 4306.51
0 0 0 0
0.129107 106.422 72 4118.13
0 0 0 0
0 0 0 0
0.132461 95.2413 24 3685.47
0 0 0 0
0.134107 104.057 96 4026.62
0 0 0 0
0.135732 101.809 48 3939.61
0 0 0 0
0.137339 99.5351 24 3851.63
0 0 0 0
0.138926 101.539 24 3929.17
0.140496 91.9034 72 3556.31
0 0 0 0
0.142049 89.2481 48 3453.56
0 0 0 0
0 0 0 0
0.145104 70.1251 8 2713.57
0 0 0 0
0.146608 85.0354 54 3290.55
0.148096 84.1241 84 3255.28
0 0 0 0
0.14957 81.814 48 3165.89
0.151029 81.2612 24 3144.5
0 0 0 0
0.152474 81.6125 72 3158.09
0.153906 78.1042 96 3022.33
0 0 0 0
0 0 0 0
0.15673 75.1367 48 2907.5
0.158123 73.0162 48 2825.45
0.159504 71.1152 24 2751.89
0 0 0 0
0.160874 69.6985 72 2697.06
0 0 0 0
0.163577 72.6595 72 2811.65
0 0 0 0
0.164913 67.22 96 2601.16
0 0 0 0
0.167552 64.4204 6 2492.82
0.168856 64.3972 96 2491.93
0.170149 66.148 96 2559.67
0.171434 65.0626 24 2517.67
0.172708 63.5605 48 2459.55
0 0 0 0
0.173974 59.437 96 2299.98
0.17523 61.4534 48 2378.01
0 0 0 0
0.177715 66.9114 36 2589.21
0.178945 56.8543 48 2200.05
0.180167 61.7224 120 2388.42
0.18138 62.8954 56 2433.81
0.182585 57.5791 24 2228.09
0.183782 59.1047 96 2287.13
0.184972 58.7258 48 2272.47
0 0 0 0
0.187328 55.6184 24 2152.22
0.188496 60.988 102 2360
0.190347 55.2674 120 2138.64
