# in Mpc/h Units 
# (k P_nu(k))
# a= 0.359634
# nk = 757
0.020944 265.521
0.0296192 105.158
0.036276 54.1316
0.0418879 32.0049
0.0468321 21.5124
0.051302 15.8062
0.0592384 9.78298
0.0628319 8.00627
0.0662306 6.35711
0.0694632 5.42932
0.072552 4.74156
0.0755145 3.56189
0.0783651 3.0688
0.0837758 2.69017
0.0863541 1.96374
0.0888577 1.6535
0.0912926 1.55855
0.0936642 1.53335
0.0959772 1.17993
0.0982358 1.0553
0.102604 0.94967
0.10472 0.783357
0.106794 0.701777
0.108828 0.614576
0.112787 0.59287
0.114715 0.538966
0.118477 0.497576
0.120314 0.47617
0.122123 0.427802
0.123906 0.384078
0.125664 0.332515
0.127397 0.335286
0.129107 0.296375
0.132461 0.219844
0.134107 0.270262
0.135732 0.252072
0.137339 0.234865
0.138926 0.24404
0.140496 0.195244
0.142049 0.183706
0.145104 0.0904296
0.146608 0.161185
0.148096 0.15624
0.14957 0.150289
0.151029 0.149212
0.152474 0.144567
0.153906 0.130785
0.15673 0.113795
0.158123 0.111591
0.159504 0.106816
0.160874 0.0964771
0.163577 0.106483
0.164913 0.0852387
0.167552 0.0799037
0.168856 0.0738958
0.170149 0.0811972
0.171434 0.0753004
0.172708 0.0710876
0.173974 0.0626655
0.17523 0.0670991
0.177715 0.0761448
0.178945 0.0501323
0.180167 0.0589877
0.18138 0.0622297
0.182585 0.0473962
0.183782 0.050962
0.184972 0.0529289
0.187328 0.0439912
0.188496 0.052687
0.190347 0.0412165
0.191954 0.0473112
0.193094 0.0378541
0.194226 0.0403052
0.196472 0.0387549
0.197585 0.0397508
0.199006 0.0406464
0.201976 0.0376177
0.203059 0.029309
0.205208 0.0290878
0.206274 0.0320567
0.207335 0.0275454
0.20839 0.030862
0.210326 0.0281511
0.211524 0.0310973
0.213587 0.0214297
0.214612 0.0223157
0.215631 0.0235949
0.216957 0.0224537
0.218661 0.0198685
0.219662 0.0237326
0.223129 0.0180218
0.224599 0.0170133
0.22618 0.0193845
0.22751 0.0208457
0.229429 0.015696
0.230383 0.0175585
0.231604 0.0167981
0.23416 0.0144147
0.235095 0.0138983
0.236954 0.0162293
0.238108 0.0148612
0.239975 0.0141229
0.241537 0.0120997
0.242444 0.0122985
0.244844 0.0112883
0.246417 0.01072
0.248401 0.0114982
0.249576 0.00969606
0.251327 0.00885928
0.252777 0.0104578
0.254191 0.0105168
0.25601 0.010204
0.258214 0.00852585
0.2594 0.00845228
0.26075 0.00637778
0.262904 0.00792774
0.265657 0.00800567
0.266722 0.00652888
0.268622 0.00672598
0.269844 0.00802738
0.271964 0.00708176
0.273543 0.00682082
0.275842 0.00591743
0.277853 0.0078623
0.279641 0.00622278
0.28148 0.00663721
0.282936 0.00538633
0.285198 0.00600867
0.286404 0.0051191
0.288084 0.00521139
0.291553 0.00466191
0.292736 0.00519797
0.294335 0.00470984
0.296659 0.00415622
0.298323 0.00383392
0.300394 0.00419474
0.302928 0.00375396
0.304588 0.00379758
0.305974 0.00409582
0.308578 0.00358148
0.310884 0.00326243
0.312408 0.00300838
0.314799 0.00310691
0.317265 0.00334922
0.319597 0.00278444
0.320771 0.00267816
0.3227 0.00278272
0.32574 0.0027427
0.32795 0.00259443
0.330224 0.00264479
0.331726 0.00236794
0.333831 0.00237154
0.336246 0.00222255
0.338319 0.00230252
0.341157 0.00218319
0.343593 0.00179454
0.346262 0.00177069
0.347842 0.00164989
0.350326 0.00190201
0.352828 0.00151453
0.354442 0.00157742
0.356776 0.00162154
0.359142 0.00156421
0.361681 0.00147767
0.363857 0.0014488
0.366441 0.00129441
0.368657 0.00137193
0.371486 0.00143889
0.374587 0.00115149
0.376839 0.00122732
0.379079 0.0012212
0.38178 0.00101695
0.384712 0.00101996
0.386663 0.000935221
0.389313 0.000980984
0.39167 0.00100009
0.394428 0.000969593
0.397811 0.000863801
0.400019 0.00102628
0.402781 0.000897367
0.405015 0.000869735
0.40766 0.000894658
0.410865 0.000751452
0.413244 0.000781155
0.416084 0.000699244
0.418986 0.000707287
0.421544 0.00066268
0.424534 0.000653254
0.42751 0.000554767
0.430034 0.000678335
0.432751 0.000612301
0.436344 0.000526273
0.438896 0.000593525
0.44171 0.000516289
0.444585 0.000490896
0.447784 0.000458744
0.45034 0.000443694
0.453413 0.00042688
0.456575 0.000386395
0.459787 0.000403282
0.462622 0.000388516
0.465862 0.000390307
0.468802 0.000368498
0.471915 0.000348277
0.475472 0.000333519
0.478779 0.000349969
0.481919 0.000332781
0.484939 0.000306027
0.488502 0.000298728
0.491034 0.000288397
0.494348 0.000260794
0.497688 0.000255297
0.500527 0.000274434
0.504331 0.000254327
0.507364 0.000247506
0.510774 0.00022899
0.514275 0.000221912
0.517978 0.000210974
0.521294 0.000204496
0.524822 0.000188
0.527973 0.000188293
0.531698 0.00018501
0.535226 0.000177186
0.539103 0.000172288
0.543 0.000166338
0.546011 0.000158306
0.549827 0.000149622
0.55369 0.000150716
0.557166 0.000143221
0.560475 0.000145866
0.564609 0.000137591
0.56859 0.0001314
0.572441 0.00012574
0.5763 0.00011776
0.580121 0.000118037
0.583625 0.000113918
0.587525 0.000105814
0.591428 0.000102426
0.595301 9.93682e-05
0.599624 0.000100499
0.603294 9.65634e-05
0.60771 8.71772e-05
0.611568 9.10419e-05
0.615779 8.66632e-05
0.619303 8.31475e-05
0.623194 7.6664e-05
0.627636 7.65607e-05
0.631826 7.25826e-05
0.635971 6.835e-05
0.64039 7.23759e-05
0.644956 6.74326e-05
0.649302 6.59796e-05
0.653461 6.3505e-05
0.657644 5.93848e-05
0.662026 5.73914e-05
0.666685 5.38821e-05
0.670916 5.31153e-05
0.675462 5.0788e-05
0.679703 5.1695e-05
0.684292 4.92147e-05
0.688927 4.73472e-05
0.693468 4.5318e-05
0.698026 4.18247e-05
0.702952 4.18466e-05
0.707372 3.9474e-05
0.712317 3.92415e-05
0.716936 3.60658e-05
0.721869 3.6746e-05
0.726964 3.45314e-05
0.73163 3.2043e-05
0.736224 3.13281e-05
0.74119 3.15428e-05
0.746118 2.99218e-05
0.751313 2.80004e-05
0.756133 2.87216e-05
0.761156 2.75108e-05
0.766095 2.6592e-05
0.771205 2.49348e-05
0.776456 2.51954e-05
0.781432 2.27402e-05
0.786733 2.20418e-05
0.791574 2.22435e-05
