#           k/h    P           
    0.71429E-04    0.35428E+03
    0.79823E-04    0.39459E+03
    0.89203E-04    0.43947E+03
    0.99687E-04    0.48947E+03
    0.11140E-03    0.54514E+03
    0.12449E-03    0.60714E+03
    0.13912E-03    0.67617E+03
    0.15547E-03    0.75304E+03
    0.17374E-03    0.83863E+03
    0.19416E-03    0.93392E+03
    0.21698E-03    0.10400E+04
    0.24248E-03    0.11581E+04
    0.27098E-03    0.12894E+04
    0.30282E-03    0.14356E+04
    0.33841E-03    0.15983E+04
    0.37818E-03    0.17791E+04
    0.42262E-03    0.19801E+04
    0.47229E-03    0.22035E+04
    0.52779E-03    0.24516E+04
    0.58982E-03    0.27270E+04
    0.65913E-03    0.30324E+04
    0.73659E-03    0.33709E+04
    0.82315E-03    0.37457E+04
    0.91989E-03    0.41601E+04
    0.10280E-02    0.46176E+04
    0.11488E-02    0.51221E+04
    0.12838E-02    0.56770E+04
    0.14347E-02    0.62861E+04
    0.16033E-02    0.69529E+04
    0.17917E-02    0.76802E+04
    0.20023E-02    0.84706E+04
    0.22376E-02    0.93257E+04
    0.25005E-02    0.10246E+05
    0.27944E-02    0.11231E+05
    0.31228E-02    0.12277E+05
    0.34898E-02    0.13380E+05
    0.38999E-02    0.14533E+05
    0.43582E-02    0.15726E+05
    0.44069E-02    0.15847E+05
    0.44561E-02    0.15969E+05
    0.45059E-02    0.16090E+05
    0.45562E-02    0.16212E+05
    0.46071E-02    0.16334E+05
    0.46586E-02    0.16457E+05
    0.47107E-02    0.16579E+05
    0.47633E-02    0.16702E+05
    0.48165E-02    0.16825E+05
    0.48703E-02    0.16948E+05
    0.49248E-02    0.17071E+05
    0.49798E-02    0.17195E+05
    0.50354E-02    0.17318E+05
    0.50917E-02    0.17442E+05
    0.51486E-02    0.17565E+05
    0.52061E-02    0.17689E+05
    0.52643E-02    0.17812E+05
    0.53231E-02    0.17936E+05
    0.53826E-02    0.18060E+05
    0.54427E-02    0.18183E+05
    0.55035E-02    0.18307E+05
    0.55650E-02    0.18431E+05
    0.56272E-02    0.18554E+05
    0.56901E-02    0.18678E+05
    0.57536E-02    0.18801E+05
    0.58179E-02    0.18924E+05
    0.58829E-02    0.19047E+05
    0.59487E-02    0.19170E+05
    0.60151E-02    0.19292E+05
    0.60823E-02    0.19415E+05
    0.61503E-02    0.19537E+05
    0.62190E-02    0.19658E+05
    0.62885E-02    0.19780E+05
    0.63587E-02    0.19901E+05
    0.64298E-02    0.20022E+05
    0.65016E-02    0.20142E+05
    0.65743E-02    0.20262E+05
    0.66477E-02    0.20382E+05
    0.67220E-02    0.20501E+05
    0.67971E-02    0.20620E+05
    0.68731E-02    0.20738E+05
    0.69499E-02    0.20856E+05
    0.70275E-02    0.20973E+05
    0.71060E-02    0.21089E+05
    0.71854E-02    0.21205E+05
    0.72657E-02    0.21320E+05
    0.73469E-02    0.21435E+05
    0.74290E-02    0.21549E+05
    0.75120E-02    0.21662E+05
    0.75959E-02    0.21774E+05
    0.76808E-02    0.21886E+05
    0.77666E-02    0.21996E+05
    0.78534E-02    0.22106E+05
    0.79411E-02    0.22215E+05
    0.80298E-02    0.22323E+05
    0.81196E-02    0.22430E+05
    0.82103E-02    0.22536E+05
    0.83020E-02    0.22641E+05
    0.83948E-02    0.22745E+05
    0.84886E-02    0.22848E+05
    0.85834E-02    0.22950E+05
    0.86793E-02    0.23050E+05
    0.87763E-02    0.23150E+05
    0.88743E-02    0.23248E+05
    0.89735E-02    0.23345E+05
    0.90738E-02    0.23440E+05
    0.91751E-02    0.23535E+05
    0.92777E-02    0.23628E+05
    0.93813E-02    0.23719E+05
    0.94861E-02    0.23809E+05
    0.95921E-02    0.23897E+05
    0.96993E-02    0.23984E+05
    0.98077E-02    0.24069E+05
    0.99173E-02    0.24153E+05
    0.10028E-01    0.24235E+05
    0.10140E-01    0.24315E+05
    0.10253E-01    0.24394E+05
    0.10368E-01    0.24471E+05
    0.10484E-01    0.24546E+05
    0.10601E-01    0.24619E+05
    0.10719E-01    0.24690E+05
