#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.248774E+07   0.248736E+07   0.505517E+06   0.505564E+06   0.236433E+07   0.248392E+07   0.248767E+07   0.248480E+07  -0.585851E+00   0.248004E+07   0.248001E+07   0.805576E+01
   0.200226E-02   0.247699E+07   0.247652E+07   0.352323E+06   0.355484E+06   0.232659E+07   0.247233E+07   0.247691E+07   0.247295E+07  -0.582957E+00   0.246862E+07   0.246859E+07   0.885228E+01
   0.223756E-02   0.246421E+07   0.246364E+07   0.261801E+06   0.266383E+06   0.228209E+07   0.245857E+07   0.246412E+07   0.245903E+07  -0.579581E+00   0.245505E+07   0.245501E+07   0.971165E+01
   0.250052E-02   0.244913E+07   0.244841E+07   0.222057E+06   0.225498E+06   0.223032E+07   0.244235E+07   0.244901E+07   0.244274E+07  -0.575661E+00   0.243904E+07   0.243900E+07   0.106395E+02
   0.279438E-02   0.243145E+07   0.243055E+07   0.205047E+06   0.205266E+06   0.217091E+07   0.242336E+07   0.243130E+07   0.242372E+07  -0.571123E+00   0.242031E+07   0.242026E+07   0.116427E+02
   0.312277E-02   0.241085E+07   0.240974E+07   0.179933E+06   0.177224E+06   0.210382E+07   0.240132E+07   0.241067E+07   0.240163E+07  -0.565882E+00   0.239858E+07   0.239851E+07   0.127285E+02
   0.348976E-02   0.238703E+07   0.238565E+07   0.135374E+06   0.132894E+06   0.202940E+07   0.237591E+07   0.238679E+07   0.237614E+07  -0.559855E+00   0.237355E+07   0.237347E+07   0.139035E+02
   0.389987E-02   0.235965E+07   0.235794E+07   0.903701E+05   0.910900E+05   0.194844E+07   0.234684E+07   0.235936E+07   0.234700E+07  -0.552967E+00   0.234493E+07   0.234482E+07   0.151732E+02
   0.435818E-02   0.232842E+07   0.232630E+07   0.702196E+05   0.724631E+05   0.186206E+07   0.231387E+07   0.232806E+07   0.231399E+07  -0.545162E+00   0.231243E+07   0.231230E+07   0.165427E+02
   0.440687E-02   0.232508E+07   0.232291E+07   0.696197E+05   0.717483E+05   0.185317E+07   0.231035E+07   0.232471E+07   0.231047E+07  -0.544330E+00   0.230896E+07   0.230883E+07   0.166854E+02
   0.445611E-02   0.232169E+07   0.231948E+07   0.691756E+05   0.711391E+05   0.184424E+07   0.230678E+07   0.232132E+07   0.230690E+07  -0.543487E+00   0.230544E+07   0.230531E+07   0.168291E+02
