#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.714286E-04   0.177487E+08   0.177487E+08   0.231156E+08   0.231147E+08   0.177768E+08   0.177488E+08   0.177487E+08   0.177537E+08  -0.502030E+00   0.108689E+08   0.108689E+08   0.488493E-01
   0.798228E-04   0.177484E+08   0.177484E+08   0.229804E+08   0.229793E+08   0.177731E+08   0.177485E+08   0.177484E+08   0.177534E+08  -0.502020E+00   0.108687E+08   0.108687E+08   0.545743E-01
   0.892035E-04   0.177481E+08   0.177481E+08   0.228126E+08   0.228112E+08   0.177684E+08   0.177482E+08   0.177481E+08   0.177530E+08  -0.502008E+00   0.108685E+08   0.108685E+08   0.609660E-01
   0.996866E-04   0.177476E+08   0.177476E+08   0.226046E+08   0.226028E+08   0.177625E+08   0.177477E+08   0.177476E+08   0.177525E+08  -0.501993E+00   0.108682E+08   0.108682E+08   0.681002E-01
   0.111402E-03   0.177471E+08   0.177471E+08   0.223473E+08   0.223451E+08   0.177553E+08   0.177471E+08   0.177471E+08   0.177518E+08  -0.501974E+00   0.108679E+08   0.108679E+08   0.760610E-01
   0.124493E-03   0.177464E+08   0.177464E+08   0.220297E+08   0.220271E+08   0.177463E+08   0.177464E+08   0.177464E+08   0.177511E+08  -0.501951E+00   0.108675E+08   0.108675E+08   0.849407E-01
   0.139124E-03   0.177456E+08   0.177456E+08   0.216390E+08   0.216358E+08   0.177351E+08   0.177456E+08   0.177456E+08   0.177501E+08  -0.501921E+00   0.108669E+08   0.108669E+08   0.948412E-01
   0.155474E-03   0.177446E+08   0.177446E+08   0.211600E+08   0.211561E+08   0.177212E+08   0.177445E+08   0.177446E+08   0.177489E+08  -0.501885E+00   0.108663E+08   0.108663E+08   0.105874E+00
   0.173745E-03   0.177433E+08   0.177433E+08   0.205756E+08   0.205709E+08   0.177041E+08   0.177431E+08   0.177433E+08   0.177474E+08  -0.501840E+00   0.108655E+08   0.108655E+08   0.118159E+00
   0.194163E-03   0.177417E+08   0.177416E+08   0.198667E+08   0.198611E+08   0.176830E+08   0.177414E+08   0.177417E+08   0.177456E+08  -0.501784E+00   0.108644E+08   0.108644E+08   0.131829E+00
   0.216981E-03   0.177396E+08   0.177396E+08   0.190132E+08   0.190067E+08   0.176570E+08   0.177393E+08   0.177396E+08   0.177433E+08  -0.501715E+00   0.108632E+08   0.108632E+08   0.147023E+00
   0.242480E-03   0.177372E+08   0.177371E+08   0.179953E+08   0.179877E+08   0.176252E+08   0.177366E+08   0.177372E+08   0.177404E+08  -0.501629E+00   0.108616E+08   0.108616E+08   0.163892E+00
   0.270976E-03   0.177341E+08   0.177340E+08   0.167953E+08   0.167868E+08   0.175865E+08   0.177334E+08   0.177341E+08   0.177369E+08  -0.501523E+00   0.108596E+08   0.108596E+08   0.182592E+00
   0.302821E-03   0.177302E+08   0.177302E+08   0.154020E+08   0.153925E+08   0.175395E+08   0.177294E+08   0.177302E+08   0.177326E+08  -0.501392E+00   0.108572E+08   0.108572E+08   0.203288E+00
   0.338408E-03   0.177255E+08   0.177255E+08   0.138147E+08   0.138046E+08   0.174830E+08   0.177244E+08   0.177255E+08   0.177273E+08  -0.501232E+00   0.108542E+08   0.108542E+08   0.226146E+00
   0.378178E-03   0.177196E+08   0.177196E+08   0.120501E+08   0.120400E+08   0.174157E+08   0.177182E+08   0.177196E+08   0.177208E+08  -0.501037E+00   0.108505E+08   0.108505E+08   0.251337E+00
   0.422621E-03   0.177124E+08   0.177124E+08   0.101496E+08   0.101401E+08   0.173361E+08   0.177107E+08   0.177124E+08   0.177128E+08  -0.500799E+00   0.108459E+08   0.108459E+08   0.279027E+00
   0.472287E-03   0.177036E+08   0.177035E+08   0.818512E+07   0.817720E+07   0.172430E+08   0.177014E+08   0.177036E+08   0.177032E+08  -0.500511E+00   0.108403E+08   0.108403E+08   0.309386E+00
   0.527790E-03   0.176927E+08   0.176927E+08   0.626209E+07   0.625672E+07   0.171356E+08   0.176902E+08   0.176927E+08   0.176915E+08  -0.500163E+00   0.108335E+08   0.108335E+08   0.342581E+00
