#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.148596E+08   0.148592E+08   0.330429E+06   0.331262E+06   0.126215E+08   0.148492E+08   0.148595E+08   0.148493E+08  -0.524646E+00   0.109795E+08   0.109795E+08   0.121175E+01
   0.200226E-02   0.147861E+08   0.147856E+08   0.288121E+06   0.286242E+06   0.123183E+08   0.147747E+08   0.147860E+08   0.147748E+08  -0.522009E+00   0.109246E+08   0.109246E+08   0.132556E+01
   0.223756E-02   0.147013E+08   0.147007E+08   0.188974E+06   0.189288E+06   0.119899E+08   0.146888E+08   0.147012E+08   0.146888E+08  -0.518970E+00   0.108613E+08   0.108613E+08   0.144919E+01
   0.250052E-02   0.146039E+08   0.146032E+08   0.147335E+06   0.148278E+06   0.116377E+08   0.145902E+08   0.146038E+08   0.145902E+08  -0.515483E+00   0.107886E+08   0.107886E+08   0.158339E+01
   0.279438E-02   0.144926E+08   0.144916E+08   0.128351E+06   0.126330E+06   0.112648E+08   0.144776E+08   0.144924E+08   0.144776E+08  -0.511503E+00   0.107056E+08   0.107056E+08   0.172898E+01
   0.312277E-02   0.143659E+08   0.143647E+08   0.844916E+05   0.831699E+05   0.108718E+08   0.143496E+08   0.143657E+08   0.143497E+08  -0.506980E+00   0.106113E+08   0.106113E+08   0.188685E+01
   0.348976E-02   0.142224E+08   0.142210E+08   0.802161E+05   0.749921E+05   0.104589E+08   0.142049E+08   0.142222E+08   0.142049E+08  -0.501866E+00   0.105046E+08   0.105046E+08   0.205786E+01
   0.389987E-02   0.140609E+08   0.140591E+08   0.504678E+05   0.503432E+05   0.100241E+08   0.140420E+08   0.140606E+08   0.140420E+08  -0.496109E+00   0.103845E+08   0.103844E+08   0.224292E+01
   0.435818E-02   0.138797E+08   0.138774E+08   0.415692E+05   0.415042E+05   0.956630E+07   0.138595E+08   0.138793E+08   0.138595E+08  -0.489659E+00   0.102498E+08   0.102498E+08   0.244289E+01
   0.440687E-02   0.138604E+08   0.138581E+08   0.392801E+05   0.392148E+05   0.951931E+07   0.138401E+08   0.138600E+08   0.138401E+08  -0.488974E+00   0.102355E+08   0.102355E+08   0.246374E+01
   0.445611E-02   0.138409E+08   0.138386E+08   0.372121E+05   0.371697E+05   0.947211E+07   0.138205E+08   0.138406E+08   0.138205E+08  -0.488281E+00   0.102211E+08   0.102210E+08   0.248475E+01
   0.450590E-02   0.138212E+08   0.138189E+08   0.355597E+05   0.355357E+05   0.942471E+07   0.138007E+08   0.138209E+08   0.138007E+08  -0.487581E+00   0.102065E+08   0.102064E+08   0.250592E+01
   0.455624E-02   0.138014E+08   0.137989E+08   0.344491E+05   0.344108E+05   0.937710E+07   0.137806E+08   0.138010E+08   0.137807E+08  -0.486873E+00   0.101917E+08   0.101916E+08   0.252724E+01
   0.460715E-02   0.137812E+08   0.137788E+08   0.339120E+05   0.338054E+05   0.932930E+07   0.137604E+08   0.137808E+08   0.137604E+08  -0.486158E+00   0.101767E+08   0.101767E+08   0.254873E+01
   0.465863E-02   0.137609E+08   0.137584E+08   0.338762E+05   0.336394E+05   0.928130E+07   0.137399E+08   0.137605E+08   0.137399E+08  -0.485435E+00   0.101617E+08   0.101616E+08   0.257038E+01
   0.471068E-02   0.137404E+08   0.137378E+08   0.341744E+05   0.337550E+05   0.923310E+07   0.137192E+08   0.137399E+08   0.137193E+08  -0.484704E+00   0.101464E+08   0.101464E+08   0.259219E+01
   0.476331E-02   0.137196E+08   0.137170E+08   0.345740E+05   0.339466E+05   0.918472E+07   0.136983E+08   0.137192E+08   0.136983E+08  -0.483965E+00   0.101310E+08   0.101309E+08   0.261416E+01
   0.481653E-02   0.136986E+08   0.136959E+08   0.348195E+05   0.339996E+05   0.913613E+07   0.136772E+08   0.136982E+08   0.136772E+08  -0.483218E+00   0.101154E+08   0.101153E+08   0.263629E+01
   0.487035E-02   0.136774E+08   0.136746E+08   0.346841E+05   0.337333E+05   0.908735E+07   0.136558E+08   0.136769E+08   0.136559E+08  -0.482464E+00   0.100996E+08   0.100996E+08   0.265859E+01
   0.492476E-02   0.136559E+08   0.136531E+08   0.340170E+05   0.330385E+05   0.903837E+07   0.136343E+08   0.136555E+08   0.136343E+08  -0.481701E+00   0.100837E+08   0.100837E+08   0.268105E+01
   0.497979E-02   0.136343E+08   0.136314E+08   0.327787E+05   0.319010E+05   0.898918E+07   0.136125E+08   0.136338E+08   0.136125E+08  -0.480931E+00   0.100676E+08   0.100676E+08   0.270368E+01
   0.503543E-02   0.136124E+08   0.136094E+08   0.310539E+05   0.304060E+05   0.893978E+07   0.135904E+08   0.136119E+08   0.135904E+08  -0.480152E+00   0.100514E+08   0.100513E+08   0.272647E+01
   0.509169E-02   0.135902E+08   0.135873E+08   0.290387E+05   0.287211E+05   0.889017E+07   0.135682E+08   0.135897E+08   0.135682E+08  -0.479365E+00   0.100349E+08   0.100349E+08   0.274943E+01
   0.514858E-02   0.135679E+08   0.135648E+08   0.270023E+05   0.270592E+05   0.884033E+07   0.135457E+08   0.135674E+08   0.135457E+08  -0.478570E+00   0.100183E+08   0.100183E+08   0.277256E+01
   0.520610E-02   0.135453E+08   0.135422E+08   0.252292E+05   0.256313E+05   0.879028E+07   0.135229E+08   0.135448E+08   0.135229E+08  -0.477767E+00   0.100016E+08   0.100015E+08   0.279585E+01
   0.526427E-02   0.135224E+08   0.135193E+08   0.204593E+05   0.204592E+05   0.874001E+07   0.135000E+08   0.135219E+08   0.135000E+08  -0.476955E+00   0.998463E+07   0.998458E+07   0.281930E+01
   0.532309E-02   0.134994E+08   0.134961E+08   0.199748E+05   0.199747E+05   0.868953E+07   0.134768E+08   0.134988E+08   0.134768E+08  -0.476136E+00   0.996751E+07   0.996746E+07   0.284293E+01
   0.538256E-02   0.134761E+08   0.134728E+08   0.195014E+05   0.195013E+05   0.863884E+07   0.134533E+08   0.134755E+08   0.134533E+08  -0.475307E+00   0.995022E+07   0.995016E+07   0.286672E+01
   0.544270E-02   0.134525E+08   0.134492E+08   0.190387E+05   0.190386E+05   0.858794E+07   0.134296E+08   0.134520E+08   0.134296E+08  -0.474471E+00   0.993275E+07   0.993269E+07   0.289068E+01
   0.550352E-02   0.134287E+08   0.134253E+08   0.185867E+05   0.185866E+05   0.853686E+07   0.134057E+08   0.134282E+08   0.134057E+08  -0.473626E+00   0.991510E+07   0.991505E+07   0.291481E+01
   0.556501E-02   0.134047E+08   0.134012E+08   0.181450E+05   0.181449E+05   0.848560E+07   0.133816E+08   0.134041E+08   0.133816E+08  -0.472772E+00   0.989728E+07   0.989722E+07   0.293911E+01
   0.562719E-02   0.133805E+08   0.133769E+08   0.177134E+05   0.177133E+05   0.843417E+07   0.133572E+08   0.133799E+08   0.133572E+08  -0.471910E+00   0.987927E+07   0.987921E+07   0.296358E+01
   0.569006E-02   0.133559E+08   0.133523E+08   0.172917E+05   0.172916E+05   0.838258E+07   0.133325E+08   0.133553E+08   0.133325E+08  -0.471039E+00   0.986108E+07   0.986102E+07   0.298822E+01
   0.575363E-02   0.133312E+08   0.133274E+08   0.168797E+05   0.168796E+05   0.833084E+07   0.133076E+08   0.133306E+08   0.133076E+08  -0.470159E+00   0.984271E+07   0.984265E+07   0.301303E+01
   0.581792E-02   0.133062E+08   0.133024E+08   0.164771E+05   0.164770E+05   0.827896E+07   0.132825E+08   0.133055E+08   0.132825E+08  -0.469271E+00   0.982416E+07   0.982410E+07   0.303800E+01
   0.588292E-02   0.132809E+08   0.132770E+08   0.160838E+05   0.160837E+05   0.822694E+07   0.132571E+08   0.132803E+08   0.132571E+08  -0.468374E+00   0.980542E+07   0.980536E+07   0.306315E+01
   0.594865E-02   0.132554E+08   0.132514E+08   0.156995E+05   0.156994E+05   0.817479E+07   0.132314E+08   0.132548E+08   0.132314E+08  -0.467468E+00   0.978650E+07   0.978644E+07   0.308846E+01
   0.601512E-02   0.132297E+08   0.132256E+08   0.153240E+05   0.153239E+05   0.812250E+07   0.132055E+08   0.132290E+08   0.132055E+08  -0.466553E+00   0.976739E+07   0.976733E+07   0.311395E+01
   0.608233E-02   0.132036E+08   0.131995E+08   0.149571E+05   0.149571E+05   0.807008E+07   0.131794E+08   0.132030E+08   0.131794E+08  -0.465629E+00   0.974810E+07   0.974803E+07   0.313960E+01
   0.615028E-02   0.131774E+08   0.131731E+08   0.145987E+05   0.145987E+05   0.801753E+07   0.131530E+08   0.131767E+08   0.131530E+08  -0.464696E+00   0.972861E+07   0.972854E+07   0.316543E+01
   0.621900E-02   0.131508E+08   0.131465E+08   0.142486E+05   0.142485E+05   0.796485E+07   0.131263E+08   0.131501E+08   0.131263E+08  -0.463754E+00   0.970894E+07   0.970887E+07   0.319142E+01
   0.628849E-02   0.131241E+08   0.131196E+08   0.139065E+05   0.139064E+05   0.791204E+07   0.130994E+08   0.131233E+08   0.130994E+08  -0.462803E+00   0.968907E+07   0.968900E+07   0.321758E+01
   0.635875E-02   0.130970E+08   0.130925E+08   0.135723E+05   0.135722E+05   0.785911E+07   0.130722E+08   0.130963E+08   0.130722E+08  -0.461843E+00   0.966902E+07   0.966894E+07   0.324391E+01
   0.642980E-02   0.130697E+08   0.130651E+08   0.132458E+05   0.132457E+05   0.780605E+07   0.130448E+08   0.130690E+08   0.130448E+08  -0.460873E+00   0.964876E+07   0.964869E+07   0.327041E+01
   0.650164E-02   0.130421E+08   0.130374E+08   0.129268E+05   0.129268E+05   0.775287E+07   0.130171E+08   0.130414E+08   0.130171E+08  -0.459894E+00   0.962832E+07   0.962825E+07   0.329708E+01
   0.657428E-02   0.130143E+08   0.130095E+08   0.126152E+05   0.126152E+05   0.769957E+07   0.129891E+08   0.130135E+08   0.129891E+08  -0.458906E+00   0.960768E+07   0.960761E+07   0.332392E+01
   0.664773E-02   0.129862E+08   0.129813E+08   0.123108E+05   0.123108E+05   0.764616E+07   0.129609E+08   0.129854E+08   0.129609E+08  -0.457909E+00   0.958685E+07   0.958677E+07   0.335092E+01
   0.672201E-02   0.129578E+08   0.129528E+08   0.120135E+05   0.120134E+05   0.759264E+07   0.129324E+08   0.129570E+08   0.129324E+08  -0.456902E+00   0.956582E+07   0.956574E+07   0.337809E+01
   0.679711E-02   0.129292E+08   0.129241E+08   0.117230E+05   0.117229E+05   0.753903E+07   0.129036E+08   0.129284E+08   0.129036E+08  -0.455886E+00   0.954459E+07   0.954451E+07   0.340542E+01
   0.687306E-02   0.129003E+08   0.128951E+08   0.114392E+05   0.114392E+05   0.748533E+07   0.128746E+08   0.128995E+08   0.128746E+08  -0.454860E+00   0.952316E+07   0.952308E+07   0.343292E+01
   0.694985E-02   0.128711E+08   0.128658E+08   0.111620E+05   0.111620E+05   0.743154E+07   0.128453E+08   0.128703E+08   0.128453E+08  -0.453825E+00   0.950153E+07   0.950144E+07   0.346058E+01
   0.702750E-02   0.128417E+08   0.128363E+08   0.108913E+05   0.108912E+05   0.737769E+07   0.128157E+08   0.128408E+08   0.128157E+08  -0.452780E+00   0.947970E+07   0.947961E+07   0.348840E+01
   0.710602E-02   0.128120E+08   0.128064E+08   0.106268E+05   0.106268E+05   0.732377E+07   0.127859E+08   0.128111E+08   0.127859E+08  -0.451725E+00   0.945766E+07   0.945758E+07   0.351639E+01
   0.718542E-02   0.127820E+08   0.127763E+08   0.103685E+05   0.103684E+05   0.726980E+07   0.127557E+08   0.127810E+08   0.127557E+08  -0.450660E+00   0.943542E+07   0.943534E+07   0.354454E+01
   0.726570E-02   0.127517E+08   0.127459E+08   0.101162E+05   0.101161E+05   0.721578E+07   0.127253E+08   0.127507E+08   0.127253E+08  -0.449586E+00   0.941298E+07   0.941289E+07   0.357285E+01
   0.734688E-02   0.127211E+08   0.127153E+08   0.986969E+04   0.986965E+04   0.716171E+07   0.126947E+08   0.127202E+08   0.126947E+08  -0.448502E+00   0.939034E+07   0.939024E+07   0.360132E+01
   0.742897E-02   0.126903E+08   0.126843E+08   0.962897E+04   0.962892E+04   0.710759E+07   0.126637E+08   0.126893E+08   0.126637E+08  -0.447408E+00   0.936748E+07   0.936739E+07   0.362994E+01
   0.751197E-02   0.126592E+08   0.126531E+08   0.939385E+04   0.939380E+04   0.705342E+07   0.126325E+08   0.126582E+08   0.126325E+08  -0.446305E+00   0.934442E+07   0.934433E+07   0.365872E+01
   0.759591E-02   0.126278E+08   0.126215E+08   0.916420E+04   0.916416E+04   0.699919E+07   0.126009E+08   0.126268E+08   0.126009E+08  -0.445191E+00   0.932115E+07   0.932105E+07   0.368765E+01
   0.768078E-02   0.125961E+08   0.125897E+08   0.893992E+04   0.893988E+04   0.694490E+07   0.125691E+08   0.125951E+08   0.125691E+08  -0.444067E+00   0.929767E+07   0.929757E+07   0.371673E+01
   0.776659E-02   0.125642E+08   0.125576E+08   0.872086E+04   0.872082E+04   0.689054E+07   0.125370E+08   0.125631E+08   0.125370E+08  -0.442933E+00   0.927398E+07   0.927388E+07   0.374597E+01
   0.785337E-02   0.125319E+08   0.125252E+08   0.850692E+04   0.850688E+04   0.683611E+07   0.125047E+08   0.125308E+08   0.125047E+08  -0.441790E+00   0.925008E+07   0.924997E+07   0.377535E+01
   0.794112E-02   0.124994E+08   0.124926E+08   0.829798E+04   0.829795E+04   0.678161E+07   0.124720E+08   0.124982E+08   0.124720E+08  -0.440635E+00   0.922596E+07   0.922586E+07   0.380488E+01
   0.802984E-02   0.124665E+08   0.124596E+08   0.809393E+04   0.809389E+04   0.672704E+07   0.124390E+08   0.124654E+08   0.124390E+08  -0.439471E+00   0.920163E+07   0.920152E+07   0.383456E+01
   0.811956E-02   0.124334E+08   0.124263E+08   0.789465E+04   0.789462E+04   0.667240E+07   0.124058E+08   0.124322E+08   0.124058E+08  -0.438296E+00   0.917708E+07   0.917698E+07   0.386437E+01
   0.821028E-02   0.124000E+08   0.123928E+08   0.770004E+04   0.770001E+04   0.661770E+07   0.123723E+08   0.123988E+08   0.123723E+08  -0.437111E+00   0.915232E+07   0.915221E+07   0.389433E+01
   0.830201E-02   0.123663E+08   0.123589E+08   0.750999E+04   0.750996E+04   0.656294E+07   0.123384E+08   0.123651E+08   0.123384E+08  -0.435916E+00   0.912734E+07   0.912723E+07   0.392442E+01
   0.839477E-02   0.123323E+08   0.123247E+08   0.732440E+04   0.732437E+04   0.650813E+07   0.123043E+08   0.123310E+08   0.123043E+08  -0.434710E+00   0.910214E+07   0.910203E+07   0.395465E+01
   0.848857E-02   0.122980E+08   0.122903E+08   0.714317E+04   0.714314E+04   0.645326E+07   0.122699E+08   0.122967E+08   0.122699E+08  -0.433494E+00   0.907673E+07   0.907661E+07   0.398500E+01
   0.858341E-02   0.122634E+08   0.122555E+08   0.696620E+04   0.696617E+04   0.639836E+07   0.122351E+08   0.122621E+08   0.122351E+08  -0.432267E+00   0.905109E+07   0.905097E+07   0.401549E+01
   0.867932E-02   0.122284E+08   0.122205E+08   0.679339E+04   0.679336E+04   0.634341E+07   0.122001E+08   0.122271E+08   0.122001E+08  -0.431030E+00   0.902523E+07   0.902511E+07   0.404610E+01
   0.877629E-02   0.121932E+08   0.121851E+08   0.662464E+04   0.662461E+04   0.628843E+07   0.121648E+08   0.121919E+08   0.121648E+08  -0.429782E+00   0.899914E+07   0.899902E+07   0.407683E+01
   0.887435E-02   0.121577E+08   0.121494E+08   0.645987E+04   0.645985E+04   0.623344E+07   0.121292E+08   0.121564E+08   0.121292E+08  -0.428523E+00   0.897284E+07   0.897271E+07   0.410769E+01
   0.897350E-02   0.121219E+08   0.121134E+08   0.629899E+04   0.629896E+04   0.617845E+07   0.120932E+08   0.121205E+08   0.120932E+08  -0.427253E+00   0.894630E+07   0.894618E+07   0.413865E+01
   0.907376E-02   0.120858E+08   0.120771E+08   0.614190E+04   0.614188E+04   0.612347E+07   0.120570E+08   0.120844E+08   0.120570E+08  -0.425973E+00   0.891955E+07   0.891942E+07   0.416973E+01
   0.917515E-02   0.120494E+08   0.120405E+08   0.598853E+04   0.598850E+04   0.606851E+07   0.120205E+08   0.120479E+08   0.120205E+08  -0.424682E+00   0.889256E+07   0.889243E+07   0.420091E+01
   0.927766E-02   0.120126E+08   0.120036E+08   0.583877E+04   0.583875E+04   0.601359E+07   0.119836E+08   0.120111E+08   0.119836E+08  -0.423380E+00   0.886535E+07   0.886521E+07   0.423220E+01
   0.938132E-02   0.119756E+08   0.119664E+08   0.569256E+04   0.569254E+04   0.595871E+07   0.119464E+08   0.119741E+08   0.119464E+08  -0.422067E+00   0.883790E+07   0.883777E+07   0.426358E+01
   0.948614E-02   0.119382E+08   0.119289E+08   0.554982E+04   0.554979E+04   0.590389E+07   0.119090E+08   0.119367E+08   0.119090E+08  -0.420743E+00   0.881023E+07   0.881009E+07   0.429506E+01
   0.959213E-02   0.119005E+08   0.118910E+08   0.541046E+04   0.541043E+04   0.584913E+07   0.118712E+08   0.118990E+08   0.118712E+08  -0.419408E+00   0.878233E+07   0.878218E+07   0.432663E+01
   0.969930E-02   0.118625E+08   0.118528E+08   0.527440E+04   0.527437E+04   0.579445E+07   0.118331E+08   0.118609E+08   0.118331E+08  -0.418062E+00   0.875419E+07   0.875404E+07   0.435828E+01
   0.980767E-02   0.118242E+08   0.118143E+08   0.514157E+04   0.514155E+04   0.573985E+07   0.117947E+08   0.118226E+08   0.117947E+08  -0.416705E+00   0.872582E+07   0.872567E+07   0.439001E+01
   0.991725E-02   0.117856E+08   0.117755E+08   0.501190E+04   0.501188E+04   0.568534E+07   0.117559E+08   0.117839E+08   0.117559E+08  -0.415337E+00   0.869722E+07   0.869706E+07   0.442182E+01
   0.100281E-01   0.117467E+08   0.117364E+08   0.488532E+04   0.488529E+04   0.563093E+07   0.117169E+08   0.117450E+08   0.117169E+08  -0.413957E+00   0.866838E+07   0.866822E+07   0.445369E+01
   0.101401E-01   0.117074E+08   0.116969E+08   0.476174E+04   0.476172E+04   0.557662E+07   0.116775E+08   0.117057E+08   0.116775E+08  -0.412566E+00   0.863930E+07   0.863914E+07   0.448562E+01
   0.102534E-01   0.116678E+08   0.116571E+08   0.464112E+04   0.464110E+04   0.552241E+07   0.116378E+08   0.116661E+08   0.116378E+08  -0.411164E+00   0.860999E+07   0.860983E+07   0.451761E+01
   0.103680E-01   0.116279E+08   0.116170E+08   0.452337E+04   0.452335E+04   0.546829E+07   0.115978E+08   0.116261E+08   0.115978E+08  -0.409751E+00   0.858044E+07   0.858028E+07   0.454965E+01
   0.104838E-01   0.115877E+08   0.115765E+08   0.440843E+04   0.440841E+04   0.541427E+07   0.115575E+08   0.115858E+08   0.115575E+08  -0.408326E+00   0.855065E+07   0.855048E+07   0.458173E+01
   0.106009E-01   0.115471E+08   0.115358E+08   0.429624E+04   0.429622E+04   0.536032E+07   0.115169E+08   0.115453E+08   0.115169E+08  -0.406890E+00   0.852062E+07   0.852045E+07   0.461385E+01
   0.107194E-01   0.115062E+08   0.114946E+08   0.418673E+04   0.418671E+04   0.530644E+07   0.114759E+08   0.115043E+08   0.114759E+08  -0.405442E+00   0.849035E+07   0.849018E+07   0.464600E+01
   0.108392E-01   0.114650E+08   0.114532E+08   0.407984E+04   0.407983E+04   0.525263E+07   0.114346E+08   0.114631E+08   0.114346E+08  -0.403982E+00   0.845984E+07   0.845966E+07   0.467817E+01
   0.109603E-01   0.114235E+08   0.114114E+08   0.397552E+04   0.397550E+04   0.519888E+07   0.113929E+08   0.114215E+08   0.113929E+08  -0.402512E+00   0.842908E+07   0.842890E+07   0.471035E+01
   0.110827E-01   0.113816E+08   0.113693E+08   0.387370E+04   0.387368E+04   0.514518E+07   0.113510E+08   0.113796E+08   0.113510E+08  -0.401029E+00   0.839808E+07   0.839790E+07   0.474254E+01
   0.112065E-01   0.113394E+08   0.113269E+08   0.377432E+04   0.377431E+04   0.509155E+07   0.113087E+08   0.113374E+08   0.113087E+08  -0.399535E+00   0.836684E+07   0.836666E+07   0.477472E+01
   0.113318E-01   0.112969E+08   0.112841E+08   0.367734E+04   0.367732E+04   0.503801E+07   0.112660E+08   0.112948E+08   0.112660E+08  -0.398029E+00   0.833535E+07   0.833516E+07   0.480690E+01
   0.114584E-01   0.112540E+08   0.112410E+08   0.358268E+04   0.358267E+04   0.498456E+07   0.112231E+08   0.112519E+08   0.112231E+08  -0.396511E+00   0.830362E+07   0.830342E+07   0.483906E+01
   0.115864E-01   0.112108E+08   0.111976E+08   0.349031E+04   0.349030E+04   0.493122E+07   0.111798E+08   0.112086E+08   0.111798E+08  -0.394981E+00   0.827163E+07   0.827144E+07   0.487118E+01
   0.117159E-01   0.111673E+08   0.111538E+08   0.340017E+04   0.340015E+04   0.487799E+07   0.111362E+08   0.111650E+08   0.111362E+08  -0.393440E+00   0.823940E+07   0.823920E+07   0.490327E+01
   0.118468E-01   0.111234E+08   0.111096E+08   0.331220E+04   0.331219E+04   0.482490E+07   0.110922E+08   0.111211E+08   0.110922E+08  -0.391886E+00   0.820692E+07   0.820672E+07   0.493531E+01
   0.119791E-01   0.110792E+08   0.110651E+08   0.322636E+04   0.322635E+04   0.477193E+07   0.110479E+08   0.110768E+08   0.110479E+08  -0.390321E+00   0.817419E+07   0.817398E+07   0.496730E+01
   0.121130E-01   0.110346E+08   0.110203E+08   0.314260E+04   0.314258E+04   0.471909E+07   0.110033E+08   0.110322E+08   0.110033E+08  -0.388744E+00   0.814120E+07   0.814099E+07   0.499921E+01
