# in Mpc/h Units 
# (k P_nu(k))
# a= 0.321531
# nk = 757
0.020944 1161.43
0.0296192 592.854
0.036276 354.637
0.0418879 235.193
0.0468321 172.276
0.051302 135.365
0.0592384 92.9659
0.0628319 79.1107
0.0662306 65.9489
0.0694632 57.6746
0.072552 51.3309
0.0755145 40.8193
0.0783651 35.847
0.0837758 31.0868
0.0863541 24.2159
0.0888577 20.9599
0.0912926 19.604
0.0936642 18.9758
0.0959772 15.4707
0.0982358 13.9857
0.102604 12.6651
0.10472 10.8411
0.106794 9.91367
0.108828 8.90511
0.112787 8.56196
0.114715 7.88941
0.118477 7.34267
0.120314 7.07838
0.122123 6.48806
0.123906 5.92549
0.125664 5.28794
0.127397 5.25801
0.129107 4.757
0.132461 3.75128
0.134107 4.30896
0.135732 4.05933
0.137339 3.82407
0.138926 3.89802
0.140496 3.25549
0.142049 3.06825
0.145104 1.85771
0.146608 2.70287
0.148096 2.62376
0.14957 2.5028
0.151029 2.45704
0.152474 2.40992
0.153906 2.21499
0.15673 1.98856
0.158123 1.9112
0.159504 1.82583
0.160874 1.70688
0.163577 1.80479
0.164913 1.53283
0.167552 1.42393
0.168856 1.35756
0.170149 1.43207
0.171434 1.35581
0.172708 1.28955
0.173974 1.14887
0.17523 1.203
0.177715 1.33682
0.178945 0.972119
0.180167 1.10237
0.18138 1.13488
0.182585 0.936798
0.183782 0.975438
0.184972 0.982287
0.187328 0.852708
0.188496 0.984399
0.190347 0.8091
0.191954 0.888388
0.193094 0.737432
0.194226 0.767563
0.196472 0.753355
0.197585 0.759483
0.199006 0.76545
0.201976 0.711506
0.203059 0.588523
0.205208 0.57219
0.206274 0.6095
0.207335 0.543827
0.20839 0.592259
0.210326 0.546643
0.211524 0.583189
0.213587 0.438749
0.214612 0.443519
0.215631 0.462206
0.216957 0.439445
0.218661 0.410161
0.219662 0.457202
0.223129 0.367989
0.224599 0.34801
0.22618 0.384491
0.22751 0.40382
0.229429 0.311669
0.230383 0.352815
0.231604 0.339975
0.23416 0.3012
0.235095 0.283928
0.236954 0.320058
0.238108 0.300668
0.239975 0.289937
0.241537 0.256712
0.242444 0.251115
0.244844 0.24048
0.246417 0.226866
0.248401 0.240876
0.249576 0.20779
0.251327 0.192639
0.252777 0.215419
0.254191 0.22066
0.25601 0.215049
0.258214 0.179565
0.2594 0.181365
0.26075 0.1442
0.262904 0.171628
0.265657 0.167626
0.266722 0.145058
0.268622 0.148434
0.269844 0.1664
0.271964 0.148863
0.273543 0.144799
0.275842 0.128314
0.277853 0.166739
0.279641 0.133242
0.28148 0.142073
0.282936 0.117351
0.285198 0.129282
0.286404 0.113714
0.288084 0.112903
0.291553 0.102054
0.292736 0.113683
0.294335 0.102582
0.296659 0.0923672
0.298323 0.0864401
0.300394 0.0910769
0.302928 0.0841566
0.304588 0.0855545
0.305974 0.0905279
0.308578 0.0800551
0.310884 0.0737651
0.312408 0.0685949
0.314799 0.069777
0.317265 0.0746678
0.319597 0.0638107
0.320771 0.0611147
0.3227 0.0639603
0.32574 0.0621857
0.32795 0.0585913
0.330224 0.0586498
0.331726 0.0548328
0.333831 0.05352
0.336246 0.0505307
0.338319 0.0509913
0.341157 0.0494234
0.343593 0.0418798
0.346262 0.0408292
0.347842 0.0390588
0.350326 0.0436301
0.352828 0.0352057
0.354442 0.0357798
0.356776 0.0372105
0.359142 0.0354727
0.361681 0.0345601
0.363857 0.0340334
0.366441 0.0303819
0.368657 0.0320402
0.371486 0.0333862
0.374587 0.0268053
0.376839 0.0287912
0.379079 0.0289273
0.38178 0.0249764
0.384712 0.0236175
0.386663 0.0220585
0.389313 0.023242
0.39167 0.023398
0.394428 0.0227276
0.397811 0.0204528
0.400019 0.0237075
0.402781 0.021251
0.405015 0.0205812
0.40766 0.0207643
0.410865 0.0177926
0.413244 0.0183789
0.416084 0.0167964
0.418986 0.0168513
0.421544 0.0158135
0.424534 0.0156172
0.42751 0.0132202
0.430034 0.0157684
0.432751 0.0145532
0.436344 0.0133474
0.438896 0.0138027
0.44171 0.0125251
0.444585 0.0116196
0.447784 0.0108702
0.45034 0.0106861
0.453413 0.0102277
0.456575 0.0093679
0.459787 0.00985469
0.462622 0.00936313
0.465862 0.00940906
0.468802 0.00870559
0.471915 0.00852832
0.475472 0.00816175
0.478779 0.00842281
0.481919 0.00804405
0.484939 0.00736214
0.488502 0.00729698
0.491034 0.00705306
0.494348 0.00632877
0.497688 0.00628997
0.500527 0.00669334
0.504331 0.00630092
0.507364 0.00603399
0.510774 0.005601
0.514275 0.00540928
0.517978 0.00520623
0.521294 0.00497385
0.524822 0.00466032
0.527973 0.00461812
0.531698 0.00452304
0.535226 0.00432711
0.539103 0.00426101
0.543 0.0041881
0.546011 0.00387242
0.549827 0.00367963
0.55369 0.00377759
0.557166 0.00349968
0.560475 0.00362378
0.564609 0.00337968
0.56859 0.00333289
0.572441 0.00318333
0.5763 0.002972
0.580121 0.0029085
0.583625 0.00289289
0.587525 0.00261596
0.591428 0.00257674
0.595301 0.00245748
0.599624 0.0024949
0.603294 0.0024254
0.60771 0.00219103
0.611568 0.00224284
0.615779 0.00216608
0.619303 0.00206093
0.623194 0.00193186
0.627636 0.0019092
0.631826 0.00182407
0.635971 0.00168613
0.64039 0.00180169
0.644956 0.00171593
0.649302 0.00164058
0.653461 0.00157802
0.657644 0.00148709
0.662026 0.00144995
0.666685 0.0013768
0.670916 0.00131007
0.675462 0.00126192
0.679703 0.00129916
0.684292 0.00121444
0.688927 0.00118413
0.693468 0.00110771
0.698026 0.00104676
0.702952 0.00105681
0.707372 0.000972579
0.712317 0.000975247
0.716936 0.000919837
0.721869 0.00093885
0.726964 0.000855515
0.73163 0.000801605
0.736224 0.000794718
0.74119 0.000798784
0.746118 0.000748275
0.751313 0.000718675
0.756133 0.000726656
0.761156 0.000684372
0.766095 0.000664674
0.771205 0.000624033
0.776456 0.000628325
0.781432 0.00057465
0.786733 0.000547694
0.791574 0.000562064
0.797255 0.00052809
0.802676 0.000508226
0.808005 0.000495356
0.813482 0.000478721
0.818759 0.000474982
0.824173 0.000445111
0.829708 0.000436513
0.834919 0.000414054
0.840568 0.000390234
0.846479 0.00040594
0.851948 0.000375265
0.857592 0.000353932
0.863369 0.00034894
0.869182 0.000339626
0.874831 0.000325105
0.880682 0.000321624
0.886294 0.000297654
0.892352 0.000292848
0.898399 0.000278946
0.904229 0.000273232
0.910231 0.000266021
0.916513 0.000248551
0.922651 0.000240109
0.92895 0.00023436
0.935092 0.000227362
0.940995 0.000220684
0.947406 0.000213245
0.953652 0.000202718
0.960017 0.000193747
0.966595 0.000191563
0.972908 0.000187011
0.979222 0.000173166
0.985855 0.000172047
0.992666 0.000173196
0.998881 0.00016339
1.00551 0.00015454
1.01216 0.000150163
1.01908 0.000144518
1.02599 0.000138744
1.03271 0.000132669
1.03948 0.000128275
1.04641 0.000125969
1.05346 0.000122032
1.06036 0.000115923
1.0676 0.000113076
1.07471 0.000108728
1.08175 0.000103211
1.08895 0.000101306
1.09637 9.77957e-05
1.10369 9.31038e-05
1.11092 9.15323e-05
1.1181 8.77571e-05
1.12573 8.61468e-05
1.1332 8.23717e-05
1.14081 8.00777e-05
1.14829 7.51171e-05
1.15605 7.32844e-05
1.16374 7.08574e-05
1.1717 6.86168e-05
1.17935 6.61886e-05
1.18713 6.4153e-05
1.195 6.14587e-05
1.20281 5.95479e-05
1.21088 5.67748e-05
1.21904 5.55666e-05
1.22715 5.34425e-05
1.23533 5.21116e-05
1.24354 5.03906e-05
1.25174 4.77971e-05
1.26013 4.75097e-05
1.26845 4.5338e-05
1.27706 4.35677e-05
1.28545 4.21133e-05
1.29387 4.10243e-05
1.3027 3.9473e-05
1.31143 3.80123e-05
1.3202 3.67831e-05
1.32891 3.50594e-05
1.33775 3.4241e-05
1.34663 3.24299e-05
1.35548 3.16714e-05
1.3645 3.07313e-05
1.37362 2.98556e-05
1.38289 2.85528e-05
1.39214 2.77809e-05
1.40146 2.68965e-05
1.41076 2.56908e-05
1.42016 2.4968e-05
1.42955 2.42741e-05
1.43897 2.29866e-05
1.44856 2.25651e-05
1.45815 2.20685e-05
1.46783 2.12356e-05
1.47755 2.04024e-05
1.48753 1.93182e-05
1.4975 1.86924e-05
1.50759 1.80186e-05
1.51744 1.76966e-05
1.52762 1.70074e-05
1.53782 1.6337e-05
1.54798 1.60155e-05
1.55817 1.55318e-05
1.56867 1.47417e-05
1.579 1.45e-05
1.58955 1.37373e-05
1.60018 1.33137e-05
1.61084 1.28834e-05
1.62148 1.25009e-05
1.63242 1.19704e-05
1.64322 1.1694e-05
1.65411 1.12182e-05
1.66512 1.09881e-05
1.67627 1.06254e-05
1.68736 1.01288e-05
1.69863 9.71096e-06
1.70994 9.44471e-06
1.72135 9.16712e-06
1.73279 8.83072e-06
1.74428 8.55031e-06
1.75588 8.21633e-06
1.76756 8.01861e-06
1.77941 7.82737e-06
1.79124 7.45864e-06
1.80325 7.18059e-06
1.81507 6.95598e-06
1.82722 6.67075e-06
1.83948 6.5051e-06
1.85166 6.27619e-06
1.86408 6.04996e-06
1.87633 5.84276e-06
1.88886 5.61313e-06
1.90144 5.43513e-06
1.914 5.27567e-06
1.92679 5.0484e-06
1.93957 4.94336e-06
1.95256 4.76124e-06
1.96563 4.54625e-06
1.97869 4.39916e-06
1.99179 4.29852e-06
2.00509 4.1874e-06
2.01846 3.96253e-06
2.03193 3.90703e-06
2.04528 3.73307e-06
2.05892 3.65636e-06
2.07279 3.50099e-06
2.0865 3.36648e-06
2.10039 3.25043e-06
2.11443 3.15011e-06
2.12845 3.0332e-06
2.14263 2.93926e-06
2.15695 2.83608e-06
2.17119 2.75104e-06
2.18567 2.65017e-06
2.20036 2.55241e-06
2.21494 2.45219e-06
2.22958 2.38237e-06
2.24445 2.32279e-06
2.25936 2.22455e-06
2.27439 2.15894e-06
2.28969 2.08693e-06
2.30493 2.02407e-06
2.32027 1.94887e-06
2.33573 1.8796e-06
2.35122 1.82748e-06
2.3669 1.76849e-06
2.38266 1.69415e-06
2.39847 1.64356e-06
2.41442 1.58576e-06
2.43055 1.52913e-06
2.44673 1.48095e-06
2.4629 1.43005e-06
2.47932 1.38079e-06
2.4959 1.33761e-06
2.51254 1.29728e-06
2.52927 1.24554e-06
2.54604 1.20652e-06
2.56299 1.16827e-06
2.58009 1.12555e-06
2.5973 1.09006e-06
2.61455 1.05217e-06
2.63195 1.01809e-06
2.64948 9.80784e-07
2.66707 9.53093e-07
2.68485 9.20355e-07
2.70286 8.81374e-07
2.72085 8.58645e-07
2.73892 8.29491e-07
2.75712 7.99139e-07
2.77543 7.74532e-07
2.79389 7.45963e-07
2.81251 7.17394e-07
2.83127 6.94282e-07
2.85007 6.71547e-07
2.86897 6.53684e-07
2.88818 6.30057e-07
2.90739 6.09605e-07
2.92669 5.88835e-07
2.94616 5.67582e-07
2.96573 5.50979e-07
2.98548 5.31982e-07
3.00539 5.09957e-07
3.02539 4.98811e-07
3.04557 4.81015e-07
3.06592 4.65183e-07
3.0863 4.49777e-07
3.10684 4.33369e-07
3.12756 4.18448e-07
3.1484 4.0534e-07
3.16935 3.89869e-07
3.19042 3.77102e-07
3.21172 3.64909e-07
3.2331 3.52978e-07
3.25451 3.40096e-07
3.27615 3.28426e-07
3.2979 3.19063e-07
3.31984 3.07774e-07
3.34198 2.96429e-07
3.3643 2.88199e-07
3.38673 2.77833e-07
3.40918 2.68258e-07
3.43196 2.58061e-07
3.45493 2.51192e-07
3.47788 2.42369e-07
3.50098 2.34729e-07
3.52428 2.26106e-07
3.54776 2.18257e-07
3.5713 2.11451e-07
3.59506 2.02924e-07
3.61902 1.97959e-07
3.64313 1.90502e-07
3.66736 1.841e-07
3.69182 1.78046e-07
3.71639 1.71793e-07
3.7411 1.65918e-07
3.76602 1.60308e-07
3.7911 1.55528e-07
3.81637 1.50042e-07
3.8418 1.44722e-07
3.8673 1.39906e-07
3.89298 1.35675e-07
3.91895 1.30826e-07
3.94503 1.26633e-07
3.97125 1.22129e-07
3.99772 1.179e-07
4.02443 1.13987e-07
4.05121 1.10317e-07
4.07809 1.06039e-07
4.10526 1.02567e-07
4.13259 9.90865e-08
4.16008 9.58905e-08
4.18785 9.27962e-08
4.21573 8.93671e-08
4.24371 8.6296e-08
4.27197 8.37749e-08
4.30044 8.06034e-08
4.32905 7.79557e-08
4.35788 7.53998e-08
4.38688 7.28286e-08
4.41605 7.06273e-08
4.44546 6.78745e-08
4.47509 6.54902e-08
4.50493 6.34344e-08
4.53494 6.11734e-08
4.56506 5.90761e-08
4.59545 5.70735e-08
4.62609 5.5094e-08
4.65691 5.31598e-08
4.68789 5.15464e-08
4.71906 4.96864e-08
4.75048 4.81036e-08
4.78209 4.64176e-08
4.8139 4.47823e-08
4.84595 4.33607e-08
4.87821 4.1921e-08
4.91071 4.04291e-08
4.94338 3.90269e-08
4.97629 3.77495e-08
5.00945 3.64898e-08
5.04276 3.52173e-08
5.07626 3.40703e-08
5.1101 3.28724e-08
5.14418 3.17995e-08
5.1784 3.06905e-08
5.21287 2.9653e-08
5.24757 2.86853e-08
5.2825 2.76984e-08
5.31768 2.67784e-08
5.35308 2.58872e-08
5.38871 2.49846e-08
5.42459 2.40983e-08
