# in Mpc/h Units 
# (k P_nu(k))
# a= 0.02844
# nk = 757
0.020944 1.8697
0.0296192 0.361397
0.036276 0.191838
0.0418879 0.117123
0.0468321 0.0794497
0.051302 0.0580193
0.0592384 0.0353341
0.0628319 0.0286104
0.0662306 0.0234063
0.0694632 0.0193912
0.072552 0.0162091
0.0755145 0.0134316
0.0783651 0.011328
0.0837758 0.00826988
0.0863541 0.00698605
0.0888577 0.00601244
0.0912926 0.00524971
0.0936642 0.00464019
0.0959772 0.00405714
0.0982358 0.00361153
0.102604 0.00295994
0.10472 0.00267156
0.106794 0.00244446
0.108828 0.00223867
0.112787 0.00194748
0.114715 0.00180888
0.118477 0.00158829
0.120314 0.00149135
0.122123 0.00139166
0.123906 0.00129828
0.125664 0.00121069
0.127397 0.00113872
0.129107 0.00106309
0.132461 0.000922187
0.134107 0.000882271
0.135732 0.000827202
0.137339 0.000775586
0.138926 0.000732541
0.140496 0.000677382
0.142049 0.000634925
0.145104 0.000543224
0.146608 0.000530043
0.148096 0.000500328
0.14957 0.000471615
0.151029 0.000445914
0.152474 0.000425434
0.153906 0.000401061
0.15673 0.000363425
0.158123 0.000343853
0.159504 0.000327922
0.160874 0.000313192
0.163577 0.000291093
0.164913 0.000256725
0.167552 0.000253634
0.168856 0.000246427
0.170149 0.000238853
0.171434 0.000230742
0.172708 0.000222258
0.173974 0.000211846
0.17523 0.000206493
0.177715 0.000197963
0.178945 0.000186349
0.180167 0.000183802
0.18138 0.000178785
0.182585 0.000171113
0.183782 0.000166602
0.184972 0.000160911
0.187328 0.000150234
0.188496 0.000148708
0.190347 0.000138969
0.191954 0.00013428
0.193094 0.000127679
0.194226 0.000124336
0.196472 0.000117746
0.197585 0.000114251
0.199006 0.000110005
0.201976 0.000100749
0.203059 9.60496e-05
0.205208 9.00699e-05
0.206274 8.80815e-05
0.207335 8.47911e-05
0.20839 8.31155e-05
0.210326 7.29273e-05
0.211524 7.63323e-05
0.213587 7.06805e-05
0.214612 6.83429e-05
0.215631 6.71757e-05
0.216957 6.44223e-05
0.218661 6.18841e-05
0.219662 6.0767e-05
0.223129 5.50427e-05
0.224599 5.29052e-05
0.22618 5.16812e-05
0.22751 5.03608e-05
0.229429 4.675e-05
0.230383 4.7036e-05
0.231604 4.57055e-05
0.23416 4.2956e-05
0.235095 4.17134e-05
0.236954 4.0598e-05
0.238108 3.97099e-05
0.239975 3.82715e-05
0.241537 3.66732e-05
0.242444 3.56479e-05
0.244844 3.20067e-05
0.246417 3.29855e-05
0.248401 3.19609e-05
0.249576 3.08013e-05
0.251327 2.94999e-05
0.252777 2.88272e-05
0.254191 2.82454e-05
0.25601 2.72144e-05
0.258214 2.54122e-05
0.2594 2.48511e-05
0.26075 2.35887e-05
0.262904 2.3071e-05
0.265657 2.15094e-05
0.266722 2.09515e-05
0.268622 2.0176e-05
0.269844 1.98147e-05
0.271964 1.87636e-05
0.273543 1.69719e-05
0.275842 1.71005e-05
0.277853 1.7097e-05
0.279641 1.59688e-05
0.28148 1.56514e-05
0.282936 1.48703e-05
0.285198 1.4429e-05
0.286404 1.3952e-05
0.288084 1.34206e-05
0.291553 1.2553e-05
0.292736 1.25594e-05
0.294335 1.19519e-05
0.296659 1.14022e-05
0.298323 1.10514e-05
0.300394 1.00035e-05
0.302928 1.01973e-05
0.304588 9.98534e-06
0.305974 9.74928e-06
0.308578 9.29031e-06
0.310884 8.87358e-06
0.312408 8.55878e-06
0.314799 8.28253e-06
0.317265 8.02763e-06
0.319597 7.58739e-06
0.320771 7.34958e-06
0.3227 7.2032e-06
0.32574 6.83111e-06
0.32795 6.54071e-06
0.330224 6.26314e-06
0.331726 6.11059e-06
0.333831 5.89731e-06
0.336246 5.61496e-06
0.338319 5.39935e-06
0.341157 5.16944e-06
0.343593 4.91099e-06
0.346262 4.41265e-06
0.347842 4.57366e-06
0.350326 4.44322e-06
0.352828 4.1794e-06
0.354442 4.07003e-06
0.356776 3.9617e-06
0.359142 3.79488e-06
0.361681 3.6758e-06
0.363857 3.57036e-06
0.366441 3.18616e-06
0.368657 3.32163e-06
0.371486 3.19001e-06
0.374587 2.96679e-06
0.376839 2.91649e-06
0.379079 2.8406e-06
0.38178 2.68855e-06
0.384712 2.5618e-06
0.386663 2.326e-06
0.389313 2.39984e-06
0.39167 2.32331e-06
0.394428 2.23496e-06
0.397811 2.10638e-06
0.400019 2.06626e-06
0.402781 1.98425e-06
0.405015 1.80403e-06
0.40766 1.83749e-06
0.410865 1.73462e-06
0.413244 1.6899e-06
0.416084 1.61955e-06
0.418986 1.57564e-06
0.421544 1.50983e-06
0.424534 1.37391e-06
0.42751 1.36749e-06
0.430034 1.33958e-06
0.432751 1.29687e-06
0.436344 1.24587e-06
0.438896 1.18576e-06
0.44171 1.08638e-06
0.444585 1.08604e-06
0.447784 1.04964e-06
0.45034 1.01222e-06
0.453413 9.67458e-07
0.456575 8.78421e-07
0.459787 8.98751e-07
0.462622 8.58146e-07
0.465862 8.32979e-07
0.468802 8.01286e-07
0.471915 7.70175e-07
0.475472 7.37066e-07
0.478779 7.07582e-07
0.481919 6.83235e-07
0.484939 6.52627e-07
0.488502 6.06013e-07
0.491034 6.06187e-07
0.494348 5.80753e-07
0.497688 5.61663e-07
0.500527 5.44842e-07
0.504331 5.0062e-07
0.507364 5.0024e-07
0.510774 4.80681e-07
0.514275 4.62401e-07
0.517978 4.24551e-07
0.521294 4.24149e-07
0.524822 4.0546e-07
0.527973 3.96065e-07
0.531698 3.59778e-07
0.535226 3.6353e-07
0.539103 3.50198e-07
0.543 3.34335e-07
0.546011 3.10547e-07
0.549827 3.08082e-07
0.55369 2.97293e-07
0.557166 2.83615e-07
0.560475 2.69287e-07
0.564609 2.6482e-07
0.56859 2.52927e-07
0.572441 2.37069e-07
0.5763 2.33311e-07
0.580121 2.21807e-07
0.583625 2.16428e-07
0.587525 2.06698e-07
0.591428 2.00362e-07
0.595301 1.90531e-07
0.599624 1.77018e-07
0.603294 1.77433e-07
0.60771 1.69926e-07
0.611568 1.57029e-07
0.615779 1.55161e-07
0.619303 1.499e-07
0.623194 1.40811e-07
0.627636 1.38792e-07
0.631826 1.33813e-07
0.635971 1.24387e-07
0.64039 1.238e-07
0.644956 1.18189e-07
0.649302 1.12912e-07
0.653461 1.08593e-07
0.657644 1.01769e-07
0.662026 1.01211e-07
0.666685 9.63467e-08
0.670916 9.00165e-08
0.675462 8.88034e-08
0.679703 8.56813e-08
0.684292 8.1778e-08
0.688927 7.84423e-08
0.693468 7.28934e-08
0.698026 7.28174e-08
0.702952 6.79766e-08
0.707372 6.65373e-08
0.712317 6.24605e-08
0.716936 6.22093e-08
0.721869 5.76389e-08
0.726964 5.66013e-08
0.73163 5.37152e-08
0.736224 5.10427e-08
0.74119 5.04437e-08
0.746118 4.74103e-08
0.751313 4.59964e-08
0.756133 4.38282e-08
0.761156 4.26245e-08
0.766095 4.1172e-08
0.771205 3.85894e-08
0.776456 3.80221e-08
0.781432 3.56507e-08
0.786733 3.49273e-08
0.791574 3.28394e-08
0.797255 3.23596e-08
0.802676 3.02e-08
0.808005 2.95133e-08
0.813482 2.76925e-08
0.818759 2.68378e-08
0.824173 2.63788e-08
0.829708 2.44597e-08
0.834919 2.4319e-08
0.840568 2.34248e-08
0.846479 2.17833e-08
0.851948 2.12684e-08
0.857592 2.00262e-08
0.863369 1.92959e-08
0.869182 1.8888e-08
0.874831 1.79625e-08
0.880682 1.70398e-08
0.886294 1.66642e-08
0.892352 1.56564e-08
0.898399 1.51035e-08
0.904229 1.48649e-08
0.910231 1.41568e-08
0.916513 1.33804e-08
0.922651 1.27489e-08
0.92895 1.23282e-08
0.935092 1.20836e-08
0.940995 1.1399e-08
0.947406 1.11215e-08
0.953652 1.04664e-08
0.960017 1.01532e-08
0.966595 9.57362e-09
0.972908 9.39427e-09
0.979222 8.816e-09
0.985855 8.52012e-09
0.992666 8.17675e-09
0.998881 7.80099e-09
1.00551 7.50789e-09
1.01216 7.38288e-09
1.01908 6.87536e-09
1.02599 6.63499e-09
1.03271 6.51487e-09
1.03948 6.11003e-09
1.04641 5.91186e-09
1.05346 5.62197e-09
1.06036 5.39415e-09
1.0676 5.19924e-09
1.07471 4.9656e-09
1.08175 4.7506e-09
1.08895 4.67506e-09
1.09637 4.41234e-09
1.10369 4.22117e-09
1.11092 4.05848e-09
1.1181 3.90133e-09
1.12573 3.75868e-09
1.1332 3.58752e-09
1.14081 3.50692e-09
1.14829 3.27971e-09
1.15605 3.14028e-09
1.16374 3.04179e-09
1.1717 2.96126e-09
1.17935 2.78904e-09
1.18713 2.66258e-09
1.195 2.56412e-09
1.20281 2.45023e-09
1.21088 2.37966e-09
1.21904 2.26247e-09
1.22715 2.17873e-09
1.23533 2.08574e-09
1.24354 1.99838e-09
1.25174 1.91223e-09
1.26013 1.84381e-09
1.26845 1.76414e-09
1.27706 1.70017e-09
1.28545 1.62457e-09
1.29387 1.5797e-09
1.3027 1.50082e-09
1.31143 1.43266e-09
1.3202 1.37798e-09
1.32891 1.3159e-09
1.33775 1.25087e-09
1.34663 1.22272e-09
1.35548 1.1575e-09
1.3645 1.11555e-09
1.37362 1.07376e-09
1.38289 1.02406e-09
1.39214 9.78146e-10
1.40146 9.45765e-10
1.41076 9.07436e-10
1.42016 8.6961e-10
1.42955 8.29858e-10
1.43897 8.03582e-10
1.44856 7.623e-10
1.45815 7.35584e-10
1.46783 7.02547e-10
1.47755 6.75035e-10
1.48753 6.50635e-10
1.4975 6.18663e-10
1.50759 5.96625e-10
1.51744 5.69291e-10
1.52762 5.46281e-10
1.53782 5.25519e-10
1.54798 5.05395e-10
1.55817 4.85234e-10
1.56867 4.66446e-10
1.579 4.44729e-10
1.58955 4.22814e-10
1.60018 4.06158e-10
1.61084 3.89572e-10
1.62148 3.7658e-10
1.63242 3.59195e-10
1.64322 3.43203e-10
1.65411 3.28798e-10
1.66512 3.14743e-10
1.67627 3.02269e-10
1.68736 2.92711e-10
1.69863 2.77637e-10
1.70994 2.67975e-10
1.72135 2.56904e-10
1.73279 2.45989e-10
1.74428 2.35796e-10
1.75588 2.26165e-10
1.76756 2.17185e-10
1.77941 2.08236e-10
1.79124 1.99081e-10
1.80325 1.90631e-10
1.81507 1.83758e-10
1.82722 1.74501e-10
1.83948 1.69014e-10
1.85166 1.61392e-10
1.86408 1.54761e-10
1.87633 1.48116e-10
1.88886 1.41877e-10
1.90144 1.36152e-10
1.914 1.30993e-10
1.92679 1.25598e-10
1.93957 1.20027e-10
1.95256 1.15088e-10
1.96563 1.10147e-10
1.97869 1.05946e-10
1.99179 1.01117e-10
2.00509 9.68165e-11
2.01846 9.27183e-11
2.03193 8.91455e-11
2.04528 8.52765e-11
2.05892 8.20176e-11
2.07279 7.84224e-11
2.0865 7.52609e-11
2.10039 7.24903e-11
2.11443 6.86236e-11
2.12845 6.6291e-11
2.14263 6.34839e-11
2.15695 6.07645e-11
2.17119 5.80665e-11
2.18567 5.58467e-11
2.20036 5.37309e-11
2.21494 5.09813e-11
2.22958 4.89068e-11
2.24445 4.6959e-11
2.25936 4.52279e-11
2.27439 4.33215e-11
2.28969 4.14924e-11
2.30493 3.98087e-11
2.32027 3.79131e-11
2.33573 3.63273e-11
2.35122 3.50325e-11
2.3669 3.34581e-11
2.38266 3.20386e-11
2.39847 3.07226e-11
2.41442 2.92804e-11
2.43055 2.81173e-11
2.44673 2.70816e-11
2.4629 2.5896e-11
2.47932 2.47877e-11
2.4959 2.37226e-11
2.51254 2.27259e-11
2.52927 2.17873e-11
2.54604 2.08931e-11
2.56299 2.00635e-11
2.58009 1.91718e-11
2.5973 1.83364e-11
2.61455 1.75529e-11
2.63195 1.68277e-11
2.64948 1.61736e-11
2.66707 1.55472e-11
2.68485 1.48306e-11
2.70286 1.42248e-11
2.72085 1.36083e-11
2.73892 1.3048e-11
2.75712 1.24978e-11
2.77543 1.19814e-11
2.79389 1.1509e-11
2.81251 1.10111e-11
2.83127 1.05147e-11
2.85007 1.00432e-11
2.86897 9.66519e-12
2.88818 9.24849e-12
2.90739 8.83327e-12
2.92669 8.47867e-12
2.94616 8.1487e-12
2.96573 7.78539e-12
2.98548 7.4905e-12
3.00539 7.14425e-12
3.02539 6.82985e-12
3.04557 6.59196e-12
3.06592 6.25638e-12
3.0863 6.01978e-12
3.10684 5.77514e-12
3.12756 5.51541e-12
3.1484 5.27829e-12
