# in Mpc/h Units 
# (k P_nu(k))
# a= 1
# nk = 757
0.922651 0.00180129
0.92895 0.0017747
0.935092 0.0017065
0.940995 0.00167347
0.947406 0.00157235
0.953652 0.00151035
0.960017 0.00149848
0.966595 0.00141173
0.972908 0.00139874
0.979222 0.00133974
0.985855 0.00127312
0.992666 0.00128913
0.998881 0.00123544
1.00551 0.00119917
1.01216 0.00116803
1.01908 0.00113098
1.02599 0.00108696
1.03271 0.00103716
1.03948 0.000989048
1.04641 0.000975625
1.05346 0.000936693
1.06036 0.000929397
1.0676 0.00090151
1.07471 0.000847601
1.08175 0.000832044
1.08895 0.000806455
1.09637 0.000779728
1.10369 0.000748381
1.11092 0.000746117
1.1181 0.000712814
1.12573 0.00069129
1.1332 0.000672227
1.14081 0.000642932
1.14829 0.00061728
1.15605 0.000602553
1.16374 0.00059312
1.1717 0.000567707
1.17935 0.000546181
1.18713 0.000512072
1.195 0.000508004
1.20281 0.000498336
1.21088 0.000475842
1.21904 0.000461134
1.22715 0.000439736
1.23533 0.000430337
1.24354 0.000418246
1.25174 0.000401145
1.26013 0.000392807
1.26845 0.000375588
1.27706 0.000359759
1.28545 0.000353123
1.29387 0.000340154
1.3027 0.000336695
1.31143 0.000317208
1.3202 0.000304344
1.32891 0.000295734
1.33775 0.000287439
1.34663 0.00027256
1.35548 0.000270982
1.3645 0.000262034
1.37362 0.000252434
1.38289 0.000242221
1.39214 0.000234285
1.40146 0.000229667
1.41076 0.00022098
1.42016 0.000214512
1.42955 0.000206684
1.43897 0.000199035
1.44856 0.000191716
1.45815 0.000187701
1.46783 0.000178039
1.47755 0.000174852
1.48753 0.000170052
1.4975 0.00016271
1.50759 0.000156454
1.51744 0.000150662
1.52762 0.000145905
1.53782 0.000142285
1.54798 0.000136038
1.55817 0.000131947
1.56867 0.00012914
1.579 0.000123137
1.58955 0.000120089
1.60018 0.000116875
1.61084 0.000110763
1.62148 0.000106526
1.63242 0.000104008
1.64322 9.8317e-05
1.65411 9.68312e-05
1.66512 9.38982e-05
1.67627 8.99416e-05
1.68736 8.81824e-05
1.69863 8.54275e-05
1.70994 8.1671e-05
1.72135 7.88795e-05
1.73279 7.61508e-05
1.74428 7.44474e-05
1.75588 7.17097e-05
1.76756 6.82129e-05
1.77941 6.61749e-05
1.79124 6.40787e-05
1.80325 6.15245e-05
1.81507 6.00756e-05
1.82722 5.80348e-05
1.83948 5.65424e-05
1.85166 5.37973e-05
1.86408 5.22564e-05
1.87633 5.01828e-05
1.88886 4.79399e-05
1.90144 4.71575e-05
1.914 4.5595e-05
1.92679 4.43015e-05
1.93957 4.18508e-05
1.95256 4.10375e-05
1.96563 3.94549e-05
1.97869 3.81521e-05
1.99179 3.67625e-05
2.00509 3.53192e-05
2.01846 3.42471e-05
2.03193 3.29798e-05
2.04528 3.19666e-05
2.05892 3.05439e-05
2.07279 2.96223e-05
2.0865 2.89533e-05
2.10039 2.77595e-05
2.11443 2.67382e-05
2.12845 2.57369e-05
2.14263 2.48061e-05
2.15695 2.37408e-05
2.17119 2.31662e-05
2.18567 2.21953e-05
2.20036 2.14437e-05
2.21494 2.08111e-05
2.22958 1.99666e-05
2.24445 1.93797e-05
2.25936 1.87276e-05
2.27439 1.79639e-05
2.28969 1.73219e-05
2.30493 1.67558e-05
2.32027 1.6195e-05
2.33573 1.56398e-05
2.35122 1.5059e-05
2.3669 1.44901e-05
2.38266 1.39932e-05
2.39847 1.34772e-05
2.41442 1.30262e-05
2.43055 1.26087e-05
2.44673 1.20932e-05
2.4629 1.17158e-05
2.47932 1.13245e-05
2.4959 1.07925e-05
2.51254 1.04844e-05
2.52927 1.01087e-05
2.54604 9.71218e-06
2.56299 9.42489e-06
2.58009 9.02493e-06
2.5973 8.72e-06
2.61455 8.3955e-06
2.63195 8.13146e-06
2.64948 7.79057e-06
2.66707 7.57621e-06
2.68485 7.24065e-06
2.70286 7.04686e-06
2.72085 6.69736e-06
2.73892 6.5089e-06
2.75712 6.2706e-06
2.77543 6.07287e-06
