# in Mpc/h Units 
# (k P_nu(k))
# a= 0.724854
# nk = 757
0.020944 4461.68
0.0296192 2147.02
0.036276 1228.35
0.0418879 770.516
0.0468321 542.846
0.051302 416.566
0.0592384 273.574
0.0628319 230.552
0.0662306 181.9
0.0694632 160.203
0.072552 143.255
0.0755145 103.14
0.0783651 90.7855
0.0837758 87.3298
0.0863541 59.313
0.0888577 48.9751
0.0912926 48.9476
0.0936642 51.8012
0.0959772 36.5737
0.0982358 33.2712
0.102604 31.3154
0.10472 24.9587
0.106794 22.074
0.108828 19.0664
0.112787 19.0773
0.114715 17.7757
0.118477 16.6763
0.120314 15.8974
0.122123 13.8448
0.123906 12.4005
0.125664 10.1911
0.127397 10.725
0.129107 9.28533
0.132461 6.27167
0.134107 9.01879
0.135732 8.25877
0.137339 7.49717
0.138926 8.14957
0.140496 6.19308
0.142049 5.91795
0.145104 1.61372
0.146608 5.22471
0.148096 5.04887
0.14957 5.11924
0.151029 5.37664
0.152474 4.93684
0.153906 4.4132
0.15673 3.55594
0.158123 3.81132
0.159504 3.86926
0.160874 3.0657
0.163577 3.86994
0.164913 2.72639
0.167552 2.67071
0.168856 2.32772
0.170149 2.89375
0.171434 2.55774
0.172708 2.40538
0.173974 2.21214
0.17523 2.47334
0.177715 2.85002
0.178945 1.56217
0.180167 1.9385
0.18138 2.16241
0.182585 1.33358
0.183782 1.58934
0.184972 1.89552
0.187328 1.44165
0.188496 1.76843
0.190347 1.29077
0.191954 1.59809
0.193094 1.24243
0.194226 1.41535
0.196472 1.24626
0.197585 1.33549
0.199006 1.41761
0.201976 1.28937
0.203059 0.910759
0.205208 0.936465
0.206274 1.17221
0.207335 0.93191
0.20839 1.04838
0.210326 0.986545
0.211524 1.21461
0.213587 0.705248
0.214612 0.755052
0.215631 0.839718
0.216957 0.806944
0.218661 0.601516
0.219662 0.901773
0.223129 0.596863
0.224599 0.58733
0.22618 0.685956
0.22751 0.794697
0.229429 0.613059
0.230383 0.630942
0.231604 0.591281
0.23416 0.469309
0.235095 0.511
0.236954 0.625935
0.238108 0.550211
0.239975 0.494236
0.241537 0.404887
0.242444 0.480459
0.244844 0.384217
0.246417 0.385394
0.248401 0.399064
0.249576 0.362131
0.251327 0.315295
0.252777 0.409757
0.254191 0.371589
0.25601 0.355207
0.258214 0.352843
0.2594 0.302403
0.26075 0.204206
0.262904 0.284742
0.265657 0.306848
0.266722 0.212251
0.268622 0.227466
0.269844 0.314824
0.271964 0.26797
0.273543 0.249507
0.275842 0.222067
0.277853 0.258344
0.279641 0.23314
0.28148 0.237556
0.282936 0.211836
0.285198 0.216544
0.286404 0.174983
0.288084 0.190867
0.291553 0.175218
0.292736 0.182304
0.294335 0.172209
0.296659 0.161629
0.298323 0.143758
0.300394 0.165984
0.302928 0.135809
0.304588 0.126173
0.305974 0.135778
0.308578 0.132058
0.310884 0.121969
0.312408 0.116939
0.314799 0.12142
0.317265 0.124415
0.319597 0.1045
0.320771 0.0957202
0.3227 0.0994005
0.32574 0.100267
0.32795 0.101756
0.330224 0.100281
0.331726 0.0821209
0.333831 0.0912393
0.336246 0.0877156
0.338319 0.0910644
0.341157 0.0854226
0.343593 0.072129
0.346262 0.0720515
0.347842 0.0641307
0.350326 0.0721563
0.352828 0.0623866
0.354442 0.0672054
0.356776 0.06217
0.359142 0.0629193
0.361681 0.0548751
0.363857 0.0537318
0.366441 0.0507378
0.368657 0.0518022
0.371486 0.0509202
0.374587 0.0455932
0.376839 0.0469304
0.379079 0.0445228
0.38178 0.035626
0.384712 0.0441903
0.386663 0.0379081
0.389313 0.0403315
0.39167 0.0394548
0.394428 0.0401422
0.397811 0.0361032
0.400019 0.0397111
0.402781 0.0348774
0.405015 0.0330403
0.40766 0.0338294
0.410865 0.0288212
0.413244 0.0300832
0.416084 0.0274161
0.418986 0.0292636
0.421544 0.027591
0.424534 0.0261581
0.42751 0.0250413
0.430034 0.0242654
0.432751 0.0245666
0.436344 0.0199053
0.438896 0.0233343
0.44171 0.0197323
0.444585 0.0208335
0.447784 0.020394
0.45034 0.0181812
0.453413 0.017674
0.456575 0.0164999
0.459787 0.0174853
0.462622 0.0164975
0.465862 0.016415
0.468802 0.016523
0.471915 0.0151424
0.475472 0.0138192
0.478779 0.0143864
0.481919 0.0143626
0.484939 0.0130458
0.488502 0.0120987
0.491034 0.012031
0.494348 0.011967
0.497688 0.0112769
0.500527 0.0118786
0.504331 0.0103531
0.507364 0.01055
0.510774 0.0109369
0.514275 0.00975429
0.517978 0.00929587
0.521294 0.00947988
0.524822 0.00873194
0.527973 0.00824331
0.531698 0.00836669
0.535226 0.00809921
0.539103 0.00731297
0.543 0.00700567
0.546011 0.00732202
0.549827 0.00688419
0.55369 0.00655225
0.557166 0.0068042
0.560475 0.00640913
0.564609 0.00599053
0.56859 0.00560322
0.572441 0.00534285
0.5763 0.00532297
0.580121 0.00531885
0.583625 0.00523083
0.587525 0.00503585
0.591428 0.00467084
0.595301 0.0047243
0.599624 0.00445458
0.603294 0.00440015
0.60771 0.00396471
0.611568 0.00420068
0.615779 0.00385278
0.619303 0.00377394
0.623194 0.00363292
0.627636 0.00356576
0.631826 0.00343038
0.635971 0.00326947
0.64039 0.00331469
0.644956 0.00289241
0.649302 0.00301996
0.653461 0.00304649
0.657644 0.00279424
0.662026 0.0027406
0.666685 0.00259346
0.670916 0.00259063
0.675462 0.00268064
0.679703 0.00236604
0.684292 0.00242082
0.688927 0.00221334
0.693468 0.00205077
0.698026 0.00206331
0.702952 0.00198849
0.707372 0.00189467
0.712317 0.00187989
0.716936 0.00186294
0.721869 0.00176176
0.726964 0.00160017
0.73163 0.00165342
0.736224 0.00162656
0.74119 0.00151584
0.746118 0.00148053
0.751313 0.00140679
0.756133 0.00141302
0.761156 0.00131755
0.766095 0.00130174
0.771205 0.00127568
0.776456 0.00118299
0.781432 0.00120075
0.786733 0.00115338
0.791574 0.00111305
0.797255 0.00108897
0.802676 0.00102334
0.808005 0.00101072
0.813482 0.000958773
0.818759 0.000949163
0.824173 0.000877648
0.829708 0.000884109
0.834919 0.000851507
0.840568 0.000820078
0.846479 0.000770743
0.851948 0.000777842
0.857592 0.000728797
0.863369 0.000733923
0.869182 0.000681586
0.874831 0.000667052
0.880682 0.000649877
0.886294 0.000633048
0.892352 0.000602788
0.898399 0.000616337
0.904229 0.000562034
0.910231 0.000558072
0.916513 0.000537701
0.922651 0.00050899
0.92895 0.000508702
0.935092 0.000474263
0.940995 0.000466097
0.947406 0.000449123
0.953652 0.000439104
0.960017 0.000422101
0.966595 0.000404334
0.972908 0.000391269
0.979222 0.00037209
0.985855 0.0003641
