# in Mpc/h Units 
# (k P_nu(k))
# a= 0.02
# nk = 757
0.020944 1.07287
0.0296192 0.0538516
0.036276 0.0310815
0.0418879 0.0200505
0.0468321 0.0141461
0.051302 0.0106408
0.0592384 0.00675874
0.0628319 0.00555894
0.0662306 0.00461016
0.0694632 0.00386225
0.072552 0.0032588
0.0755145 0.00272791
0.0783651 0.0023183
0.0837758 0.00171052
0.0863541 0.00145661
0.0888577 0.00126047
0.0912926 0.00110491
0.0936642 0.000979526
0.0959772 0.000861531
0.0982358 0.000769977
0.102604 0.000634265
0.10472 0.000575375
0.106794 0.000528124
0.108828 0.000485411
0.112787 0.000423591
0.114715 0.000394696
0.118477 0.000347726
0.120314 0.00032694
0.122123 0.000305859
0.123906 0.000286176
0.125664 0.000267714
0.127397 0.000251931
0.129107 0.000235857
0.132461 0.000205738
0.134107 0.000196325
0.135732 0.000184334
0.137339 0.000173032
0.138926 0.000163344
0.140496 0.000151741
0.142049 0.000142406
0.145104 0.000123038
0.146608 0.000119167
0.148096 0.000112526
0.14957 0.000106259
0.151029 0.000100484
0.152474 9.58265e-05
0.153906 9.05026e-05
0.15673 8.21585e-05
0.158123 7.78551e-05
0.159504 7.43485e-05
0.160874 7.10641e-05
0.163577 6.59605e-05
0.164913 0.00015296
0.167552 5.78289e-05
0.168856 5.61822e-05
0.170149 5.44243e-05
0.171434 5.2632e-05
0.172708 5.07829e-05
0.173974 4.85414e-05
0.17523 4.72752e-05
0.177715 4.51395e-05
0.178945 4.281e-05
0.180167 4.2099e-05
0.18138 4.09482e-05
0.182585 3.93326e-05
0.183782 3.82616e-05
0.184972 3.69628e-05
0.187328 3.45887e-05
0.188496 3.41146e-05
0.190347 3.20105e-05
0.191954 3.08629e-05
0.193094 2.94828e-05
0.194226 2.87e-05
0.196472 2.71347e-05
0.197585 2.63346e-05
0.199006 2.53434e-05
0.201976 2.3236e-05
0.203059 2.22361e-05
0.205208 2.08648e-05
0.206274 2.0376e-05
0.207335 1.96512e-05
0.20839 1.92114e-05
0.210326 3.74436e-05
0.211524 1.76468e-05
0.213587 1.64181e-05
0.214612 1.59021e-05
0.215631 1.56183e-05
0.216957 1.49866e-05
0.218661 1.43686e-05
0.219662 1.41105e-05
0.223129 1.28336e-05
0.224599 1.23409e-05
0.22618 1.20268e-05
0.22751 1.17047e-05
0.229429 1.09463e-05
0.230383 1.09528e-05
0.231604 1.06531e-05
0.23416 1.00367e-05
0.235095 9.77475e-06
0.236954 9.45808e-06
0.238108 9.28026e-06
0.239975 8.93985e-06
0.241537 8.59584e-06
0.242444 8.36643e-06
0.244844 1.50482e-05
0.246417 7.74676e-06
0.248401 7.48085e-06
0.249576 7.2432e-06
0.251327 6.95226e-06
0.252777 6.77153e-06
0.254191 6.62235e-06
