# in Mpc/h Units 
# (k P_nu(k))
# a= 0.912869
# nk = 757
0.020944 7196.27
0.0296192 3687.29
0.036276 2197.44
0.0418879 1416.96
0.0468321 1021.59
0.051302 800.655
0.0592384 543.508
0.0628319 465.865
0.0662306 370.001
0.0694632 330.959
0.072552 299.312
0.0755145 215.571
0.0783651 191.95
0.0837758 190.395
0.0863541 128.296
0.0888577 105.957
0.0912926 107.909
0.0936642 116.679
0.0959772 81.1564
0.0982358 74.6312
0.102604 71.2101
0.10472 56.8346
0.106794 50.2873
0.108828 43.5554
0.112787 43.9637
0.114715 41.6383
0.118477 39.2718
0.120314 37.4143
0.122123 32.4756
0.123906 29.2983
0.125664 23.8549
0.127397 25.3485
0.129107 22.0223
0.132461 14.7954
0.134107 21.8492
0.135732 19.9707
0.137339 18.0092
0.138926 19.6883
0.140496 14.9938
0.142049 14.4126
0.145104 3.4648
0.146608 12.8149
0.148096 12.3333
0.14957 12.7282
0.151029 13.6567
0.152474 12.3022
0.153906 11.0301
0.15673 8.7264
0.158123 9.63071
0.159504 9.97127
0.160874 7.58468
0.163577 9.89851
0.164913 6.81883
0.167552 6.69442
0.168856 5.84825
0.170149 7.46385
0.171434 6.53893
0.172708 6.15498
0.173974 5.77634
0.17523 6.52189
0.177715 7.42074
0.178945 4.01708
0.180167 4.97256
0.18138 5.59848
0.182585 3.27009
0.183782 4.03007
0.184972 4.99391
0.187328 3.77591
0.188496 4.55625
0.190347 3.3241
0.191954 4.1338
0.193094 3.23813
0.194226 3.76373
0.196472 3.25583
0.197585 3.49448
0.199006 3.72912
0.201976 3.3771
0.203059 2.38329
0.205208 2.43438
0.206274 3.17574
0.207335 2.49155
0.20839 2.75227
0.210326 2.65733
0.211524 3.34843
0.213587 1.93826
0.214612 2.01709
0.215631 2.2617
0.216957 2.18435
0.218661 1.58922
0.219662 2.47123
0.223129 1.61039
0.224599 1.60365
0.22618 1.85086
0.22751 2.18711
0.229429 1.71154
0.230383 1.74243
0.231604 1.61447
0.23416 1.2663
0.235095 1.41831
0.236954 1.72494
0.238108 1.5308
0.239975 1.35355
0.241537 1.11416
0.242444 1.36895
0.244844 1.07298
0.246417 1.08427
0.248401 1.10504
0.249576 1.05963
0.251327 0.894913
0.252777 1.17294
0.254191 1.03263
0.25601 0.985645
0.258214 1.04605
0.2594 0.862868
0.26075 0.570383
0.262904 0.819042
0.265657 0.883223
0.266722 0.593307
0.268622 0.649762
0.269844 0.908727
0.271964 0.767171
0.273543 0.706501
0.275842 0.648544
0.277853 0.696035
0.279641 0.679331
0.28148 0.676586
0.282936 0.632815
0.285198 0.621811
0.286404 0.502673
0.288084 0.554033
0.291553 0.51253
0.292736 0.514034
0.294335 0.494184
0.296659 0.487576
0.298323 0.428509
0.300394 0.494136
0.302928 0.397588
0.304588 0.356399
0.305974 0.375365
0.308578 0.389424
0.310884 0.36606
0.312408 0.360593
0.314799 0.368272
0.317265 0.37022
0.319597 0.317209
0.320771 0.285256
0.3227 0.297332
0.32574 0.296397
0.32795 0.310672
0.330224 0.295375
0.331726 0.244726
0.333831 0.268973
0.336246 0.269634
0.338319 0.270424
0.341157 0.260822
0.343593 0.2242
0.346262 0.224615
0.347842 0.200335
0.350326 0.219149
0.352828 0.194401
0.354442 0.212095
0.356776 0.187122
0.359142 0.193218
0.361681 0.166829
0.363857 0.163748
0.366441 0.159948
0.368657 0.158061
0.371486 0.151021
0.374587 0.141205
0.376839 0.145113
0.379079 0.135147
0.38178 0.112065
0.384712 0.138624
0.386663 0.121471
0.389313 0.129527
0.39167 0.122744
0.394428 0.125603
0.397811 0.116098
0.400019 0.121192
0.402781 0.108668
0.405015 0.103426
0.40766 0.103001
0.410865 0.0901419
0.413244 0.093018
0.416084 0.0878162
0.418986 0.0925021
0.421544 0.0878734
0.424534 0.0832282
0.42751 0.0813459
0.430034 0.0746604
0.432751 0.0775131
0.436344 0.0659183
0.438896 0.0721663
0.44171 0.0629849
0.444585 0.0661703
0.447784 0.0651882
0.45034 0.0584683
0.453413 0.0572727
0.456575 0.0554235
0.459787 0.0565766
0.462622 0.0536693
0.465862 0.0530884
0.468802 0.0529393
0.471915 0.0509626
0.475472 0.045002
0.478779 0.046532
0.481919 0.047797
0.484939 0.0426441
0.488502 0.0392615
0.491034 0.0393293
0.494348 0.039269
0.497688 0.0374471
0.500527 0.0382418
0.504331 0.0341866
0.507364 0.0352716
0.510774 0.0372726
0.514275 0.0313717
0.517978 0.030931
0.521294 0.0316885
0.524822 0.0305971
0.527973 0.0278776
0.531698 0.0284056
0.535226 0.0272303
0.539103 0.0243613
0.543 0.0234499
0.546011 0.0243808
0.549827 0.0234128
0.55369 0.0225422
0.557166 0.0235369
0.560475 0.0211628
0.564609 0.019567
0.56859 0.0192609
0.572441 0.0180191
0.5763 0.0186246
0.580121 0.0182862
0.583625 0.0183432
0.587525 0.0169872
0.591428 0.0162923
0.595301 0.0162456
0.599624 0.0151751
0.603294 0.0155222
0.60771 0.0138868
0.611568 0.0143596
0.615779 0.0134665
0.619303 0.0131946
0.623194 0.0130235
0.627636 0.0127508
0.631826 0.0118721
0.635971 0.0116388
0.64039 0.0115009
0.644956 0.0101812
0.649302 0.0104346
0.653461 0.0107399
0.657644 0.00981704
0.662026 0.00951847
0.666685 0.00926965
0.670916 0.00874047
0.675462 0.00945342
0.679703 0.00831877
0.684292 0.00856972
0.688927 0.00789132
0.693468 0.00732171
0.698026 0.007585
0.702952 0.0072058
0.707372 0.00697225
