# in Mpc/h Units 
# (k P_nu(k))
# a= 0.587827
# nk = 757
0.020944 3256.86
0.0296192 1572.97
0.036276 903.348
0.0418879 570.434
0.0468321 403.069
0.051302 309.24
0.0592384 203.354
0.0628319 170.751
0.0662306 136.12
0.0694632 119.066
0.072552 106.094
0.0755145 77.9324
0.0783651 68.2745
0.0837758 63.7044
0.0863541 44.5854
0.0888577 37.2023
0.0912926 36.3935
0.0936642 37.5085
0.0959772 27.4438
0.0982358 24.7917
0.102604 23.0939
0.10472 18.6115
0.106794 16.5688
0.108828 14.3858
0.112787 14.283
0.114715 13.1405
0.118477 12.3094
0.120314 11.7824
0.122123 10.3759
0.123906 9.27862
0.125664 7.77391
0.127397 8.06537
0.129107 7.01651
0.132461 4.87652
0.134107 6.66661
0.135732 6.14839
0.137339 5.64482
0.138926 6.06215
0.140496 4.65963
0.142049 4.42418
0.145104 1.50722
0.146608 3.89904
0.148096 3.78719
0.14957 3.75694
0.151029 3.85166
0.152474 3.63102
0.153906 3.25235
0.15673 2.70385
0.158123 2.7898
0.159504 2.76506
0.160874 2.31668
0.163577 2.78829
0.164913 2.05147
0.167552 1.98967
0.168856 1.75656
0.170149 2.09332
0.171434 1.88232
0.172708 1.77207
0.173974 1.59096
0.17523 1.75627
0.177715 2.04181
0.178945 1.17133
0.180167 1.44252
0.18138 1.58156
0.182585 1.05519
0.183782 1.2051
0.184972 1.36489
0.187328 1.06187
0.188496 1.31371
0.190347 0.972034
0.191954 1.18385
0.193094 0.917902
0.194226 1.02177
0.196472 0.928891
0.197585 0.985993
0.199006 1.0369
0.201976 0.950177
0.203059 0.685421
0.205208 0.700367
0.206274 0.835394
0.207335 0.680107
0.20839 0.774364
0.210326 0.713811
0.211524 0.847959
0.213587 0.509935
0.214612 0.552251
0.215631 0.605183
0.216957 0.579982
0.218661 0.456065
0.219662 0.637677
0.223129 0.438672
0.224599 0.423694
0.22618 0.497736
0.22751 0.562428
0.229429 0.42627
0.230383 0.451665
0.231604 0.427808
0.23416 0.347727
0.235095 0.361686
0.236954 0.442495
0.238108 0.390527
0.239975 0.358363
0.241537 0.295624
0.242444 0.331804
0.244844 0.277128
0.246417 0.272732
0.248401 0.288506
0.249576 0.248281
0.251327 0.221978
0.252777 0.28278
0.254191 0.267979
0.25601 0.257227
0.258214 0.23538
0.2594 0.213792
0.26075 0.148962
0.262904 0.200145
0.265657 0.213445
0.266722 0.155228
0.268622 0.163232
0.269844 0.218455
0.271964 0.187487
0.273543 0.177454
0.275842 0.153797
0.277853 0.193587
0.279641 0.162639
0.28148 0.16951
0.282936 0.143619
0.285198 0.153968
0.286404 0.125237
0.288084 0.134519
0.291553 0.122011
0.292736 0.131566
0.294335 0.122441
0.296659 0.109865
0.298323 0.0988493
0.300394 0.113719
0.302928 0.0955123
0.304588 0.0925298
0.305974 0.101097
0.308578 0.0922635
0.310884 0.0840477
0.312408 0.0785788
0.314799 0.0823481
0.317265 0.0867209
0.319597 0.071545
0.320771 0.0671049
0.3227 0.0695354
0.32574 0.0702825
0.32795 0.0690394
0.330224 0.0702773
0.331726 0.0581679
0.333831 0.0632452
0.336246 0.0593421
0.338319 0.062995
0.341157 0.0582645
0.343593 0.0479157
0.346262 0.0479315
0.347842 0.0428628
0.350326 0.0496018
0.352828 0.0414052
0.354442 0.0440745
0.356776 0.0430335
0.359142 0.0427396
0.361681 0.0379709
0.363857 0.0371621
0.366441 0.0340519
0.368657 0.0358617
0.371486 0.0364059
0.374587 0.0309911
0.376839 0.0320318
0.379079 0.031005
0.38178 0.0244555
0.384712 0.0292564
0.386663 0.0251796
0.389313 0.0264353
0.39167 0.026709
0.394428 0.026743
0.397811 0.0236728
0.400019 0.0273965
0.402781 0.0236414
0.405015 0.0226315
0.40766 0.0235847
0.410865 0.0197941
0.413244 0.0206732
0.416084 0.0184274
0.418986 0.0194834
0.421544 0.0182885
0.424534 0.0175212
0.42751 0.0160411
0.430034 0.0173348
0.432751 0.0165502
0.436344 0.0130562
0.438896 0.0161036
0.44171 0.0133596
0.444585 0.0138126
0.447784 0.0133545
0.45034 0.0120777
0.453413 0.0116738
0.456575 0.0106191
0.459787 0.0113168
0.462622 0.0108125
0.465862 0.0108397
0.468802 0.0109004
0.471915 0.00965512
0.475472 0.00909589
0.478779 0.00956688
0.481919 0.00929105
0.484939 0.0085938
0.488502 0.00808117
0.491034 0.00793542
0.494348 0.00769137
0.497688 0.00721021
0.500527 0.00774579
0.504331 0.00677576
0.507364 0.00683506
0.510774 0.00679323
0.514275 0.00639477
0.517978 0.00599623
0.521294 0.00601815
0.524822 0.00543028
0.527973 0.00534249
0.531698 0.00531123
0.535226 0.00517159
