# in Mpc/h Units 
# D1 = 0.615013 
# k P N P(z=0)
0.020944 8997.7 6 23788.3
0.0296192 7197.72 12 19029.5
0.036276 5860.4 8 15493.8
0.0418879 4813.89 6 12727
0.0468321 4270.76 24 11291.1
0.051302 4014.98 24 10614.9
0.0592384 3693.25 12 9764.27
0.0628319 3606.79 30 9535.71
0.0662306 3228.62 24 8535.89
0.0694632 3226.41 24 8530.03
0.072552 3236.18 8 8555.87
0.0755145 2577.11 24 6813.42
0.0783651 2512.62 48 6642.91
0.0837758 2914.13 6 7704.42
0.0863541 2151.81 48 5688.99
0.0888577 1928.26 36 5097.97
0.0912926 2080.16 24 5499.56
0.0936642 2361.46 24 6243.27
0.0959772 1799.46 48 4757.43
0.0982358 1750.76 24 4628.7
0.102604 1868.44 24 4939.81
0.10472 1588.83 30 4200.58
0.106794 1494.48 72 3951.15
0.108828 1370.24 32 3622.67
0.112787 1524.41 72 4030.26
0.114715 1488.26 48 3934.68
0.118477 1541.28 12 4074.86
0.120314 1544.42 48 4083.16
0.122123 1418.41 48 3750.03
0.123906 1329.26 48 3514.32
0.125664 1156.41 30 3057.33
0.127397 1259.99 24 3331.18
0.129107 1142.48 72 3020.51
0.132461 855.885 24 2262.8
0.134107 1235.07 96 3265.3
0.135732 1181.55 48 3123.79
0.137339 1123.22 24 2969.58
0.138926 1255.41 24 3319.07
0.140496 999.81 72 2643.32
0.142049 985.875 48 2606.47
0.145104 346.245 8 915.409
0.146608 963.908 54 2548.4
0.148096 966.468 84 2555.17
0.14957 994.918 48 2630.38
0.151029 1057.59 24 2796.08
0.152474 1023.22 72 2705.22
0.153906 945.719 96 2500.31
0.15673 832.133 48 2200.01
0.158123 888.817 48 2349.87
0.159504 909.918 24 2405.66
0.160874 779.447 72 2060.72
0.163577 995.043 72 2630.71
0.164913 751.369 96 1986.48
0.167552 768.927 6 2032.9
0.168856 697.915 96 1845.16
0.170149 853.718 96 2257.08
0.171434 787.36 24 2081.64
0.172708 760.369 48 2010.28
0.173974 701.938 96 1855.8
0.17523 792.836 48 2096.11
0.177715 963.227 36 2546.6
0.178945 570.165 48 1507.41
0.180167 715.884 120 1892.67
0.18138 801.643 56 2119.4
0.182585 550.094 24 1454.35
0.183782 641.46 96 1695.9
0.184972 740.976 48 1959.01
0.187328 604.839 24 1599.08
0.188496 760.778 102 2011.36
0.190347 585.63 120 1548.3
0.191954 730.21 48 1930.54
0.193094 580.601 48 1535
0.194226 657.315 120 1737.82
0.196472 624.06 24 1649.9
0.197585 673.485 144 1780.57
0.199006 724.307 168 1914.94
0.201976 699.282 48 1848.77
0.203059 518.562 96 1370.98
0.205208 547.952 24 1448.68
0.206274 660.721 48 1746.83
0.207335 550.961 108 1456.64
0.20839 636.512 72 1682.82
0.210326 606.066 198 1602.33
0.211524 728.983 48 1927.3
0.213587 460.99 72 1218.77
0.214612 504.95 96 1335
0.215631 560.511 72 1481.89
0.216957 548.421 104 1449.93
0.218661 449.948 72 1189.58
0.219662 627.046 144 1657.8
0.223129 461.811 192 1220.94
0.224599 455.357 48 1203.88
0.22618 545.965 192 1443.43
0.22751 625.734 72 1654.33
0.229429 488.211 48 1290.74
0.230383 528.999 78 1398.58
0.231604 511.473 168 1352.24
0.23416 436.004 144 1152.71
0.235095 454.582 144 1201.83
0.236954 568.113 12 1501.99
0.238108 513.038 192 1356.38
0.239975 486.869 168 1287.19
0.241537 413.762 48 1093.91
0.242444 462.793 168 1223.54
0.244844 406.867 144 1075.68
0.246417 407.164 168 1076.47
0.248401 444.511 144 1175.21
0.249576 387.133 48 1023.51
0.251327 356.679 30 942.994
0.252777 457.634 288 1209.9
0.254191 447.782 80 1183.85
0.25601 441.854 288 1168.18
0.258214 409.263 72 1082.02
0.2594 384.421 240 1016.34
0.26075 276.98 96 732.286
0.262904 377.866 168 999.01
0.265657 414.231 216 1095.15
0.266722 312.56 132 826.352
0.268622 335.882 192 888.011
0.269844 447.09 120 1182.02
0.271964 396.48 126 1048.22
0.273543 385.132 288 1018.22
0.275842 343.459 312 908.042
0.277853 450.848 24 1191.96
0.279641 381.779 264 1009.35
0.28148 409.97 192 1083.89
0.282936 349.785 192 924.767
0.285198 390.464 336 1032.32
0.286404 325.341 48 860.143
0.288084 353.2 240 933.796
0.291553 333.44 296 881.556
0.292736 368.399 150 973.979
0.294335 347.837 240 919.617
0.296659 318.906 228 843.131
0.298323 294.358 216 778.23
0.300394 344.187 336 909.968
0.302928 302.384 360 799.448
0.304588 302.71 144 800.31
0.305974 336.331 168 889.197
0.308578 311.715 312 824.118
0.310884 291.415 288 770.448
0.312408 275.925 192 729.496
0.314799 296.727 366 784.492
0.317265 324.404 408 857.666
0.319597 274.538 168 725.828
0.320771 263.143 336 695.702
0.3227 279.196 240 738.142
0.32574 290.519 380 768.079
0.32795 289.248 384 764.718
0.330224 303.564 240 802.567
0.331726 259.983 360 687.347
0.333831 283.331 198 749.074
0.336246 272.539 384 720.544
0.338319 295.364 384 780.888
0.341157 282.865 432 747.843
0.343593 237.448 528 627.768
0.346262 244.003 288 645.1
0.347842 223.879 288 591.897
0.350326 267.235 456 706.52
