# in Mpc/h Units 
# (k P_nu(k))
# a= 1
# nk = 757
0.92895 0.0026379
0.935092 0.00253591
0.940995 0.00249028
0.947406 0.00233278
0.953652 0.00224566
0.960017 0.00222974
0.966595 0.00210104
0.972908 0.00208376
0.979222 0.0019968
0.985855 0.00189425
0.992666 0.00191759
0.998881 0.00184203
1.00551 0.00178732
1.01216 0.00174241
1.01908 0.00168058
1.02599 0.00161714
1.03271 0.0015435
1.03948 0.00147205
1.04641 0.0014566
1.05346 0.00139697
1.06036 0.00138667
1.0676 0.00134235
1.07471 0.00126078
1.08175 0.0012422
1.08895 0.00120381
1.09637 0.00116497
1.10369 0.00111451
1.11092 0.00111452
1.1181 0.00106402
1.12573 0.00103418
1.1332 0.00100444
1.14081 0.000958299
1.14829 0.000921597
1.15605 0.000901039
1.16374 0.000885952
1.1717 0.000848835
1.17935 0.000814928
1.18713 0.000763533
1.195 0.000758563
1.20281 0.000744948
1.21088 0.000712521
1.21904 0.00069011
1.22715 0.000658353
1.23533 0.000643922
1.24354 0.000626827
1.25174 0.000600311
1.26013 0.000589017
1.26845 0.000562841
1.27706 0.000537514
1.28545 0.000528654
1.29387 0.000510211
1.3027 0.000505092
1.31143 0.000475782
1.3202 0.000456453
1.32891 0.000443398
1.33775 0.000431441
1.34663 0.000409013
1.35548 0.000406965
1.3645 0.000392912
1.37362 0.00037922
1.38289 0.000363679
1.39214 0.000352101
1.40146 0.000344937
1.41076 0.00033262
1.42016 0.000322599
1.42955 0.000310514
1.43897 0.000299268
1.44856 0.000288385
1.45815 0.000281967
1.46783 0.000267738
1.47755 0.00026281
1.48753 0.000255446
1.4975 0.000244639
1.50759 0.00023556
1.51744 0.000226417
1.52762 0.000219493
1.53782 0.000214134
1.54798 0.000204689
1.55817 0.00019873
1.56867 0.000194189
1.579 0.000185151
1.58955 0.000180677
1.60018 0.000175807
1.61084 0.000166537
1.62148 0.000160148
1.63242 0.000156147
1.64322 0.000147642
1.65411 0.000145665
1.66512 0.000141485
1.67627 0.000135137
1.68736 0.000132741
1.69863 0.000128325
1.70994 0.000122574
1.72135 0.000118508
1.73279 0.000114574
1.74428 0.000111897
1.75588 0.000107778
1.76756 0.000102206
1.77941 9.93797e-05
1.79124 9.62137e-05
1.80325 9.24145e-05
1.81507 9.02361e-05
1.82722 8.71689e-05
1.83948 8.48986e-05
1.85166 8.07466e-05
1.86408 7.84647e-05
1.87633 7.52282e-05
1.88886 7.19302e-05
1.90144 7.07802e-05
1.914 6.84713e-05
1.92679 6.6457e-05
1.93957 6.27938e-05
1.95256 6.16214e-05
1.96563 5.9193e-05
1.97869 5.72848e-05
1.99179 5.51391e-05
2.00509 5.3021e-05
2.01846 5.14201e-05
2.03193 4.95707e-05
2.04528 4.80338e-05
2.05892 4.58948e-05
2.07279 4.45702e-05
2.0865 4.3582e-05
2.10039 4.1753e-05
2.11443 4.01929e-05
2.12845 3.87374e-05
2.14263 3.73449e-05
2.15695 3.56952e-05
2.17119 3.48836e-05
2.18567 3.34329e-05
2.20036 3.23192e-05
2.21494 3.13209e-05
2.22958 3.00452e-05
2.24445 2.91734e-05
2.25936 2.82121e-05
2.27439 2.70641e-05
2.28969 2.60951e-05
2.30493 2.52684e-05
2.32027 2.43867e-05
2.33573 2.35677e-05
2.35122 2.26873e-05
2.3669 2.18623e-05
2.38266 2.10847e-05
2.39847 2.03257e-05
2.41442 1.96367e-05
2.43055 1.89997e-05
2.44673 1.82167e-05
2.4629 1.76522e-05
2.47932 1.70743e-05
2.4959 1.62621e-05
2.51254 1.5808e-05
2.52927 1.52304e-05
2.54604 1.46305e-05
2.56299 1.41819e-05
2.58009 1.35728e-05
2.5973 1.31205e-05
2.61455 1.26313e-05
2.63195 1.22228e-05
2.64948 1.17208e-05
2.66707 1.13853e-05
2.68485 1.08763e-05
2.70286 1.05903e-05
2.72085 1.00604e-05
2.73892 9.77106e-06
2.75712 9.41661e-06
2.77543 9.10618e-06
2.79389 8.75129e-06
2.81251 8.39144e-06
2.83127 8.09101e-06
2.85007 7.81689e-06
2.86897 7.55983e-06
2.88818 7.29417e-06
2.90739 6.9962e-06
2.92669 6.71593e-06
2.94616 6.53421e-06
2.96573 6.30169e-06
2.98548 6.09124e-06
3.00539 5.84736e-06
3.02539 5.65393e-06
3.04557 5.44446e-06
3.06592 5.19793e-06
3.0863 5.03328e-06
3.10684 4.86306e-06
3.12756 4.69377e-06
3.1484 4.53634e-06
3.16935 4.32946e-06
3.19042 4.16545e-06
3.21172 4.03271e-06
3.2331 3.88971e-06
3.25451 3.75447e-06
3.27615 3.61744e-06
3.2979 3.49793e-06
3.31984 3.34477e-06
3.34198 3.21854e-06
