#           k/h    P           
    0.71429E-04    0.58805E+01
    0.79823E-04    0.65496E+01
    0.89203E-04    0.72948E+01
    0.99687E-04    0.81246E+01
    0.11140E-03    0.90489E+01
    0.12449E-03    0.10078E+02
    0.13912E-03    0.11224E+02
    0.15547E-03    0.12501E+02
    0.17374E-03    0.13922E+02
    0.19416E-03    0.15505E+02
    0.21698E-03    0.17266E+02
    0.24248E-03    0.19228E+02
    0.27098E-03    0.21411E+02
    0.30282E-03    0.23841E+02
    0.33841E-03    0.26545E+02
    0.37818E-03    0.29552E+02
    0.42262E-03    0.32897E+02
    0.47229E-03    0.36616E+02
    0.52779E-03    0.40748E+02
    0.58982E-03    0.45337E+02
    0.65913E-03    0.50431E+02
    0.73659E-03    0.56079E+02
    0.82315E-03    0.62336E+02
    0.91989E-03    0.69260E+02
    0.10280E-02    0.76909E+02
    0.11488E-02    0.85346E+02
    0.12838E-02    0.94633E+02
    0.14347E-02    0.10483E+03
    0.16033E-02    0.11600E+03
    0.17917E-02    0.12820E+03
    0.20023E-02    0.14148E+03
    0.22376E-02    0.15587E+03
    0.25005E-02    0.17143E+03
    0.27944E-02    0.18815E+03
    0.31228E-02    0.20605E+03
    0.34898E-02    0.22509E+03
    0.38999E-02    0.24521E+03
    0.43582E-02    0.26631E+03
    0.48703E-02    0.28825E+03
    0.49248E-02    0.29048E+03
    0.49798E-02    0.29272E+03
    0.50354E-02    0.29496E+03
    0.50917E-02    0.29721E+03
    0.51486E-02    0.29947E+03
    0.52061E-02    0.30173E+03
    0.52643E-02    0.30399E+03
    0.53231E-02    0.30626E+03
    0.53826E-02    0.30854E+03
    0.54427E-02    0.31082E+03
    0.55035E-02    0.31310E+03
    0.55650E-02    0.31538E+03
    0.56272E-02    0.31767E+03
    0.56901E-02    0.31996E+03
    0.57536E-02    0.32226E+03
    0.58179E-02    0.32455E+03
    0.58829E-02    0.32685E+03
    0.59487E-02    0.32915E+03
    0.60151E-02    0.33145E+03
    0.60823E-02    0.33375E+03
    0.61503E-02    0.33605E+03
    0.62190E-02    0.33835E+03
    0.62885E-02    0.34066E+03
    0.63587E-02    0.34296E+03
    0.64298E-02    0.34526E+03
    0.65016E-02    0.34755E+03
    0.65743E-02    0.34985E+03
    0.66477E-02    0.35214E+03
    0.67220E-02    0.35443E+03
    0.67971E-02    0.35672E+03
    0.68731E-02    0.35900E+03
    0.69499E-02    0.36128E+03
    0.70275E-02    0.36355E+03
    0.71060E-02    0.36582E+03
    0.71854E-02    0.36809E+03
    0.72657E-02    0.37034E+03
    0.73469E-02    0.37259E+03
    0.74290E-02    0.37484E+03
    0.75120E-02    0.37707E+03
    0.75959E-02    0.37930E+03
    0.76808E-02    0.38152E+03
    0.77666E-02    0.38373E+03
    0.78534E-02    0.38593E+03
    0.79411E-02    0.38812E+03
    0.80298E-02    0.39030E+03
    0.81196E-02    0.39246E+03
    0.82103E-02    0.39462E+03
    0.83020E-02    0.39676E+03
    0.83948E-02    0.39888E+03
    0.84886E-02    0.40100E+03
    0.85834E-02    0.40310E+03
    0.86793E-02    0.40518E+03
    0.87763E-02    0.40725E+03
    0.88743E-02    0.40930E+03
    0.89735E-02    0.41133E+03
    0.90738E-02    0.41335E+03
    0.91751E-02    0.41534E+03
    0.92777E-02    0.41732E+03
    0.93813E-02    0.41928E+03
    0.94861E-02    0.42121E+03
    0.95921E-02    0.42313E+03
    0.96993E-02    0.42502E+03
    0.98077E-02    0.42689E+03
    0.99173E-02    0.42873E+03
    0.10028E-01    0.43055E+03
    0.10140E-01    0.43235E+03
    0.10253E-01    0.43411E+03
    0.10368E-01    0.43585E+03
    0.10484E-01    0.43757E+03
    0.10601E-01    0.43925E+03
    0.10719E-01    0.44091E+03
    0.10839E-01    0.44253E+03
    0.10960E-01    0.44413E+03
    0.11083E-01    0.44569E+03
    0.11207E-01    0.44722E+03
    0.11332E-01    0.44871E+03
    0.11458E-01    0.45017E+03
    0.11586E-01    0.45160E+03
    0.11716E-01    0.45299E+03
    0.11847E-01    0.45434E+03
    0.11979E-01    0.45565E+03
    0.12113E-01    0.45693E+03
    0.12248E-01    0.45816E+03
    0.12385E-01    0.45936E+03
    0.12524E-01    0.46051E+03
    0.12663E-01    0.46162E+03
    0.12805E-01    0.46268E+03
    0.12948E-01    0.46370E+03
    0.13093E-01    0.46468E+03
    0.13239E-01    0.46561E+03
    0.13387E-01    0.46649E+03
    0.13536E-01    0.46733E+03
    0.13688E-01    0.46811E+03
    0.13841E-01    0.46885E+03
    0.13995E-01    0.46954E+03
    0.14152E-01    0.47017E+03
    0.14310E-01    0.47075E+03
    0.14470E-01    0.47128E+03
    0.14631E-01    0.47175E+03
    0.14795E-01    0.47217E+03
    0.14960E-01    0.47253E+03
    0.15127E-01    0.47284E+03
    0.15296E-01    0.47308E+03
    0.15467E-01    0.47327E+03
    0.15640E-01    0.47340E+03
    0.15815E-01    0.47347E+03
    0.15991E-01    0.47348E+03
    0.16170E-01    0.47342E+03
    0.16351E-01    0.47331E+03
    0.16533E-01    0.47313E+03
    0.16718E-01    0.47288E+03
    0.16905E-01    0.47257E+03
    0.17094E-01    0.47220E+03
    0.17285E-01    0.47176E+03
    0.17478E-01    0.47125E+03
    0.17673E-01    0.47068E+03
    0.17871E-01    0.47004E+03
    0.18070E-01    0.46933E+03
    0.18272E-01    0.46855E+03
    0.18476E-01    0.46771E+03
    0.18683E-01    0.46679E+03
    0.18892E-01    0.46580E+03
    0.19103E-01    0.46475E+03
    0.19316E-01    0.46362E+03
    0.19532E-01    0.46242E+03
    0.19750E-01    0.46115E+03
    0.19971E-01    0.45981E+03
    0.20194E-01    0.45840E+03
    0.20420E-01    0.45692E+03
    0.20648E-01    0.45537E+03
    0.20879E-01    0.45374E+03
    0.21112E-01    0.45205E+03
    0.21348E-01    0.45028E+03
    0.21586E-01    0.44845E+03
    0.21827E-01    0.44654E+03
    0.22071E-01    0.44457E+03
    0.22318E-01    0.44253E+03
    0.22567E-01    0.44041E+03
    0.22819E-01    0.43823E+03
    0.23074E-01    0.43599E+03
    0.23332E-01    0.43368E+03
    0.23593E-01    0.43130E+03
    0.23856E-01    0.42885E+03
    0.24123E-01    0.42635E+03
    0.24393E-01    0.42378E+03
    0.24665E-01    0.42115E+03
    0.24941E-01    0.41846E+03
    0.25219E-01    0.41571E+03
    0.25501E-01    0.41291E+03
    0.25786E-01    0.41005E+03
    0.26074E-01    0.40713E+03
    0.26365E-01    0.40416E+03
    0.26660E-01    0.40115E+03
    0.26958E-01    0.39808E+03
    0.27259E-01    0.39497E+03
    0.27564E-01    0.39181E+03
    0.27872E-01    0.38861E+03
    0.28183E-01    0.38537E+03
    0.28498E-01    0.38209E+03
    0.28816E-01    0.37878E+03
    0.29138E-01    0.37543E+03
    0.29464E-01    0.37205E+03
