#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.148980E+08   0.148976E+08   0.332144E+06   0.332961E+06   0.146375E+08   0.148900E+08   0.148979E+08   0.148901E+08  -0.526066E+00   0.110085E+08   0.110085E+08   0.123393E+01
   0.200226E-02   0.148269E+08   0.148264E+08   0.288727E+06   0.286819E+06   0.145101E+08   0.148172E+08   0.148268E+08   0.148172E+08  -0.523489E+00   0.109549E+08   0.109549E+08   0.135014E+01
   0.223756E-02   0.147433E+08   0.147427E+08   0.189136E+06   0.189483E+06   0.143602E+08   0.147315E+08   0.147432E+08   0.147316E+08  -0.520461E+00   0.108918E+08   0.108918E+08   0.147637E+01
   0.250052E-02   0.146454E+08   0.146447E+08   0.148169E+06   0.149105E+06   0.141854E+08   0.146313E+08   0.146453E+08   0.146313E+08  -0.516919E+00   0.108181E+08   0.108180E+08   0.161341E+01
   0.279438E-02   0.145315E+08   0.145305E+08   0.128467E+06   0.126434E+06   0.139832E+08   0.145146E+08   0.145313E+08   0.145147E+08  -0.512796E+00   0.107322E+08   0.107322E+08   0.176209E+01
   0.312277E-02   0.143995E+08   0.143983E+08   0.847217E+05   0.834327E+05   0.137516E+08   0.143796E+08   0.143993E+08   0.143796E+08  -0.508023E+00   0.106328E+08   0.106328E+08   0.192330E+01
   0.348976E-02   0.142476E+08   0.142461E+08   0.802098E+05   0.750246E+05   0.134890E+08   0.142243E+08   0.142473E+08   0.142243E+08  -0.502535E+00   0.105185E+08   0.105185E+08   0.209791E+01
   0.389987E-02   0.140740E+08   0.140721E+08   0.504918E+05   0.504480E+05   0.131943E+08   0.140469E+08   0.140736E+08   0.140469E+08  -0.496267E+00   0.103879E+08   0.103879E+08   0.228685E+01
   0.435818E-02   0.138770E+08   0.138747E+08   0.414540E+05   0.413240E+05   0.128667E+08   0.138459E+08   0.138766E+08   0.138459E+08  -0.489164E+00   0.102400E+08   0.102400E+08   0.249098E+01
   0.440687E-02   0.138560E+08   0.138536E+08   0.391604E+05   0.390342E+05   0.128321E+08   0.138244E+08   0.138556E+08   0.138244E+08  -0.488406E+00   0.102242E+08   0.102242E+08   0.251227E+01
   0.445611E-02   0.138347E+08   0.138323E+08   0.371078E+05   0.370095E+05   0.127971E+08   0.138027E+08   0.138343E+08   0.138027E+08  -0.487639E+00   0.102082E+08   0.102082E+08   0.253371E+01
   0.450590E-02   0.138131E+08   0.138107E+08   0.354871E+05   0.354120E+05   0.127619E+08   0.137807E+08   0.138127E+08   0.137808E+08  -0.486863E+00   0.101921E+08   0.101920E+08   0.255531E+01
   0.455624E-02   0.137913E+08   0.137889E+08   0.344175E+05   0.343322E+05   0.127263E+08   0.137585E+08   0.137909E+08   0.137585E+08  -0.486078E+00   0.101757E+08   0.101757E+08   0.257708E+01
   0.460715E-02   0.137693E+08   0.137668E+08   0.339218E+05   0.337714E+05   0.126903E+08   0.137361E+08   0.137689E+08   0.137361E+08  -0.485285E+00   0.101592E+08   0.101591E+08   0.259901E+01
   0.465863E-02   0.137470E+08   0.137444E+08   0.339179E+05   0.336403E+05   0.126541E+08   0.137133E+08   0.137466E+08   0.137133E+08  -0.484482E+00   0.101425E+08   0.101424E+08   0.262110E+01
   0.471068E-02   0.137245E+08   0.137218E+08   0.342309E+05   0.337740E+05   0.126174E+08   0.136903E+08   0.137240E+08   0.136904E+08  -0.483670E+00   0.101255E+08   0.101255E+08   0.264336E+01
   0.476331E-02   0.137017E+08   0.136990E+08   0.346226E+05   0.339625E+05   0.125805E+08   0.136671E+08   0.137012E+08   0.136671E+08  -0.482848E+00   0.101084E+08   0.101084E+08   0.266578E+01
   0.481653E-02   0.136786E+08   0.136759E+08   0.348370E+05   0.339915E+05   0.125432E+08   0.136436E+08   0.136781E+08   0.136436E+08  -0.482018E+00   0.100911E+08   0.100911E+08   0.268836E+01
   0.487035E-02   0.136553E+08   0.136525E+08   0.346513E+05   0.336845E+05   0.125055E+08   0.136198E+08   0.136548E+08   0.136198E+08  -0.481178E+00   0.100737E+08   0.100736E+08   0.271112E+01
   0.492476E-02   0.136317E+08   0.136288E+08   0.339233E+05   0.329401E+05   0.124676E+08   0.135958E+08   0.136312E+08   0.135958E+08  -0.480330E+00   0.100560E+08   0.100559E+08   0.273404E+01
   0.497979E-02   0.136079E+08   0.136050E+08   0.326243E+05   0.317539E+05   0.124292E+08   0.135715E+08   0.136074E+08   0.135715E+08  -0.479471E+00   0.100381E+08   0.100381E+08   0.275713E+01
   0.503543E-02   0.135838E+08   0.135808E+08   0.308510E+05   0.302210E+05   0.123906E+08   0.135470E+08   0.135833E+08   0.135470E+08  -0.478604E+00   0.100200E+08   0.100200E+08   0.278038E+01
   0.509169E-02   0.135594E+08   0.135564E+08   0.288093E+05   0.285162E+05   0.123515E+08   0.135222E+08   0.135589E+08   0.135222E+08  -0.477727E+00   0.100018E+08   0.100017E+08   0.280381E+01
