# in Mpc/h Units 
# (k P_nu(k))
# a= 0.239756
# nk = 757
0.020944 335.939
0.0296192 138.189
0.036276 72.0954
0.0418879 43.0052
0.0468321 28.8519
0.051302 21.0454
0.0592384 12.8225
0.0628319 10.3747
0.0662306 8.27713
0.0694632 6.93891
0.072552 5.9419
0.0755145 4.57531
0.0783651 3.88678
0.0837758 3.16317
0.0863541 2.40994
0.0888577 2.03636
0.0912926 1.85391
0.0936642 1.74722
0.0959772 1.40116
0.0982358 1.23967
0.102604 1.07777
0.10472 0.908369
0.106794 0.81715
0.108828 0.722833
0.112787 0.671858
0.114715 0.609667
0.118477 0.550914
0.120314 0.524034
0.122123 0.474996
0.123906 0.428702
0.125664 0.379104
0.127397 0.371407
0.129107 0.332922
0.132461 0.258555
0.134107 0.290697
0.135732 0.271333
0.137339 0.253328
0.138926 0.254776
0.140496 0.211844
0.142049 0.197626
0.145104 0.121481
0.146608 0.169342
0.148096 0.162874
0.14957 0.153622
0.151029 0.149123
0.152474 0.145403
0.153906 0.132822
0.15673 0.118012
0.158123 0.112016
0.159504 0.105961
0.160874 0.0990418
0.163577 0.102218
0.164913 0.0871702
0.167552 0.0795515
0.168856 0.0758888
0.170149 0.0787836
0.171434 0.0744244
0.172708 0.0703835
0.173974 0.062372
0.17523 0.0646079
0.177715 0.0705624
0.178945 0.0521071
0.180167 0.0583006
0.18138 0.0593335
0.182585 0.049544
0.183782 0.0509597
0.184972 0.0506184
0.187328 0.0439107
0.188496 0.0499921
0.190347 0.0412033
0.191954 0.0444473
0.193094 0.0370355
0.194226 0.0381237
0.196472 0.0372649
0.197585 0.0372061
0.199006 0.0371181
0.201976 0.034099
0.203059 0.028497
0.205208 0.0273434
0.206274 0.0287266
0.207335 0.0257556
0.20839 0.0277272
0.210326 0.0254726
0.211524 0.0267646
0.213587 0.0204814
0.214612 0.0204276
0.215631 0.0211053
0.216957 0.0199509
0.218661 0.0187792
0.219662 0.0204288
0.223129 0.0165005
0.224599 0.0155217
0.22618 0.0168899
0.22751 0.0175235
0.229429 0.0135304
0.230383 0.0153108
0.231604 0.0147095
0.23416 0.0130356
0.235095 0.0121749
0.236954 0.0134743
0.238108 0.0127052
0.239975 0.0122226
0.241537 0.0108667
0.242444 0.0104899
0.244844 0.0100779
0.246417 0.00945358
0.248401 0.00993251
0.249576 0.00861344
0.251327 0.00796189
0.252777 0.00872024
0.254191 0.00892177
0.25601 0.00865851
0.258214 0.00719872
0.2594 0.00727714
0.26075 0.00586333
0.262904 0.00683316
0.265657 0.00654524
0.266722 0.00575984
0.268622 0.00584347
0.269844 0.0063885
0.271964 0.00571484
0.273543 0.00554211
0.275842 0.00492075
0.277853 0.00628595
0.279641 0.00502443
0.28148 0.00532047
0.282936 0.00441757
0.285198 0.00479885
0.286404 0.00426088
0.288084 0.00417129
0.291553 0.00375164
0.292736 0.00415798
0.294335 0.00372826
0.296659 0.00336739
0.298323 0.00315724
0.300394 0.00325692
0.302928 0.00302782
0.304588 0.00306563
0.305974 0.00319906
0.308578 0.0028349
0.310884 0.00261246
0.312408 0.00242841
0.314799 0.00244322
0.317265 0.00258325
0.319597 0.00222478
0.320771 0.00211946
0.3227 0.00220942
0.32574 0.00212406
0.32795 0.00199061
0.330224 0.00196298
0.331726 0.00186089
0.333831 0.00179559
0.336246 0.0016888
0.338319 0.00167676
0.341157 0.00162818
0.343593 0.00139606
0.346262 0.00134583
0.347842 0.00129667
0.350326 0.0014162
0.352828 0.00114959
0.354442 0.00115398
0.356776 0.00119266
0.359142 0.00112675
0.361681 0.00110533
0.363857 0.0010852
0.366441 0.00096559
0.368657 0.00101079
0.371486 0.00103946
0.374587 0.00083612
0.376839 0.000895236
0.379079 0.000897506
0.38178 0.00078367
0.384712 0.000722908
0.386663 0.000678214
0.389313 0.000710735
0.39167 0.000707366
0.394428 0.000685386
0.397811 0.000616726
0.400019 0.000698687
0.402781 0.000632332
0.405015 0.00060847
0.40766 0.000605566
0.410865 0.000522561
0.413244 0.000534376
0.416084 0.000492368
0.418986 0.000491049
0.421544 0.000460017
0.424534 0.000450768
0.42751 0.00038181
0.430034 0.000441619
0.432751 0.000412511
0.436344 0.000388209
0.438896 0.000382544
0.44171 0.000352994
0.444585 0.000323082
0.447784 0.000302858
0.45034 0.000297505
0.453413 0.000283064
0.456575 0.000259736
0.459787 0.000273081
0.462622 0.000256341
0.465862 0.000256404
0.468802 0.000235453
0.471915 0.000232048
0.475472 0.000221214
0.478779 0.000224443
0.481919 0.000214495
0.484939 0.000195743
0.488502 0.000194287
0.491034 0.000186865
0.494348 0.0001674
0.497688 0.000166745
0.500527 0.000174758
0.504331 0.000164706
0.507364 0.000155705
0.510774 0.000145359
0.514275 0.000139613
0.517978 0.000134482
0.521294 0.000127042
0.524822 0.00011975
0.527973 0.000117748
0.531698 0.00011372
0.535226 0.000109223
0.539103 0.00010752
0.543 0.000105528
0.546011 9.66601e-05
0.549827 9.1527e-05
0.55369 9.40674e-05
0.557166 8.58413e-05
0.560475 8.91551e-05
0.564609 8.24621e-05
0.56859 8.18117e-05
0.572441 7.8426e-05
0.5763 7.26257e-05
0.580121 6.95362e-05
0.583625 7.00797e-05
0.587525 6.27055e-05
0.591428 6.20156e-05
0.595301 5.81762e-05
0.599624 5.86e-05
0.603294 5.71812e-05
0.60771 5.20386e-05
0.611568 5.22578e-05
0.615779 5.0047e-05
0.619303 4.76387e-05
0.623194 4.52211e-05
0.627636 4.39158e-05
0.631826 4.24488e-05
0.635971 3.85139e-05
0.64039 4.08558e-05
0.644956 3.9294e-05
0.649302 3.67871e-05
0.653461 3.52649e-05
0.657644 3.35298e-05
0.662026 3.27063e-05
0.666685 3.08986e-05
0.670916 2.91786e-05
0.675462 2.8054e-05
0.679703 2.86359e-05
0.684292 2.64868e-05
0.688927 2.56042e-05
0.693468 2.36221e-05
0.698026 2.28777e-05
0.702952 2.30339e-05
0.707372 2.08528e-05
0.712317 2.08935e-05
0.716936 2.01811e-05
0.721869 2.01811e-05
0.726964 1.81313e-05
0.73163 1.70762e-05
0.736224 1.69406e-05
0.74119 1.68551e-05
0.746118 1.57332e-05
0.751313 1.51844e-05
0.756133 1.52692e-05
0.761156 1.41681e-05
0.766095 1.37903e-05
0.771205 1.2909e-05
0.776456 1.28753e-05
0.781432 1.19001e-05
0.786733 1.11642e-05
0.791574 1.14895e-05
0.797255 1.07692e-05
0.802676 1.04067e-05
0.808005 9.86821e-06
0.813482 9.64903e-06
0.818759 9.44887e-06
0.824173 8.98854e-06
0.829708 8.7296e-06
0.834919 8.21631e-06
0.840568 7.75789e-06
0.846479 7.9199e-06
0.851948 7.30093e-06
0.857592 6.95219e-06
0.863369 6.77371e-06
0.869182 6.64919e-06
0.874831 6.26813e-06
0.880682 6.1768e-06
0.886294 5.71514e-06
0.892352 5.55923e-06
0.898399 5.25663e-06
0.904229 5.26119e-06
0.910231 5.05688e-06
0.916513 4.66206e-06
