# in Mpc/h Units 
# (k P_nu(k))
# a= 0.660703
# nk = 757
0.020944 4136.28
0.0296192 2033.07
0.036276 1180.7
0.0418879 750.061
0.0468321 533.058
0.051302 411.504
0.0592384 273.11
0.0628319 230.598
0.0662306 183.635
0.0694632 161.641
0.072552 144.714
0.0755145 105.624
0.0783651 92.958
0.0837758 88.3208
0.0863541 61.1064
0.0888577 50.8463
0.0912926 50.3141
0.0936642 52.5607
0.0959772 37.9073
0.0982358 34.3944
0.102604 32.2897
0.10472 25.9213
0.106794 23.0313
0.108828 19.972
0.112787 19.9495
0.114715 18.4694
0.118477 17.3524
0.120314 16.599
0.122123 14.555
0.123906 13.0324
0.125664 10.829
0.127397 11.3221
0.129107 9.83115
0.132461 6.74848
0.134107 9.45772
0.135732 8.7005
0.137339 7.95226
0.138926 8.59927
0.140496 6.57269
0.142049 6.2623
0.145104 1.92614
0.146608 5.53459
0.148096 5.36753
0.14957 5.38132
0.151029 5.58023
0.152474 5.20195
0.153906 4.65632
0.15673 3.81899
0.158123 4.01201
0.159504 4.02129
0.160874 3.28619
0.163577 4.04969
0.164913 2.91858
0.167552 2.84867
0.168856 2.49753
0.170149 3.03935
0.171434 2.71142
0.172708 2.5521
0.173974 2.31655
0.17523 2.57472
0.177715 2.98746
0.178945 1.67275
0.180167 2.07138
0.18138 2.29199
0.182585 1.47301
0.183782 1.71688
0.184972 1.99351
0.187328 1.53315
0.188496 1.89348
0.190347 1.39051
0.191954 1.71034
0.193094 1.32657
0.194226 1.49351
0.196472 1.33722
0.197585 1.42791
0.199006 1.50968
0.201976 1.37986
0.203059 0.983223
0.205208 1.00989
0.206274 1.23278
0.207335 0.99163
0.20839 1.12494
0.210326 1.04639
0.211524 1.26589
0.213587 0.745953
0.214612 0.806109
0.215631 0.89045
0.216957 0.85469
0.218661 0.653728
0.219662 0.948007
0.223129 0.639341
0.224599 0.623291
0.22618 0.731743
0.22751 0.837358
0.229429 0.640108
0.230383 0.667997
0.231604 0.629873
0.23416 0.505873
0.235095 0.538546
0.236954 0.661109
0.238108 0.581142
0.239975 0.527859
0.241537 0.433502
0.242444 0.500685
0.244844 0.408692
0.246417 0.406461
0.248401 0.425903
0.249576 0.375303
0.251327 0.331698
0.252777 0.427751
0.254191 0.396716
0.25601 0.379996
0.258214 0.361916
0.2594 0.319292
0.26075 0.218863
0.262904 0.299805
0.265657 0.322168
0.266722 0.228166
0.268622 0.242051
0.269844 0.330545
0.271964 0.282595
