#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.179170E-02   0.118178E+08   0.118174E+08   0.385139E+06   0.387214E+06   0.115762E+08   0.118103E+08   0.118177E+08   0.118105E+08  -0.556361E+00   0.101913E+08   0.101912E+08   0.164378E+01
   0.200226E-02   0.117616E+08   0.117611E+08   0.323491E+06   0.324754E+06   0.114680E+08   0.117526E+08   0.117616E+08   0.117527E+08  -0.553636E+00   0.101417E+08   0.101417E+08   0.179889E+01
   0.223756E-02   0.116957E+08   0.116951E+08   0.286603E+06   0.284825E+06   0.113408E+08   0.116848E+08   0.116956E+08   0.116849E+08  -0.550436E+00   0.100834E+08   0.100834E+08   0.196733E+01
   0.250052E-02   0.116185E+08   0.116177E+08   0.201179E+06   0.201048E+06   0.111925E+08   0.116054E+08   0.116184E+08   0.116055E+08  -0.546693E+00   0.100153E+08   0.100152E+08   0.215018E+01
   0.279438E-02   0.115285E+08   0.115276E+08   0.153756E+06   0.155061E+06   0.110212E+08   0.115130E+08   0.115284E+08   0.115130E+08  -0.542336E+00   0.993593E+07   0.993591E+07   0.234855E+01
   0.312277E-02   0.114244E+08   0.114232E+08   0.136687E+06   0.134866E+06   0.108254E+08   0.114059E+08   0.114242E+08   0.114060E+08  -0.537293E+00   0.984409E+07   0.984406E+07   0.256359E+01
   0.348976E-02   0.113044E+08   0.113029E+08   0.937223E+05   0.927897E+05   0.106041E+08   0.112829E+08   0.113042E+08   0.112829E+08  -0.531493E+00   0.973846E+07   0.973843E+07   0.279651E+01
   0.389987E-02   0.111673E+08   0.111655E+08   0.869362E+05   0.822608E+05   0.103566E+08   0.111423E+08   0.111670E+08   0.111423E+08  -0.524871E+00   0.961784E+07   0.961780E+07   0.304851E+01
   0.435818E-02   0.110117E+08   0.110094E+08   0.580421E+05   0.573000E+05   0.100826E+08   0.109830E+08   0.110113E+08   0.109830E+08  -0.517366E+00   0.948114E+07   0.948109E+07   0.332076E+01
   0.440687E-02   0.109950E+08   0.109927E+08   0.566858E+05   0.564788E+05   0.100538E+08   0.109660E+08   0.109947E+08   0.109660E+08  -0.516565E+00   0.946655E+07   0.946650E+07   0.334914E+01
   0.445611E-02   0.109782E+08   0.109759E+08   0.558164E+05   0.560140E+05   0.100246E+08   0.109488E+08   0.109778E+08   0.109488E+08  -0.515755E+00   0.945178E+07   0.945173E+07   0.337774E+01
   0.450590E-02   0.109612E+08   0.109588E+08   0.553045E+05   0.557630E+05   0.999525E+07   0.109314E+08   0.109608E+08   0.109314E+08  -0.514935E+00   0.943685E+07   0.943680E+07   0.340655E+01
   0.455624E-02   0.109440E+08   0.109415E+08   0.549810E+05   0.555595E+05   0.996560E+07   0.109138E+08   0.109436E+08   0.109138E+08  -0.514106E+00   0.942174E+07   0.942169E+07   0.343558E+01
   0.460715E-02   0.109266E+08   0.109241E+08   0.546604E+05   0.552363E+05   0.993567E+07   0.108960E+08   0.109262E+08   0.108960E+08  -0.513267E+00   0.940646E+07   0.940641E+07   0.346482E+01
   0.465863E-02   0.109090E+08   0.109064E+08   0.541680E+05   0.546494E+05   0.990548E+07   0.108780E+08   0.109085E+08   0.108780E+08  -0.512419E+00   0.939101E+07   0.939095E+07   0.349428E+01
   0.471068E-02   0.108911E+08   0.108885E+08   0.533661E+05   0.536993E+05   0.987502E+07   0.108598E+08   0.108907E+08   0.108598E+08  -0.511561E+00   0.937538E+07   0.937532E+07   0.352397E+01
   0.476331E-02   0.108731E+08   0.108705E+08   0.521756E+05   0.523465E+05   0.984429E+07   0.108414E+08   0.108727E+08   0.108414E+08  -0.510693E+00   0.935957E+07   0.935951E+07   0.355387E+01
   0.481653E-02   0.108549E+08   0.108522E+08   0.505892E+05   0.506182E+05   0.981329E+07   0.108228E+08   0.108544E+08   0.108228E+08  -0.509816E+00   0.934359E+07   0.934353E+07   0.358399E+01
   0.487035E-02   0.108365E+08   0.108337E+08   0.486734E+05   0.486053E+05   0.978202E+07   0.108039E+08   0.108360E+08   0.108039E+08  -0.508929E+00   0.932743E+07   0.932737E+07   0.361434E+01
   0.492476E-02   0.108178E+08   0.108150E+08   0.465584E+05   0.464484E+05   0.975048E+07   0.107849E+08   0.108174E+08   0.107849E+08  -0.508032E+00   0.931109E+07   0.931103E+07   0.364490E+01
   0.497979E-02   0.107990E+08   0.107961E+08   0.444174E+05   0.443155E+05   0.971868E+07   0.107656E+08   0.107985E+08   0.107657E+08  -0.507125E+00   0.929458E+07   0.929452E+07   0.367569E+01
   0.503543E-02   0.107800E+08   0.107770E+08   0.424368E+05   0.423740E+05   0.968660E+07   0.107462E+08   0.107795E+08   0.107462E+08  -0.506209E+00   0.927788E+07   0.927782E+07   0.370671E+01
   0.509169E-02   0.107607E+08   0.107577E+08   0.407825E+05   0.407622E+05   0.965426E+07   0.107265E+08   0.107602E+08   0.107265E+08  -0.505283E+00   0.926101E+07   0.926094E+07   0.373795E+01
   0.514858E-02   0.107412E+08   0.107381E+08   0.395691E+05   0.395641E+05   0.962164E+07   0.107067E+08   0.107407E+08   0.107067E+08  -0.504346E+00   0.924396E+07   0.924389E+07   0.376941E+01
